Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,98.613294,[ 3 79] ; [160  78],[41.76875 40.23125] ; [121.23125 116.76875],1
d3,1,0.0,34.582077,[31 51] ; [175  62],[52.95297806 29.04702194] ; [153.04702194  83.95297806],1
d4,1,0.0,33.807053,[46 36] ; [206  32],[64.575 17.425] ; [187.425  50.575],1
d2,1,0.0,25.631011,[14 68] ; [116 121],[33.4169279 48.5830721] ; [ 96.5830721 140.4169279],1
a5,1,1e-06,25.167737,[37 45] ; [179  59],[55.35 26.65] ; [160.65  77.35],1
a3,1,1.2e-05,19.13397,[37 43] ; [173  64],[52.99684543 27.00315457] ; [157.00315457  79.99684543],1
a4,1,2.3e-05,17.964443,[18 63] ; [117 121],[34.27899687 46.72100313] ; [100.72100313 137.27899687],1
n4,1,9.6e-05,15.211073,[47 35] ; [188  49],[60.40752351 21.59247649] ; [174.59247649  62.40752351],1
r1,1,0.000142,14.475506,[44 38] ; [180  57],[57.5799373 24.4200627] ; [166.4200627  70.5799373],1
r2,1,0.000243,13.466739,[67 15] ; [222  12],[74.99367089  7.00632911] ; [214.00632911  19.99367089],1
n6,1,0.000633,11.677058,[57 24] ; [207  31],[67.03448276 13.96551724] ; [196.96551724  41.03448276],1
u1,1,0.000709,11.46578,[ 2 80] ; [ 41 197],[11.01875 70.98125] ; [ 31.98125 206.01875],1
p3,1,0.001974,9.573823,[26 56] ; [122 115],[38.04388715 43.95611285] ; [109.95611285 127.04388715],0
a2,1,0.003984,8.291001,[ 7 75] ; [ 55 183],[15.8875 66.1125] ; [ 46.1125 191.8875],0
r4,1,0.004001,8.28353,[62 20] ; [211  27],[69.95625 12.04375] ; [203.04375  34.95625],0
a7,1,0.00466,8.006685,[45 37] ; [171  67],[55.35 26.65] ; [160.65  77.35],0
a6,1,0.006201,7.490911,[42 40] ; [162  76],[52.275 29.725] ; [151.725  86.275],0
p10,1,0.006958,7.283714,[65 17] ; [213  22],[71.91167192 10.08832808] ; [206.08832808  28.91167192],0
n5,1,0.007335,7.188937,[51 30] ; [185  52],[60.11320755 20.88679245] ; [175.88679245  61.11320755],0
p6,1,0.01813,5.58354,[20 60] ; [ 94 143],[28.76971609 51.23028391] ; [ 85.23028391 151.76971609],0
p7,1,0.022099,5.237989,[38 41] ; [145  86],[46.63548387 32.36451613] ; [136.36451613  94.63548387],0
s6,1,0.030377,4.687838,[45 35] ; [162  71],[52.90734824 27.09265176] ; [154.09265176  78.90734824],0
a1,1,0.032649,4.564098,[ 7 75] ; [  7 231],[ 3.5875 78.4125] ; [ 10.4125 227.5875],0
p2,1,0.034977,4.446291,[64 18] ; [206  29],[69.84227129 12.15772871] ; [200.15772871  34.84227129],0
s8,1,0.042013,4.134678,[27 55] ; [109 129],[34.85 47.15] ; [101.15 136.85],0
p4,1,0.043074,4.092511,[40 41] ; [148  90],[47.73667712 33.26332288] ; [140.26332288  97.73667712],0
