Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,34.813012,[24 45] ; [223  86],[45.08730159 23.91269841] ; [201.91269841 107.08730159],1
n4,1,1e-06,24.510379,[33 37] ; [238  72],[49.92105263 20.07894737] ; [221.07894737  88.92105263],1
s5,1,0.000274,13.241508,[ 7 58] ; [101 201],[19.1280654 45.8719346] ; [ 88.8719346 213.1280654],1
p10,1,0.000505,12.09647,[40 29] ; [240  67],[51.38297872 17.61702128] ; [228.61702128  78.38297872],1
p11,1,0.000687,11.523695,[41 29] ; [243  68],[52.17847769 17.82152231] ; [231.82152231  79.17847769],1
p9,1,0.0007,11.490289,[44 25] ; [250  54],[54.38605898 14.61394102] ; [239.61394102  64.38605898],1
s7,1,0.004495,8.07204,[17 46] ; [139 160],[27.14917127 35.85082873] ; [128.85082873 170.14917127],0
s6,1,0.006164,7.501808,[34 36] ; [201 103],[43.98395722 26.01604278] ; [191.01604278 112.98395722],0
p6,1,0.011605,6.370172,[12 57] ; [101 207],[20.68169761 48.31830239] ; [ 92.31830239 215.68169761],0
u3,1,0.015973,5.805848,[20  6] ; [49 48],[14.58536585 11.41463415] ; [54.41463415 42.58536585],0
s8,1,0.041148,4.169919,[18 52] ; [120 190],[25.42105263 44.57894737] ; [112.57894737 197.42105263],0
s2,1,0.043675,4.069085,[24 46] ; [147 162],[31.58311346 38.41688654] ; [139.41688654 169.58311346],0
b3,1,0.063898,3.433205,[ 7 33] ; [ 55 115],[11.80952381 28.19047619] ; [ 50.19047619 119.80952381],0
b2,1,0.063898,3.433205,[ 7 33] ; [ 55 115],[11.80952381 28.19047619] ; [ 50.19047619 119.80952381],0
p2,1,0.067405,3.345098,[49 21] ; [248  62],[54.71052632 15.28947368] ; [242.28947368  67.71052632],0
u2,1,0.074329,3.18474,[19  8] ; [49 47],[14.92682927 12.07317073] ; [53.07317073 42.92682927],0
p5,1,0.087865,2.91306,[ 2 67] ; [ 28 282],[ 5.46174142 63.53825858] ; [ 24.53825858 285.46174142],0
b1,1,0.14068,2.170511,[33 37] ; [117 194],[27.55905512 42.44094488] ; [122.44094488 188.55905512],0
s1,1,0.173125,1.855673,[ 5 64] ; [ 11 296],[ 2.93617021 66.06382979] ; [ 13.06382979 293.93617021],0
p7,1,0.197275,1.662436,[35 32] ; [186 120],[39.69705094 27.30294906] ; [181.30294906 124.69705094],0
a6,1,0.215254,1.535736,[52 17] ; [210 100],[47.69920844 21.30079156] ; [214.30079156  95.69920844],0
a1,1,0.232296,1.426745,[ 1 69] ; [ 14 297],[ 2.75590551 67.24409449] ; [ 12.24409449 298.75590551],0
a3,1,0.24059,1.377135,[43 27] ; [213  97],[47.15789474 22.84210526] ; [208.84210526 101.15789474],0
d1,1,0.284308,1.146382,[34 36] ; [173 138],[38.03149606 31.96850394] ; [168.96850394 142.03149606],0
p8,1,0.305625,1.049486,[28 41] ; [145 161],[31.832 37.168] ; [141.168 164.832],0
r2,1,0.320937,0.985125,[66  4] ; [299  10],[67.41424802  2.58575198] ; [297.58575198  11.41424802],0
d2,1,0.325862,0.965275,[28 41] ; [146 164],[31.67810026 37.32189974] ; [142.32189974 167.67810026],0
u1,1,0.328008,0.956747,[ 8 62] ; [ 50 261],[10.65616798 59.34383202] ; [ 47.34383202 263.65616798],0
p3,1,0.341189,0.905959,[26 44] ; [134 175],[29.55145119 40.44854881] ; [130.44854881 178.55145119],0
a2,1,0.380817,0.768062,[12 58] ; [ 68 243],[14.69816273 55.30183727] ; [ 65.30183727 245.69816273],0
a8,1,0.399457,0.709961,[ 6 60] ; [ 37 251],[ 8.01694915 57.98305085] ; [ 34.98305085 253.01694915],0
