Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.380522,[67  8] ; [4 9],[60.51136364 14.48863636] ; [10.48863636  2.51136364],1
r3,1,4e-06,21.443324,[72  3] ; [7 6],[67.32954545  7.67045455] ; [11.67045455  1.32954545],1
p9,1,0.000211,13.728073,[55 18] ; [ 3 10],[49.23255814 23.76744186] ; [8.76744186 4.23255814],1
s8,1,0.001498,10.081096,[41 33] ; [ 1 12],[35.72413793 38.27586207] ; [6.27586207 6.72413793],0
s2,1,0.001651,9.902547,[60 15] ; [5 8],[55.39772727 19.60227273] ; [9.60227273 3.39772727],0
v1,1,0.003798,8.377915,[43 30] ; [ 2 11],[38.19767442 34.80232558] ; [6.80232558 6.19767442],0
p11,1,0.004226,8.184019,[49 26] ; [ 3 10],[44.31818182 30.68181818] ; [7.68181818 5.31818182],0
p10,1,0.004263,8.168328,[53 21] ; [4 9],[48.48275862 25.51724138] ; [8.51724138 4.48275862],0
s6,1,0.004599,8.030828,[57 17] ; [5 8],[52.73563218 21.26436782] ; [9.26436782 3.73563218],0
r2,1,0.004858,7.931624,[70  5] ; [8 4],[67.24137931  7.75862069] ; [10.75862069  1.24137931],0
s1,1,0.018149,5.581699,[ 6 68] ; [4 9],[ 8.50574713 65.49425287] ; [ 1.49425287 11.50574713],0
n6,1,0.026059,4.952117,[52 22] ; [5 8],[48.48275862 25.51724138] ; [8.51724138 4.48275862],0
r1,1,0.056395,3.640342,[59 16] ; [7 6],[56.25 18.75] ; [9.75 3.25],0
s7,1,0.063164,3.452303,[44 27] ; [4 8],[41.06024096 29.93975904] ; [6.93975904 5.06024096],0
n2,1,0.084522,2.975726,[21  5] ; [4 4],[19.11764706  6.88235294] ; [5.88235294 2.11764706],0
p1,1,0.097675,2.743109,[ 6 69] ; [ 3 10],[ 7.67045455 67.32954545] ; [ 1.32954545 11.67045455],0
b5,1,0.155787,2.014652,[50 25] ; [6 7],[47.72727273 27.27272727] ; [8.27272727 4.72727273],0
a6,1,0.17149,1.869868,[43 30] ; [5 8],[40.74418605 32.25581395] ; [7.25581395 5.74418605],0
v2,1,0.214397,1.541482,[40 30] ; [5 8],[37.95180723 32.04819277] ; [7.04819277 5.95180723],0
d2,1,0.216775,1.525597,[37 36] ; [9 4],[39.04651163 33.95348837] ; [6.95348837 6.04651163],0
a7,1,0.222473,1.488346,[48 27] ; [6 7],[46.02272727 28.97727273] ; [7.97727273 5.02272727],0
a8,1,0.29255,1.107848,[ 9 65] ; [ 3 10],[10.20689655 63.79310345] ; [ 1.79310345 11.20689655],0
p4,1,0.33231,0.939877,[27 46] ; [ 3 10],[25.46511628 47.53488372] ; [4.53488372 8.46511628],0
n1,1,0.338426,0.916385,[14 11] ; [6 2],[15.15151515  9.84848485] ; [4.84848485 3.15151515],0
d3,1,0.341711,0.904002,[44 29] ; [6 7],[42.44186047 30.55813953] ; [7.55813953 5.44186047],0
d5,1,0.35712,0.847995,[54 19] ; [8 5],[52.62790698 20.37209302] ; [9.37209302 3.62790698],0
a4,1,0.367439,0.812308,[39 36] ; [5 8],[37.5 37.5] ; [6.5 6.5],0
s5,1,0.428236,0.627603,[24 46] ; [ 3 10],[22.77108434 47.22891566] ; [4.22891566 8.77108434],0
a3,1,0.463579,0.537241,[50 25] ; [10  3],[51.13636364 23.86363636] ; [8.86363636 4.13636364],0
b1,1,0.524467,0.4051,[39 36] ; [8 5],[40.05681818 34.94318182] ; [6.94318182 6.05681818],0
d4,1,0.526867,0.40043,[56 17] ; [11  2],[56.87209302 16.12790698] ; [10.12790698  2.87209302],0
p6,1,0.526867,0.40043,[17 56] ; [ 2 11],[16.12790698 56.87209302] ; [ 2.87209302 10.12790698],0
n5,1,0.530256,0.393902,[52 22] ; [8 5],[51.03448276 22.96551724] ; [8.96551724 4.03448276],0
v3,1,0.547403,0.361991,[23 45] ; [3 9],[22.1 45.9] ; [3.9 8.1],0
b3,1,0.591729,0.287652,[15 33] ; [4 6],[15.72413793 32.27586207] ; [3.27586207 6.72413793],0
b2,1,0.591729,0.287652,[15 33] ; [4 6],[15.72413793 32.27586207] ; [3.27586207 6.72413793],0
d1,1,0.645192,0.212015,[41 34] ; [8 5],[41.76136364 33.23863636] ; [7.23863636 5.76136364],0
a5,1,0.647264,0.209367,[51 24] ; [8 5],[50.28409091 24.71590909] ; [8.71590909 4.28409091],0
b4,1,0.709757,0.13852,[42 33] ; [8 5],[42.61363636 32.38636364] ; [7.38636364 5.61363636],0
n4,1,0.718765,0.129679,[50 25] ; [8 5],[49.43181818 25.56818182] ; [8.56818182 4.43181818],0
n3,1,0.74047,0.109714,[16  9] ; [4 3],[15.625  9.375] ; [4.375 2.625],0
u2,1,0.823218,0.049911,[15 10] ; [2 1],[15.17857143  9.82142857] ; [1.82142857 1.17857143],0
p7,1,0.825667,0.048515,[30 40] ; [6 7],[30.36144578 39.63855422] ; [5.63855422 7.36144578],0
p3,1,0.843951,0.038747,[26 47] ; [5 8],[26.31395349 46.68604651] ; [4.68604651 8.31395349],0
p8,1,0.868123,0.02757,[14 61] ; [ 2 10],[13.79310345 61.20689655] ; [2.20689655 9.79310345],0
a1,1,0.892262,0.018345,[ 5 70] ; [ 1 12],[ 5.11363636 69.88636364] ; [ 0.88636364 12.11363636],0
s4,1,0.942536,0.005196,[18 57] ; [ 3 10],[17.89772727 57.10227273] ; [3.10227273 9.89772727],0
