Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.705177,[77 19] ; [ 6 20],[65.31147541 30.68852459] ; [17.68852459  8.31147541],1
r3,1,0.0,26.010454,[83 13] ; [10 16],[73.18032787 22.81967213] ; [19.81967213  6.18032787],1
r2,1,2.6e-05,17.658557,[84 12] ; [13 13],[76.32786885 19.67213115] ; [20.67213115  5.32786885],1
p2,1,0.000962,10.900057,[64 32] ; [ 8 18],[56.6557377 39.3442623] ; [15.3442623 10.6557377],1
n2,1,0.001424,10.174398,[28  6] ; [3 7],[23.95454545 10.04545455] ; [7.04545455 2.95454545],0
p11,1,0.006447,7.42078,[51 45] ; [ 6 20],[44.85245902 51.14754098] ; [12.14754098 13.85245902],0
n6,1,0.008152,6.999842,[61 35] ; [ 9 17],[55.08196721 40.91803279] ; [14.91803279 11.08196721],0
u3,1,0.010979,6.468765,[25 27] ; [ 2 14],[20.64705882 31.35294118] ; [6.35294118 9.64705882],0
p7,1,0.022549,5.20291,[50 46] ; [ 7 19],[44.85245902 51.14754098] ; [12.14754098 13.85245902],0
n3,1,0.022825,5.181764,[25  7] ; [4 6],[22.0952381  9.9047619] ; [6.9047619 3.0952381],0
p3,1,0.033099,4.540666,[36 60] ; [ 4 22],[31.47540984 64.52459016] ; [ 8.52459016 17.47540984],0
s6,1,0.037412,4.331568,[43 51] ; [ 6 20],[38.38333333 55.61666667] ; [10.61666667 15.38333333],0
r1,1,0.039851,4.224214,[62 34] ; [11 15],[57.44262295 38.55737705] ; [15.55737705 10.44262295],0
v2,1,0.043744,4.066399,[34 60] ; [ 4 22],[29.76666667 64.23333333] ; [ 8.23333333 17.76666667],0
s7,1,0.049094,3.872143,[25 66] ; [ 2 22],[21.36521739 69.63478261] ; [ 5.63478261 18.36521739],0
p6,1,0.065284,3.397798,[24 72] ; [ 2 23],[20.62809917 75.37190083] ; [ 5.37190083 19.62809917],0
v1,1,0.074816,3.174069,[36 59] ; [ 5 21],[32.19008264 62.80991736] ; [ 8.80991736 17.19008264],0
