Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.018635,5.535457,[9 7] ; [10 32],[ 5.24137931 10.75862069] ; [13.75862069 28.24137931],0
p7,1,0.030626,4.673791,[11  5] ; [16 27],[7.3220339 8.6779661] ; [19.6779661 23.3220339],0
n5,1,0.032634,4.56487,[8 8] ; [33  9],[11.31034483  4.68965517] ; [29.68965517 12.31034483],0
a6,1,0.079839,3.068182,[ 5 11] ; [25 19],[8. 8.] ; [22. 22.],0
v3,1,0.08914,2.889828,[7 9] ; [ 9 33],[ 4.4137931 11.5862069] ; [11.5862069 30.4137931],0
n6,1,0.099298,2.716783,[13  3] ; [25 18],[10.30508475  5.69491525] ; [27.69491525 15.30508475],0
d2,1,0.10835,2.578125,[ 1 15] ; [11 33],[ 3.2 12.8] ; [ 8.8 35.2],0
v4,1,0.123391,2.373741,[14  2] ; [29 14],[11.66101695  4.33898305] ; [31.33898305 11.66101695],0
p6,1,0.129338,2.300434,[ 6 10] ; [ 8 35],[ 3.79661017 12.20338983] ; [10.20338983 32.79661017],0
r3,1,0.133767,2.248232,[13  3] ; [26 17],[10.57627119  5.42372881] ; [28.42372881 14.57627119],0
d5,1,0.134813,2.236185,[ 4 12] ; [20 23],[6.50847458 9.49152542] ; [17.49152542 25.50847458],0
a3,1,0.135452,2.228879,[ 4 11] ; [21 22],[6.46551724 8.53448276] ; [18.53448276 24.46551724],0
r4,1,0.152661,2.045455,[12  4] ; [24 20],[9.6 6.4] ; [26.4 17.6],0
b2,1,0.159969,1.974519,[1 8] ; [ 9 16],[2.64705882 6.35294118] ; [ 7.35294118 17.64705882],0
b3,1,0.159969,1.974519,[1 8] ; [ 9 16],[2.64705882 6.35294118] ; [ 7.35294118 17.64705882],0
r2,1,0.1815,1.785296,[15  1] ; [34  9],[13.28813559  2.71186441] ; [35.71186441  7.28813559],0
v1,1,0.19622,1.670291,[8 8] ; [14 30],[ 5.86666667 10.13333333] ; [16.13333333 27.86666667],0
s6,1,0.208494,1.581854,[8 7] ; [15 28],[5.94827586 9.05172414] ; [17.05172414 25.94827586],0
a4,1,0.219024,1.510758,[ 1 14] ; [ 9 35],[ 2.54237288 12.45762712] ; [ 7.45762712 36.54237288],0
p2,1,0.254706,1.297306,[11  5] ; [23 21],[9.06666667 6.93333333] ; [24.93333333 19.06666667],0
v2,1,0.297117,1.087089,[ 6 10] ; [10 32],[ 4.4137931 11.5862069] ; [11.5862069 30.4137931],0
s7,1,0.326214,0.963869,[7 9] ; [12 28],[ 5.42857143 10.57142857] ; [13.57142857 26.42857143],0
b4,1,0.340356,0.909091,[8 8] ; [16 28],[6.4 9.6] ; [17.6 26.4],0
p10,1,0.353611,0.860458,[8 8] ; [15 26],[6.45614035 9.54385965] ; [16.54385965 24.45614035],0
r1,1,0.360758,0.835253,[9 7] ; [18 24],[7.44827586 8.55172414] ; [19.55172414 22.44827586],0
s8,1,0.403035,0.699251,[ 3 13] ; [13 31],[ 4.26666667 11.73333333] ; [11.73333333 32.26666667],0
n3,1,0.412086,0.672773,[3 1] ; [10  9],[2.26086957 1.73913043] ; [10.73913043  8.26086957],0
a7,1,0.488566,0.479682,[10  6] ; [22 20],[8.82758621 7.17241379] ; [23.17241379 18.82758621],0
n1,1,0.524471,0.405093,[2 2] ; [ 7 14],[1.44 2.56] ; [ 7.56 13.44],0
p4,1,0.529735,0.394899,[8 8] ; [18 26],[6.93333333 9.06666667] ; [19.06666667 24.93333333],0
u3,1,0.560891,0.338164,[4 8] ; [10 13],[4.8 7.2] ; [ 9.2 13.8],0
p9,1,0.61224,0.256925,[9 7] ; [20 21],[8.14035088 7.85964912] ; [20.85964912 20.14035088],0
s5,1,0.648711,0.207529,[ 3 13] ; [ 6 37],[ 2.44067797 13.55932203] ; [ 6.55932203 36.44067797],0
s2,1,0.71344,0.134865,[ 5 11] ; [16 28],[ 5.6 10.4] ; [15.4 28.6],0
u2,1,0.73549,0.11413,[3 9] ; [ 7 16],[3.42857143 8.57142857] ; [ 6.57142857 16.42857143],0
b5,1,0.754969,0.097403,[8 8] ; [24 20],[8.53333333 7.46666667] ; [23.46666667 20.53333333],0
a5,1,0.754969,0.097403,[8 8] ; [20 24],[7.46666667 8.53333333] ; [20.53333333 23.46666667],0
n4,1,0.765407,0.089035,[10  6] ; [28 14],[10.48275862  5.51724138] ; [27.51724138 14.48275862],0
p5,1,0.788776,0.07177,[ 1 15] ; [ 2 42],[ 0.8 15.2] ; [ 2.2 41.8],0
s3,1,0.814389,0.055116,[7 8] ; [19 25],[6.61016949 8.38983051] ; [19.38983051 24.61016949],0
s1,1,0.904533,0.014385,[ 1 15] ; [ 3 39],[ 1.10344828 14.89655172] ; [ 2.89655172 39.10344828],0
p1,1,0.908836,0.013112,[ 2 14] ; [ 6 38],[ 2.13333333 13.86666667] ; [ 5.86666667 38.13333333],0
s4,1,0.959885,0.00253,[ 3 13] ; [ 8 36],[ 2.93333333 13.06666667] ; [ 8.06666667 35.93333333],0
b1,1,0.968671,0.001543,[9 7] ; [25 19],[9.06666667 6.93333333] ; [24.93333333 19.06666667],0
a8,1,0.97453,0.001019,[ 2 12] ; [ 6 35],[ 2.03636364 11.96363636] ; [ 5.96363636 35.03636364],0
p3,1,1.0,0.0,[ 4 12] ; [11 33],[ 4. 12.] ; [11. 33.],0
