Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.7e-05,18.444323,[68 16] ; [75 68],[52.91629956 31.08370044] ; [90.08370044 52.91629956],1
p7,1,0.000102,15.092773,[66 16] ; [77 64],[52.58295964 29.41704036] ; [90.41704036 50.58295964],1
p3,1,0.000567,11.881937,[56 28] ; [61 81],[43.48672566 40.51327434] ; [73.51327434 68.48672566],1
p8,1,0.000808,11.222249,[54 28] ; [61 82],[41.91111111 40.08888889] ; [73.08888889 69.91111111],1
p2,1,0.004878,7.924029,[77  7] ; [110  33],[69.19823789 14.80176211] ; [117.80176211  25.19823789],0
p12,1,0.013357,6.121215,[10 73] ; [  5 137],[ 5.53333333 77.46666667] ; [  9.46666667 132.53333333],0
r2,1,0.034213,4.484028,[82  1] ; [130  11],[78.55357143  4.44642857] ; [133.44642857   7.55357143],0
n2,1,0.040325,4.204159,[8 8] ; [26  7],[11.10204082  4.89795918] ; [22.89795918 10.10204082],0
n5,1,0.043391,4.080115,[72 11] ; [108  35],[66.10619469 16.89380531] ; [113.89380531  29.10619469],0
v4,1,0.047065,3.943048,[83  1] ; [131  10],[79.89333333  4.10666667] ; [134.10666667   6.89333333],0
n4,1,0.047759,3.918449,[75  9] ; [113  30],[69.56828194 14.43171806] ; [118.43171806  24.56828194],0
n3,1,0.069007,3.306482,[13  3] ; [18 15],[10.12244898  5.87755102] ; [20.87755102 12.12244898],0
n6,1,0.070396,3.273756,[77  7] ; [118  24],[72.47787611 11.52212389] ; [122.52212389  19.47787611],0
p5,1,0.077435,3.117941,[13 71] ; [ 11 128],[ 9.04035874 74.95964126] ; [ 14.95964126 124.04035874],0
p9,1,0.079726,3.070475,[75  8] ; [116  26],[70.45777778 12.54222222] ; [120.54222222  21.45777778],0
b3,1,0.110979,2.540223,[31 34] ; [36 66],[26.07784431 38.92215569] ; [40.92215569 61.07784431],0
b2,1,0.110979,2.540223,[31 34] ; [36 66],[26.07784431 38.92215569] ; [40.92215569 61.07784431],0
s8,1,0.116833,2.459267,[59 25] ; [85 57],[53.52212389 30.47787611] ; [90.47787611 51.52212389],0
v3,1,0.183761,1.766945,[40 42] ; [53 81],[35.30555556 46.69444444] ; [57.69444444 76.30555556],0
u3,1,0.187318,1.738587,[14  4] ; [19 13],[11.88  6.12] ; [21.12 10.88],0
b4,1,0.212826,1.5521,[41 43] ; [82 61],[45.5154185 38.4845815] ; [77.4845815 65.5154185],0
u2,1,0.228602,1.449541,[13  5] ; [17 14],[11.02040816  6.97959184] ; [18.97959184 12.02040816],0
r4,1,0.260685,1.265117,[76  8] ; [122  21],[73.26872247 10.73127753] ; [124.73127753  18.26872247],0
v1,1,0.263154,1.252088,[48 34] ; [69 67],[44.00917431 37.99082569] ; [72.99082569 63.00917431],0
d4,1,0.301093,1.069345,[72 12] ; [114  28],[69.13274336 14.86725664] ; [116.86725664  25.13274336],0
v2,1,0.364796,0.821316,[50 34] ; [73 64],[46.75113122 37.24886878] ; [76.24886878 60.75113122],0
d2,1,0.403552,0.697715,[48 36] ; [73 69],[44.97345133 39.02654867] ; [76.02654867 65.97345133],0
p1,1,0.438013,0.601483,[ 9 75] ; [ 11 132],[ 7.40088106 76.59911894] ; [ 12.59911894 130.40088106],0
