Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.1e-05,19.296133,[63  5] ; [46 29],[51.83216783 16.16783217] ; [57.16783217 17.83216783],1
p6,1,1.2e-05,19.173558,[34 35] ; [11 62],[21.86619718 47.13380282] ; [23.13380282 49.86619718],1
r4,1,0.000204,13.795673,[61  8] ; [46 29],[51.27083333 17.72916667] ; [55.72916667 19.27083333],1
p2,1,0.000272,13.253085,[55 14] ; [38 37],[44.5625 24.4375] ; [48.4375 26.5625],1
p3,1,0.000894,11.035175,[35 34] ; [18 57],[25.39583333 43.60416667] ; [27.60416667 47.39583333],1
v4,1,0.004063,8.255556,[63  5] ; [56 19],[56.58741259 11.41258741] ; [62.41258741 12.58741259],0
s6,1,0.004138,8.222355,[47 19] ; [35 39],[38.65714286 27.34285714] ; [43.34285714 30.65714286],0
p10,1,0.004768,7.965505,[45 23] ; [31 42],[36.65248227 31.34751773] ; [39.34751773 33.65248227],0
p8,1,0.010636,6.525062,[29 39] ; [17 58],[21.87412587 46.12587413] ; [24.12587413 50.87412587],0
n3,1,0.018138,5.582741,[15  4] ; [17 20],[10.85714286  8.14285714] ; [21.14285714 15.85714286],0
a8,1,0.021121,5.316774,[15 47] ; [ 6 60],[10.171875 51.828125] ; [10.828125 55.171875],0
p1,1,0.022215,5.228845,[ 3 66] ; [12 63],[ 7.1875 61.8125] ; [ 7.8125 67.1875],0
p4,1,0.025264,5.005686,[39 30] ; [28 46],[32.32867133 36.67132867] ; [34.67132867 39.32867133],0
r1,1,0.032149,4.590533,[53 14] ; [47 28],[47.18309859 19.81690141] ; [52.81690141 22.18309859],0
v1,1,0.033494,4.520348,[37 32] ; [27 48],[30.66666667 38.33333333] ; [33.33333333 41.66666667],0
u2,1,0.053027,3.743056,[10 11] ; [ 6 22],[ 6.85714286 14.14285714] ; [ 9.14285714 18.85714286],0
u3,1,0.056713,3.630988,[13  9] ; [ 9 19],[ 9.68 12.32] ; [12.32 15.68],0
a1,1,0.060159,3.532998,[ 3 66] ; [10 65],[ 6.22916667 62.77083333] ; [ 6.77083333 68.22916667],0
d5,1,0.061056,3.508468,[54 14] ; [49 26],[48.97902098 19.02097902] ; [54.02097902 20.97902098],0
p9,1,0.062127,3.479666,[49 19] ; [41 31],[43.71428571 24.28571429] ; [46.28571429 25.71428571],0
v2,1,0.063217,3.450904,[32 35] ; [24 50],[26.60992908 40.39007092] ; [29.39007092 44.60992908],0
a7,1,0.076843,3.130435,[51 18] ; [45 30],[46. 23.] ; [50. 25.],0
s5,1,0.078764,3.09022,[25 42] ; [17 55],[20.24460432 46.75539568] ; [21.75539568 50.24460432],0
n6,1,0.119174,2.428143,[57 12] ; [53 21],[53.07692308 15.92307692] ; [56.92307692 17.07692308],0
r2,1,0.127552,2.322053,[64  4] ; [64 10],[61.29577465  6.70422535] ; [66.70422535  7.29577465],0
b5,1,0.128399,2.311758,[48 21] ; [43 32],[43.60416667 25.39583333] ; [47.39583333 27.60416667],0
s3,1,0.206163,1.598166,[39 30] ; [34 40],[35.22377622 33.77622378] ; [37.77622378 36.22377622],0
a5,1,0.230543,1.437505,[48 21] ; [45 30],[44.5625 24.4375] ; [48.4375 26.5625],0
b1,1,0.263138,1.252174,[35 34] ; [45 30],[38.33333333 30.66666667] ; [41.66666667 33.33333333],0
b2,1,0.279946,1.167353,[11 25] ; [19 26],[13.33333333 22.66666667] ; [16.66666667 28.33333333],0
b3,1,0.279946,1.167353,[11 25] ; [19 26],[13.33333333 22.66666667] ; [16.66666667 28.33333333],0
a6,1,0.298601,1.080432,[43 25] ; [41 34],[39.94405594 28.05594406] ; [44.05594406 30.94405594],0
d4,1,0.299477,1.076522,[50 17] ; [50 25],[47.18309859 19.81690141] ; [52.81690141 22.18309859],0
n2,1,0.334876,0.92995,[15  4] ; [26 13],[13.43103448  5.56896552] ; [27.56896552 11.43103448],0
u1,1,0.373482,0.792047,[14 55] ; [11 64],[11.97916667 57.02083333] ; [13.02083333 61.97916667],0
