Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,53.36444,[55  7] ; [ 9 38],[36.40366972 25.59633028] ; [27.59633028 19.40366972],1
s6,1,3.9e-05,16.916427,[53  9] ; [23 24],[43.2293578 18.7706422] ; [32.7706422 14.2293578],1
s8,1,0.000108,14.99666,[39 23] ; [12 35],[29.00917431 32.99082569] ; [21.99082569 25.00917431],1
s7,1,0.000827,11.17901,[33 21] ; [12 32],[24.79591837 29.20408163] ; [20.20408163 23.79591837],1
d4,1,0.001443,10.150479,[57  5] ; [32 15],[50.62385321 11.37614679] ; [38.37614679  8.62385321],0
d1,1,0.00618,7.49709,[45 17] ; [22 25],[38.11009174 23.88990826] ; [28.88990826 18.11009174],0
u3,1,0.00799,7.035817,[13  2] ; [ 7 10],[9.375 5.625] ; [10.625  6.375],0
s4,1,0.013526,6.098973,[13 49] ; [ 2 44],[ 8.61111111 53.38888889] ; [ 6.38888889 39.61111111],0
d2,1,0.026016,4.954932,[39 23] ; [19 27],[33.2962963 28.7037037] ; [24.7037037 21.2962963],0
s5,1,0.044703,4.029816,[23 33] ; [10 35],[18.2970297 37.7029703] ; [14.7029703 30.2970297],0
v3,1,0.066949,3.356284,[22 34] ; [10 35],[17.74257426 38.25742574] ; [14.25742574 30.74257426],0
b1,1,0.076767,3.132043,[33 29] ; [17 30],[28.44036697 33.55963303] ; [21.55963303 25.44036697],0
p12,1,0.07819,3.102134,[ 9 53] ; [ 2 45],[ 6.25688073 55.74311927] ; [ 4.74311927 42.25688073],0
b3,1,0.08481,2.970217,[12 27] ; [14 13],[15.36363636 23.63636364] ; [10.63636364 16.36363636],0
b2,1,0.08481,2.970217,[12 27] ; [14 13],[15.36363636 23.63636364] ; [10.63636364 16.36363636],0
u2,1,0.092111,2.837088,[10  4] ; [ 7 10],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
n1,1,0.12663,2.333333,[10  6] ; [4 8],[8. 8.] ; [6. 6.],0
a6,1,0.141884,2.157411,[35 27] ; [33 14],[38.67889908 23.32110092] ; [29.32110092 17.67889908],0
a3,1,0.173895,1.849043,[47 15] ; [30 17],[43.79816514 18.20183486] ; [33.20183486 13.79816514],0
u1,1,0.189836,1.718894,[14 48] ; [ 6 41],[11.37614679 50.62385321] ; [ 8.62385321 38.37614679],0
a5,1,0.195148,1.678322,[49 13] ; [32 15],[46.0733945 15.9266055] ; [34.9266055 12.0733945],0
b5,1,0.215169,1.536303,[39 23] ; [24 23],[35.83486239 26.16513761] ; [27.16513761 19.83486239],0
d5,1,0.243611,1.359574,[54  8] ; [37 10],[51.76146789 10.23853211] ; [39.23853211  7.76146789],0
b4,1,0.255795,1.291371,[37 25] ; [33 14],[39.81651376 22.18348624] ; [30.18348624 16.81651376],0
n2,1,0.350045,0.873294,[12  4] ; [7 5],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
p9,1,0.377448,0.778997,[52  9] ; [37 10],[50.26851852 10.73148148] ; [38.73148148  8.26851852],0
r4,1,0.389705,0.739862,[55  7] ; [39  8],[53.46788991  8.53211009] ; [40.53211009  6.46788991],0
v1,1,0.400925,0.70555,[32 25] ; [22 24],[29.88349515 27.11650485] ; [24.11650485 21.88349515],0
s1,1,0.409466,0.680352,[ 5 56] ; [ 2 45],[ 3.9537037 57.0462963] ; [ 3.0462963 43.9537037],0
r3,1,0.431566,0.618606,[58  4] ; [42  5],[56.88073394  5.11926606] ; [43.11926606  3.88073394],0
p11,1,0.445066,0.583188,[42 20] ; [35 12],[43.79816514 18.20183486] ; [33.20183486 13.79816514],0
p4,1,0.574579,0.31508,[49 13] ; [35 12],[47.77981651 14.22018349] ; [36.22018349 10.77981651],0
p8,1,0.576039,0.312682,[18 44] ; [16 31],[19.33944954 42.66055046] ; [14.66055046 32.33944954],0
a4,1,0.581886,0.303195,[31 31] ; [21 26],[29.57798165 32.42201835] ; [22.42201835 24.57798165],0
d3,1,0.597878,0.278208,[40 22] ; [28 19],[38.67889908 23.32110092] ; [29.32110092 17.67889908],0
n5,1,0.681678,0.168243,[47 15] ; [34 13],[46.0733945 15.9266055] ; [34.9266055 12.0733945],0
a7,1,0.706746,0.141549,[43 19] ; [31 16],[42.09174312 19.90825688] ; [31.90825688 15.09174312],0
n3,1,0.71714,0.13125,[11  5] ; [9 3],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
p6,1,0.720307,0.128198,[14 48] ; [12 35],[14.78899083 47.21100917] ; [11.21100917 35.78899083],0
a8,1,0.720926,0.127607,[ 3 54] ; [ 3 40],[ 3.42 53.58] ; [ 2.58 40.42],0
p10,1,0.736743,0.11301,[45 16] ; [36 11],[45.75 15.25] ; [35.25 11.75],0
a2,1,0.755252,0.097171,[12 50] ; [ 8 39],[11.37614679 50.62385321] ; [ 8.62385321 38.37614679],0
n6,1,0.755252,0.097171,[50 12] ; [39  8],[50.62385321 11.37614679] ; [38.37614679  8.62385321],0
