Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.7e-05,17.633971,[7 1] ; [ 7 37],[2.15384615 5.84615385] ; [11.84615385 32.15384615],1
s8,1,0.000254,13.379167,[6 3] ; [ 6 42],[1.89473684 7.10526316] ; [10.10526316 37.89473684],1
a2,1,0.004533,8.056731,[3 6] ; [ 2 46],[0.78947368 8.21052632] ; [ 4.21052632 43.78947368],0
p5,1,0.014179,6.015731,[2 7] ; [ 1 46],[0.48214286 8.51785714] ; [ 2.51785714 44.48214286],0
v1,1,0.020797,5.34375,[6 3] ; [13 35],[3. 6.] ; [16. 32.],0
b3,1,0.022848,5.180047,[4 2] ; [ 7 26],[1.69230769 4.30769231] ; [ 9.30769231 23.69230769],0
b2,1,0.022848,5.180047,[4 2] ; [ 7 26],[1.69230769 4.30769231] ; [ 9.30769231 23.69230769],0
s6,1,0.030527,4.679392,[6 3] ; [14 34],[3.15789474 5.84210526] ; [16.84210526 31.15789474],0
p12,1,0.051666,3.786557,[2 7] ; [ 2 46],[0.63157895 8.36842105] ; [ 3.36842105 44.63157895],0
a5,1,0.060951,3.511315,[7 2] ; [21 27],[4.42105263 4.57894737] ; [23.57894737 24.42105263],0
a3,1,0.068872,3.309693,[7 2] ; [21 26],[4.5 4.5] ; [23.5 23.5],0
p10,1,0.069445,3.296099,[6 2] ; [19 28],[3.63636364 4.36363636] ; [21.36363636 25.63636364],0
d5,1,0.078556,3.09452,[7 2] ; [22 26],[4.57894737 4.42105263] ; [24.42105263 23.57894737],0
p11,1,0.099676,2.710725,[7 2] ; [23 25],[4.73684211 4.26315789] ; [25.26315789 22.73684211],0
p4,1,0.103884,2.644886,[6 3] ; [18 30],[3.78947368 5.21052632] ; [20.21052632 27.78947368],0
d3,1,0.103884,2.644886,[6 3] ; [18 30],[3.78947368 5.21052632] ; [20.21052632 27.78947368],0
s2,1,0.109268,2.56477,[4 4] ; [11 37],[2.14285714 5.85714286] ; [12.85714286 35.14285714],0
d1,1,0.131025,2.280316,[4 5] ; [10 38],[2.21052632 6.78947368] ; [11.78947368 36.21052632],0
a6,1,0.132948,2.257734,[6 3] ; [19 29],[3.94736842 5.05263158] ; [21.05263158 26.94736842],0
v2,1,0.134707,2.237409,[5 4] ; [14 33],[3.05357143 5.94642857] ; [15.94642857 31.05357143],0
p9,1,0.155685,2.015647,[6 2] ; [22 24],[4.14814815 3.85185185] ; [23.85185185 22.14814815],0
n6,1,0.172111,1.86446,[7 2] ; [25 22],[5.14285714 3.85714286] ; [26.85714286 20.14285714],0
d2,1,0.178339,1.811409,[4 5] ; [11 37],[2.36842105 6.63157895] ; [12.63157895 35.36842105],0
p3,1,0.191621,1.705111,[4 5] ; [11 36],[2.41071429 6.58928571] ; [12.58928571 34.41071429],0
s5,1,0.212798,1.552288,[2 7] ; [ 4 44],[0.94736842 8.05263158] ; [ 5.05263158 42.94736842],0
r1,1,0.233534,1.419207,[4 5] ; [12 36],[2.52631579 6.47368421] ; [13.47368421 34.52631579],0
p8,1,0.249897,1.323877,[4 5] ; [12 35],[2.57142857 6.42857143] ; [13.42857143 33.57142857],0
b1,1,0.254763,1.296997,[4 5] ; [31 17],[5.52631579 3.47368421] ; [29.47368421 18.52631579],0
n2,1,0.329929,0.949175,[4 1] ; [13 10],[3.03571429 1.96428571] ; [13.96428571  9.03571429],0
u1,1,0.391905,0.733025,[1 8] ; [ 2 46],[0.47368421 8.52631579] ; [ 2.52631579 45.47368421],0
p6,1,0.475052,0.510201,[2 7] ; [ 6 40],[1.30909091 7.69090909] ; [ 6.69090909 39.30909091],0
a7,1,0.514062,0.425791,[5 4] ; [21 27],[4.10526316 4.89473684] ; [21.89473684 26.10526316],0
s3,1,0.571057,0.320918,[3 5] ; [13 34],[2.32727273 5.67272727] ; [13.67272727 33.32727273],0
p2,1,0.640055,0.21867,[6 3] ; [28 20],[5.36842105 3.63157895] ; [28.63157895 19.36842105],0
b5,1,0.674003,0.176955,[4 5] ; [25 23],[4.57894737 4.42105263] ; [24.42105263 23.57894737],0
n1,1,0.678088,0.172286,[2 3] ; [ 7 16],[1.60714286 3.39285714] ; [ 7.39285714 15.60714286],0
p7,1,0.694534,0.154221,[4 5] ; [18 30],[3.47368421 5.52631579] ; [18.52631579 29.47368421],0
a4,1,0.70178,0.146627,[3 6] ; [13 35],[2.52631579 6.47368421] ; [13.47368421 34.52631579],0
n5,1,0.72376,0.124919,[6 3] ; [29 19],[5.52631579 3.47368421] ; [29.47368421 18.52631579],0
p1,1,0.786908,0.073077,[1 8] ; [ 4 44],[0.78947368 8.21052632] ; [ 4.21052632 43.78947368],0
v4,1,0.848177,0.036651,[4 5] ; [23 25],[4.26315789 4.73684211] ; [22.73684211 25.26315789],0
u2,1,0.878842,0.023237,[1 1] ; [12 15],[0.89655172 1.10344828] ; [12.10344828 14.89655172],0
n3,1,0.886731,0.02029,[3 2] ; [13 10],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
r3,1,0.916348,0.011032,[5 4] ; [27 20],[5.14285714 3.85714286] ; [26.85714286 20.14285714],0
n4,1,0.969267,0.001484,[5 4] ; [27 21],[5.05263158 3.94736842] ; [26.94736842 21.05263158],0
b4,1,0.969267,0.001484,[5 4] ; [27 21],[5.05263158 3.94736842] ; [26.94736842 21.05263158],0
