Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.485089,[60 17] ; [ 8 22],[48.93457944 28.06542056] ; [19.06542056 10.93457944],1
p2,1,2.5e-05,17.727087,[63 12] ; [13 17],[54.28571429 20.71428571] ; [21.71428571  8.28571429],1
d3,1,0.000139,14.517886,[64 13] ; [14 16],[56.13084112 20.86915888] ; [21.86915888  8.13084112],1
p9,1,0.001216,10.46625,[63 11] ; [16 13],[56.75728155 17.24271845] ; [22.24271845  6.75728155],0
p10,1,0.007167,7.23069,[60 14] ; [16 13],[54.60194175 19.39805825] ; [21.39805825  7.60194175],0
n1,1,0.007384,7.177033,[ 4 16] ; [7 3],[ 7.33333333 12.66666667] ; [3.66666667 6.33333333],0
b5,1,0.009074,6.808283,[52 25] ; [12 18],[46.05607477 30.94392523] ; [17.94392523 12.05607477],0
u1,1,0.01097,6.47018,[19 58] ; [ 1 29],[14.39252336 62.60747664] ; [ 5.60747664 24.39252336],0
d1,1,0.011572,6.375273,[49 28] ; [11 19],[43.17757009 33.82242991] ; [16.82242991 13.17757009],0
n3,1,0.014611,5.962733,[18  2] ; [5 5],[15.33333333  4.66666667] ; [7.66666667 2.33333333],0
r2,1,0.025536,4.987133,[73  3] ; [25  5],[70.26415094  5.73584906] ; [27.73584906  2.26415094],0
a2,1,0.026437,4.927197,[20 57] ; [ 2 28],[15.8317757 61.1682243] ; [ 6.1682243 23.8317757],0
v4,1,0.031727,4.61317,[74  2] ; [26  4],[71.69811321  4.30188679] ; [28.30188679  1.69811321],0
r3,1,0.033069,4.542205,[76  1] ; [27  3],[74.12149533  2.87850467] ; [28.87850467  1.12149533],0
d5,1,0.041295,4.163877,[65 12] ; [20 10],[61.1682243 15.8317757] ; [23.8317757  6.1682243],0
d4,1,0.083224,3.000786,[69  8] ; [23  7],[66.20560748 10.79439252] ; [25.79439252  4.20560748],0
s3,1,0.089284,2.887244,[67 10] ; [22  8],[64.04672897 12.95327103] ; [24.95327103  5.04672897],0
r1,1,0.126184,2.338839,[57 19] ; [18 12],[53.77358491 22.22641509] ; [21.22641509  8.77358491],0
r4,1,0.129203,2.302051,[68  9] ; [23  7],[65.48598131 11.51401869] ; [25.51401869  4.48598131],0
a1,1,0.150507,2.067104,[ 4 73] ; [ 4 26],[ 5.75700935 71.24299065] ; [ 2.24299065 27.75700935],0
v1,1,0.162683,1.949109,[28 45] ; [16 14],[31.18446602 41.81553398] ; [12.81553398 17.18446602],0
u2,1,0.184946,1.757424,[19  9] ; [6 7],[17.07317073 10.92682927] ; [7.92682927 5.07317073],0
n6,1,0.185344,1.754248,[51 25] ; [16 14],[48.03773585 27.96226415] ; [18.96226415 11.03773585],0
p3,1,0.194654,1.682039,[30 46] ; [16 14],[32.98113208 43.01886792] ; [13.01886792 16.98113208],0
a4,1,0.215384,1.534863,[26 51] ; [14 16],[28.78504673 48.21495327] ; [11.21495327 18.78504673],0
b1,1,0.234698,1.412162,[24 53] ; [13 17],[26.62616822 50.37383178] ; [10.37383178 19.62616822],0
s7,1,0.302692,1.062296,[40 34] ; [11 15],[37.74 36.26] ; [13.26 12.74],0
a5,1,0.340427,0.908824,[56 21] ; [19 11],[53.97196262 23.02803738] ; [21.02803738  8.97196262],0
u3,1,0.378019,0.777133,[21  7] ; [8 5],[19.80487805  8.19512195] ; [9.19512195 3.80487805],0
n4,1,0.38698,0.748409,[30 47] ; [ 9 21],[28.06542056 48.93457944] ; [10.93457944 19.06542056],0
p12,1,0.41411,0.666969,[ 6 70] ; [ 1 28],[ 5.06666667 70.93333333] ; [ 1.93333333 27.06666667],0
d2,1,0.452708,0.563863,[37 40] ; [12 18],[35.26168224 41.73831776] ; [13.73831776 16.26168224],0
b4,1,0.505339,0.443706,[49 28] ; [17 13],[47.4953271 29.5046729] ; [18.5046729 11.4953271],0
p1,1,0.560828,0.338273,[ 5 70] ; [ 3 27],[ 5.71428571 69.28571429] ; [ 2.28571429 27.71428571],0
s4,1,0.586105,0.296469,[24 53] ; [11 19],[25.18691589 51.81308411] ; [ 9.81308411 20.18691589],0
v3,1,0.609497,0.260909,[22 51] ; [ 7 21],[20.96039604 52.03960396] ; [ 8.03960396 19.96039604],0
p6,1,0.619708,0.246278,[24 52] ; [ 8 22],[22.94339623 53.05660377] ; [ 9.05660377 20.94339623],0
p11,1,0.678607,0.171698,[47 30] ; [17 13],[46.05607477 30.94392523] ; [17.94392523 12.05607477],0
a3,1,0.678607,0.171698,[47 30] ; [17 13],[46.05607477 30.94392523] ; [17.94392523 12.05607477],0
b2,1,0.74317,0.10736,[ 9 27] ; [ 4 15],[ 8.50909091 27.49090909] ; [ 4.49090909 14.50909091],0
b3,1,0.74317,0.10736,[ 9 27] ; [ 4 15],[ 8.50909091 27.49090909] ; [ 4.49090909 14.50909091],0
n2,1,0.770335,0.085227,[15  5] ; [7 3],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
a8,1,0.789865,0.071014,[ 4 66] ; [ 2 26],[ 4.28571429 65.71428571] ; [ 1.71428571 26.28571429],0
s8,1,0.85629,0.032797,[37 40] ; [15 15],[37.42056075 39.57943925] ; [14.57943925 15.42056075],0
s5,1,0.885835,0.020614,[32 40] ; [12 16],[31.68 40.32] ; [12.32 15.68],0
