Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002492,9.146107,[13 13] ; [15 62],[ 7.06796117 18.93203883] ; [20.93203883 56.06796117],0
n4,1,0.008568,6.910686,[22  4] ; [43 34],[16.40776699  9.59223301] ; [48.59223301 28.40776699],0
p7,1,0.010129,6.611993,[16 10] ; [25 51],[10.45098039 15.54901961] ; [30.54901961 45.45098039],0
s2,1,0.02179,5.262493,[ 7 19] ; [ 7 70],[ 3.53398058 22.46601942] ; [10.46601942 66.53398058],0
p2,1,0.041389,4.16,[18  8] ; [36 42],[13.5 12.5] ; [40.5 37.5],0
s7,1,0.05778,3.6,[ 7 17] ; [ 9 63],[ 4. 20.] ; [12. 60.],0
a3,1,0.05964,3.54737,[10 16] ; [46 31],[14.13592233 11.86407767] ; [41.86407767 35.13592233],0
b1,1,0.070041,3.282051,[17  9] ; [35 43],[13. 13.] ; [39. 39.],0
p8,1,0.081912,3.026545,[ 9 17] ; [14 63],[ 5.80582524 20.19417476] ; [17.19417476 59.80582524],0
d3,1,0.08937,2.885683,[17  9] ; [36 42],[13.25 12.75] ; [39.75 38.25],0
d4,1,0.10491,2.629264,[20  6] ; [45 31],[16.56862745  9.43137255] ; [48.43137255 27.56862745],0
r4,1,0.106237,2.609319,[19  7] ; [43 35],[15.5 10.5] ; [46.5 31.5],0
v1,1,0.125616,2.345865,[10 16] ; [18 60],[ 7. 19.] ; [21. 57.],0
n6,1,0.12982,2.29465,[17  8] ; [39 38],[13.7254902 11.2745098] ; [42.2745098 34.7254902],0
s8,1,0.158682,1.986745,[ 4 22] ; [ 5 73],[ 2.25 23.75] ; [ 6.75 71.25],0
v4,1,0.160966,1.965124,[22  4] ; [53 22],[19.30693069  6.69306931] ; [55.69306931 19.30693069],0
u2,1,0.183335,1.770379,[ 5 11] ; [16 15],[7.14893617 8.85106383] ; [13.85106383 17.14893617],0
r3,1,0.186866,1.742156,[21  5] ; [51 25],[18.35294118  7.64705882] ; [53.64705882 22.35294118],0
p6,1,0.188321,1.730704,[ 6 19] ; [10 67],[ 3.92156863 21.07843137] ; [12.07843137 64.92156863],0
