Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,140.277597,[123  15] ; [ 33 128],[72. 66.] ; [84. 77.],1
s7,1,0.0,75.935526,[97 38] ; [ 33 124],[60.10273973 74.89726027] ; [69.89726027 87.10273973],1
s6,1,0.0,55.964118,[116  19] ; [71 91],[85. 50.] ; [102.  60.],1
s8,1,0.0,53.957422,[85 54] ; [ 32 130],[54.02990033 84.97009967] ; [62.97009967 99.02990033],1
s5,1,3e-06,21.965228,[61 73] ; [ 32 128],[42.3877551 91.6122449] ; [ 50.6122449 109.3877551],1
s4,1,0.004263,8.168129,[ 27 113] ; [ 13 148],[ 18.60465116 121.39534884] ; [ 21.39534884 139.60465116],0
p12,1,0.022273,5.224344,[ 13 126] ; [  5 157],[  8.31229236 130.68770764] ; [  9.68770764 152.31229236],0
v3,1,0.02428,5.074549,[83 54] ; [75 83],[73.37627119 63.62372881] ; [84.62372881 73.37627119],0
p9,1,0.049665,3.852738,[120  18] ; [126  35],[113.53846154  24.46153846] ; [132.46153846  28.53846154],0
d1,1,0.050397,3.828209,[96 44] ; [94 69],[87.78877888 52.21122112] ; [102.21122112  60.78877888],0
n5,1,0.057448,3.609574,[104  33] ; [106  55],[96.54362416 40.45637584] ; [113.45637584  47.54362416],0
u1,1,0.067129,3.351858,[ 29 111] ; [ 21 142],[ 23.10231023 116.89768977] ; [ 26.89768977 136.10231023],0
a8,1,0.08191,3.026588,[ 23 102] ; [ 16 130],[ 17.98892989 107.01107011] ; [ 21.01107011 124.98892989],0
a5,1,0.082889,3.007321,[114  26] ; [119  44],[107.65676568  32.34323432] ; [125.34323432  37.65676568],0
n4,1,0.088516,2.901156,[109  30] ; [113  49],[102.51827243  36.48172757] ; [119.48172757  42.51827243],0
d2,1,0.109856,2.556287,[76 64] ; [73 89],[69.07284768 70.92715232] ; [79.92715232 82.07284768],0
n2,1,0.130076,2.291599,[26  3] ; [27  9],[23.64615385  5.35384615] ; [29.35384615  6.64615385],0
v4,1,0.162086,1.954653,[132   5] ; [150  12],[129.21070234   7.78929766] ; [152.78929766   9.21070234],0
d5,1,0.18731,1.738653,[122  18] ; [133  30],[117.82178218  22.17821782] ; [137.17821782  25.82178218],0
d4,1,0.193939,1.687441,[124  16] ; [135  27],[120.06622517  19.93377483] ; [138.93377483  23.06622517],0
b4,1,0.198508,1.65332,[85 55] ; [87 76],[79.47194719 60.52805281] ; [92.52805281 70.47194719],0
a6,1,0.204755,1.608128,[91 49] ; [117  46],[96.10561056 43.89438944] ; [111.89438944  51.10561056],0
r2,1,0.214969,1.537645,[132   5] ; [148  11],[129.59459459   7.40540541] ; [150.40540541   8.59459459],0
r3,1,0.223264,1.483267,[137   2] ; [156   6],[135.30564784   3.69435216] ; [157.69435216   4.30564784],0
a2,1,0.257745,1.280829,[ 36 104] ; [ 33 130],[ 31.88118812 108.11881188] ; [ 37.11881188 125.88118812],0
v1,1,0.290388,1.117822,[80 55] ; [85 75],[75.50847458 59.49152542] ; [89.49152542 70.50847458],0
p5,1,0.298349,1.081559,[  7 133] ; [ 13 150],[  9.24092409 130.75907591] ; [ 10.75907591 152.24092409],0
u3,1,0.330191,0.94815,[20 14] ; [22 24],[17.85 16.15] ; [24.15 21.85],0
p10,1,0.344495,0.893631,[115  24] ; [127  35],[111.75415282  27.24584718] ; [130.24584718  31.75415282],0
p4,1,0.427451,0.62974,[72 67] ; [76 85],[68.57333333 70.42666667] ; [79.42666667 81.57333333],0
r4,1,0.433705,0.612881,[126  14] ; [142  21],[123.82838284  16.17161716] ; [144.17161716  18.82838284],0
a3,1,0.438508,0.600185,[106  34] ; [117  46],[103.03630363  36.96369637] ; [119.96369637  43.03630363],0
a7,1,0.446072,0.580612,[100  40] ; [122  40],[102.91390728  37.08609272] ; [119.08609272  42.91390728],0
