Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,8.9e-05,15.359041,[60  6] ; [51 30],[49.83673469 16.16326531] ; [61.16326531 19.83673469],1
v2,1,0.000272,13.256393,[38 29] ; [21 57],[27.26206897 39.73793103] ; [31.73793103 46.26206897],1
r4,1,0.000353,12.765225,[59  8] ; [51 31],[49.46308725 17.53691275] ; [60.53691275 21.46308725],1
s6,1,0.001017,10.795828,[47 16] ; [39 43],[37.36551724 25.63448276] ; [48.63448276 33.36551724],0
p2,1,0.001457,10.13228,[52 14] ; [44 38],[42.81081081 23.18918919] ; [53.18918919 28.81081081],0
r2,1,0.002215,9.362662,[66  1] ; [66 13],[60.57534247  6.42465753] ; [71.42465753  7.57534247],0
s2,1,0.004368,8.124276,[38 28] ; [28 54],[29.43243243 36.56756757] ; [36.56756757 45.43243243],0
p10,1,0.005006,7.877123,[44 21] ; [35 44],[35.65972222 29.34027778] ; [43.34027778 35.65972222],0
s8,1,0.0062,7.491365,[33 33] ; [23 59],[24.97297297 41.02702703] ; [31.02702703 50.97297297],0
p3,1,0.011077,6.452937,[31 35] ; [22 60],[23.63513514 42.36486486] ; [29.36486486 52.63513514],0
s7,1,0.015486,5.860286,[36 26] ; [28 47],[28.96350365 33.03649635] ; [35.03649635 39.96350365],0
n2,1,0.016827,5.714286,[18  2] ; [24 16],[14.  6.] ; [28. 12.],0
v4,1,0.029291,4.750441,[61  6] ; [63 18],[56.13513514 10.86486486] ; [67.86486486 13.13513514],0
p9,1,0.030205,4.697585,[48 17] ; [44 34],[41.81818182 23.18181818] ; [50.18181818 27.81818182],0
p4,1,0.031642,4.617798,[37 30] ; [30 50],[30.53741497 36.46258503] ; [36.46258503 43.53741497],0
p7,1,0.033494,4.520348,[37 27] ; [32 48],[30.66666667 33.33333333] ; [38.33333333 41.66666667],0
s5,1,0.035807,4.406253,[24 38] ; [18 62],[18.33802817 43.66197183] ; [23.66197183 56.33802817],0
v3,1,0.039414,4.24294,[28 38] ; [21 59],[22.15068493 43.84931507] ; [26.84931507 53.15068493],0
r1,1,0.040546,4.194878,[52 13] ; [53 29],[46.42857143 18.57142857] ; [58.57142857 23.42857143],0
n3,1,0.066143,3.376225,[15  5] ; [19 19],[11.72413793  8.27586207] ; [22.27586207 15.72413793],0
p8,1,0.090682,2.862232,[26 40] ; [21 59],[21.24657534 44.75342466] ; [25.75342466 54.24657534],0
p12,1,0.112468,2.519197,[ 4 63] ; [ 1 80],[ 2.26351351 64.73648649] ; [ 2.73648649 78.26351351],0
b3,1,0.114636,2.489114,[10 26] ; [21 26],[13.44578313 22.55421687] ; [17.55421687 29.44578313],0
b2,1,0.114636,2.489114,[10 26] ; [21 26],[13.44578313 22.55421687] ; [17.55421687 29.44578313],0
s3,1,0.131983,2.269027,[38 28] ; [37 45],[33.44594595 32.55405405] ; [41.55405405 40.44594595],0
d3,1,0.132878,2.25855,[45 22] ; [44 36],[40.56462585 26.43537415] ; [48.43537415 31.56462585],0
n6,1,0.160268,1.971696,[54 12] ; [59 23],[50.39189189 15.60810811] ; [62.60810811 19.39189189],0
u3,1,0.164094,1.936085,[13 11] ; [ 9 17],[10.56 13.44] ; [11.44 14.56],0
d4,1,0.190186,1.716177,[51 16] ; [53 27],[47.40136054 19.59863946] ; [56.59863946 23.40136054],0
b5,1,0.202862,1.621648,[46 21] ; [48 34],[42.26845638 24.73154362] ; [51.73154362 30.26845638],0
s4,1,0.210512,1.567899,[13 53] ; [10 72],[10.25675676 55.74324324] ; [12.74324324 69.25675676],0
u4,1,0.220945,1.49822,[ 3 64] ; [ 1 81],[ 1.79865772 65.20134228] ; [ 2.20134228 79.79865772],0
p5,1,0.224209,1.477224,[ 9 57] ; [ 6 74],[ 6.78082192 59.21917808] ; [ 8.21917808 71.78082192],0
d5,1,0.24778,1.335777,[52 15] ; [56 25],[48.89189189 18.10810811] ; [59.10810811 21.89189189],0
a7,1,0.386457,0.75006,[47 20] ; [52 30],[44.51677852 22.48322148] ; [54.48322148 27.51677852],0
p6,1,0.393272,0.728802,[23 42] ; [23 57],[20.62068966 44.37931034] ; [25.37931034 54.62068966],0
a1,1,0.46472,0.534503,[ 5 62] ; [ 9 73],[ 6.29530201 60.70469799] ; [ 7.70469799 74.29530201],0
a5,1,0.528507,0.397261,[45 22] ; [51 31],[43.16778523 23.83221477] ; [52.83221477 29.16778523],0
n4,1,0.566206,0.329073,[57  9] ; [68 14],[55.74324324 10.25675676] ; [69.25675676 12.74324324],0
a8,1,0.583664,0.300348,[11 48] ; [11 62],[ 9.83333333 49.16666667] ; [12.16666667 60.83333333],0
a4,1,0.692687,0.156192,[28 38] ; [37 44],[29.18367347 36.81632653] ; [35.81632653 45.18367347],0
a3,1,0.701516,0.1469,[43 22] ; [56 25],[44.07534247 20.92465753] ; [54.92465753 26.07534247],0
d1,1,0.723284,0.125367,[33 34] ; [38 44],[31.9261745 35.0738255] ; [39.0738255 42.9261745],0
u2,1,0.755468,0.096993,[ 7 16] ; [ 9 17],[ 7.51020408 15.48979592] ; [ 8.48979592 17.51020408],0
b1,1,0.772709,0.083425,[36 31] ; [46 36],[36.87248322 30.12751678] ; [45.12751678 36.87248322],0
s1,1,0.800053,0.06415,[ 4 60] ; [ 6 76],[ 4.38356164 59.61643836] ; [ 5.61643836 76.38356164],0
d2,1,0.809484,0.058125,[33 34] ; [41 39],[33.72789116 33.27210884] ; [40.27210884 39.72789116],0
a6,1,0.836568,0.042554,[40 27] ; [47 34],[39.38513514 27.61486486] ; [47.61486486 33.38513514],0
n1,1,0.863534,0.029542,[11  9] ; [20 18],[10.68965517  9.31034483] ; [20.31034483 17.68965517],0
p1,1,0.888989,0.019484,[ 7 60] ; [ 8 74],[ 6.74496644 60.25503356] ; [ 8.25503356 73.74496644],0
u1,1,0.893436,0.017945,[12 55] ; [14 68],[11.69127517 55.30872483] ; [14.30872483 67.69127517],0
b4,1,0.901427,0.015341,[35 32] ; [42 40],[34.62416107 32.37583893] ; [42.37583893 39.62416107],0
a2,1,0.919012,0.010338,[16 51] ; [19 63],[15.73825503 51.26174497] ; [19.26174497 62.73825503],0
