Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.1e-05,19.382829,[ 7 19] ; [22  3],[14.78431373 11.21568627] ; [14.21568627 10.78431373],1
p5,1,0.004678,8.0,[ 1 24] ; [ 9 16],[ 5. 20.] ; [ 5. 20.],0
a5,1,0.004694,7.993566,[12 14] ; [21  4],[16.82352941  9.17647059] ; [16.17647059  8.82352941],0
p6,1,0.010656,6.521739,[ 7 18] ; [16  9],[11.5 13.5] ; [11.5 13.5],0
d1,1,0.017119,5.684116,[ 9 17] ; [17  8],[13.25490196 12.74509804] ; [12.74509804 12.25490196],0
r3,1,0.024432,5.063734,[19  7] ; [24  1],[21.92156863  4.07843137] ; [21.07843137  3.92156863],0
d4,1,0.024432,5.063734,[19  7] ; [24  1],[21.92156863  4.07843137] ; [21.07843137  3.92156863],0
u3,1,0.027439,4.862981,[5 8] ; [7 1],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
v2,1,0.040004,4.217695,[ 7 16] ; [15 10],[10.54166667 12.45833333] ; [11.45833333 13.54166667],0
d3,1,0.047628,3.923077,[14 12] ; [20  5],[17.33333333  8.66666667] ; [16.66666667  8.33333333],0
d5,1,0.056993,3.622811,[17  9] ; [22  3],[19.88235294  6.11764706] ; [19.11764706  5.88235294],0
p8,1,0.057775,3.600139,[ 7 17] ; [14 11],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
v1,1,0.063596,3.441025,[ 9 15] ; [16  9],[12.24489796 11.75510204] ; [12.75510204 12.24489796],0
b1,1,0.068957,3.307683,[ 8 18] ; [14 11],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
s4,1,0.097925,2.739021,[12 14] ; [ 6 19],[ 9.17647059 16.82352941] ; [ 8.82352941 16.17647059],0
p7,1,0.201224,1.633471,[11 13] ; [16  9],[13.2244898 10.7755102] ; [13.7755102 11.2244898],0
a1,1,0.201652,1.63037,[ 2 24] ; [ 5 20],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
b3,1,0.241529,1.371646,[ 5 12] ; [7 7],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
b2,1,0.241529,1.371646,[ 5 12] ; [7 7],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
b4,1,0.243214,1.361868,[23  3] ; [19  6],[21.41176471  4.58823529] ; [20.58823529  4.41176471],0
n3,1,0.245084,1.351111,[6 4] ; [3 6],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
a3,1,0.248213,1.333333,[13 12] ; [17  8],[15. 10.] ; [15. 10.],0
n1,1,0.259942,1.269066,[3 7] ; [5 4],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
d2,1,0.300691,1.071127,[12 14] ; [ 8 17],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],0
