Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,45.16275,[ 49 116] ; [110  55],[79.5 85.5] ; [79.5 85.5],1
v3,1,0.0,35.869336,[ 30 136] ; [79 81],[ 55.50306748 110.49693252] ; [ 53.49693252 106.50306748],1
r1,1,2e-05,18.145749,[96 70] ; [132  34],[114.  52.] ; [114.  52.],1
r3,1,0.00046,12.271561,[135  31] ; [156  10],[145.5  20.5] ; [145.5  20.5],1
d4,1,0.001423,10.176198,[115  52] ; [139  27],[127.38138138  39.61861862] ; [126.61861862  39.38138138],0
p10,1,0.00151,10.065874,[100  65] ; [126  38],[113.34346505  51.65653495] ; [112.65653495  51.34346505],0
p11,1,0.001742,9.803638,[107  60] ; [132  34],[119.85885886  47.14114114] ; [119.14114114  46.85885886],0
d1,1,0.001775,9.768359,[71 96] ; [99 67],[85.25525526 81.74474474] ; [84.74474474 81.25525526],0
r4,1,0.00191,9.634397,[117  50] ; [140  26],[128.88588589  38.11411411] ; [128.11411411  37.88588589],0
p4,1,0.002539,9.112606,[ 65 102] ; [91 73],[78.70694864 88.29305136] ; [77.29305136 86.70694864],0
d5,1,0.00254,9.111699,[117  49] ; [140  26],[128.5  37.5] ; [128.5  37.5],0
d3,1,0.003791,8.381392,[92 73] ; [118  48],[104.68277946  60.31722054] ; [105.31722054  60.68277946],0
v4,1,0.004013,8.278076,[139  28] ; [155  11],[147.44144144  19.55855856] ; [146.55855856  19.44144144],0
p3,1,0.005781,7.617257,[ 51 115] ; [75 90],[ 63.19033233 102.80966767] ; [ 62.80966767 102.19033233],0
p2,1,0.007714,7.098678,[113  52] ; [134  31],[123.5  41.5] ; [123.5  41.5],0
a4,1,0.011925,6.321995,[ 55 111] ; [77 88],[66.19939577 99.80060423] ; [65.80060423 99.19939577],0
p9,1,0.022727,5.189269,[110  53] ; [129  35],[119.13455657  43.86544343] ; [119.86544343  44.13455657],0
p7,1,0.023367,5.14102,[77 88] ; [97 67],[87.26443769 77.73556231] ; [86.73556231 77.26443769],0
n3,1,0.032116,4.592282,[30 25] ; [29  9],[34.89247312 20.10752688] ; [24.10752688 13.89247312],0
u1,1,0.036805,4.359391,[ 13 154] ; [ 25 141],[ 19.05705706 147.94294294] ; [ 18.94294294 147.05705706],0
n4,1,0.049092,3.87222,[106  61] ; [122  44],[114.34234234  52.65765766] ; [113.65765766  52.34234234],0
a5,1,0.065066,3.403311,[106  61] ; [121  45],[113.84084084  53.15915916] ; [113.15915916  52.84084084],0
a6,1,0.066499,3.367398,[105  62] ; [120  46],[112.83783784  54.16216216] ; [112.16216216  53.83783784],0
p6,1,0.075202,3.165667,[ 37 127] ; [ 51 112],[ 44.13455657 119.86544343] ; [ 43.86544343 119.13455657],0
r2,1,0.076032,3.147738,[139  26] ; [147  15],[144.31192661  20.68807339] ; [141.68807339  20.31192661],0
p8,1,0.089445,2.884336,[69 97] ; [82 79],[76.65443425 89.34556575] ; [74.34556575 86.65443425],0
a2,1,0.08995,2.875276,[ 26 141] ; [ 38 128],[ 32.0960961 134.9039039] ; [ 31.9039039 134.0960961],0
s4,1,0.121379,2.399437,[ 19 146] ; [ 11 155],[ 14.95468278 150.04531722] ; [ 15.04531722 150.95468278],0
a3,1,0.123373,2.373973,[101  64] ; [115  51],[107.67371601  57.32628399] ; [108.32628399  57.67371601],0
s6,1,0.1438,2.136816,[ 52 115] ; [ 64 101],[ 58.34939759 108.65060241] ; [ 57.65060241 107.34939759],0
a7,1,0.146323,2.110169,[112  54] ; [124  42],[118.  48.] ; [118.  48.],0
n2,1,0.168568,1.895629,[32 25] ; [26 11],[35.17021277 21.82978723] ; [22.82978723 14.17021277],0
b1,1,0.192188,1.700764,[71 96] ; [ 59 107],[ 65.1951952 101.8048048] ; [ 64.8048048 101.1951952],0
d2,1,0.220099,1.503724,[ 63 103] ; [74 92],[68.5 97.5] ; [68.5 97.5],0
s8,1,0.248159,1.333637,[ 29 138] ; [ 37 128],[ 33.19879518 133.80120482] ; [ 32.80120482 132.19879518],0
s1,1,0.315044,1.00941,[  6 160] ; [  3 162],[  4.51359517 161.48640483] ; [  4.48640483 160.51359517],0
n6,1,0.342696,0.90032,[124  41] ; [132  34],[127.61329305  37.38670695] ; [128.38670695  37.61329305],0
s7,1,0.372867,0.794087,[ 34 125] ; [ 40 116],[ 37.35238095 121.64761905] ; [ 36.64761905 119.35238095],0
a8,1,0.378998,0.773949,[ 12 145] ; [ 15 127],[ 14.17725753 142.82274247] ; [ 12.82274247 129.17725753],0
a1,1,0.434946,0.609581,[  9 158] ; [  6 160],[  7.52252252 159.47747748] ; [  7.47747748 158.52252252],0
n1,1,0.477839,0.503791,[17 39] ; [ 9 29],[15.4893617 40.5106383] ; [10.5106383 27.4893617],0
s2,1,0.487114,0.482894,[ 18 148] ; [ 22 143],[ 20.06042296 145.93957704] ; [ 19.93957704 145.06042296],0
u3,1,0.544049,0.368087,[33 32] ; [23 28],[31.37931034 33.62068966] ; [24.62068966 26.37931034],0
u4,1,0.558416,0.342455,[  1 166] ; [  2 164],[  1.5045045 165.4954955] ; [  1.4954955 164.5045045],0
p5,1,0.6083,0.262658,[  7 159] ; [  9 157],[  8. 158.] ; [  8. 158.],0
n5,1,0.608823,0.261892,[110  56] ; [113  51],[112.17575758  53.82424242] ; [110.82424242  53.17575758],0
b5,1,0.617871,0.248872,[110  57] ; [105  61],[107.82282282  59.17717718] ; [107.17717718  58.82282282],0
b2,1,0.654558,0.200202,[36 63] ; [33 66],[34.5 64.5] ; [34.5 64.5],0
b3,1,0.654558,0.200202,[36 63] ; [33 66],[34.5 64.5] ; [34.5 64.5],0
p12,1,0.690444,0.158606,[  3 163] ; [  4 160],[  3.52121212 162.47878788] ; [  3.47878788 160.52121212],0
b4,1,0.779233,0.078578,[90 77] ; [92 74],[91.27327327 75.72672673] ; [90.72672673 75.27327327],0
p1,1,0.813218,0.055826,[  9 157] ; [ 10 156],[  9.5 156.5] ; [  9.5 156.5],0
u2,1,0.871581,0.026131,[32 34] ; [25 25],[32.43103448 33.56896552] ; [24.56896552 25.43103448],0
