Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.6e-05,17.712551,[72  6] ; [49 27],[61.28571429 16.71428571] ; [59.71428571 16.28571429],1
p4,1,0.000307,13.028753,[33 46] ; [12 65],[22.78846154 56.21153846] ; [22.21153846 54.78846154],1
r3,1,0.000789,11.266683,[69  9] ; [50 26],[60.27272727 17.72727273] ; [58.72727273 17.27272727],1
p9,1,0.002558,9.09828,[34 45] ; [15 59],[25.30065359 53.69934641] ; [23.69934641 50.30065359],0
p7,1,0.00263,9.047662,[31 48] ; [13 62],[22.57142857 56.42857143] ; [21.42857143 53.57142857],0
p3,1,0.015173,5.896318,[27 52] ; [13 63],[20.38709677 58.61290323] ; [19.61290323 56.38709677],0
n3,1,0.023601,5.123721,[26  8] ; [17 17],[21.5 12.5] ; [21.5 12.5],0
b1,1,0.024819,5.036505,[33 46] ; [46 31],[40.00641026 38.99358974] ; [38.99358974 38.00641026],0
s1,1,0.025408,4.995848,[ 2 76] ; [ 9 67],[ 5.57142857 72.42857143] ; [ 5.42857143 70.57142857],0
s3,1,0.028902,4.773413,[37 41] ; [23 53],[30.38961039 47.61038961] ; [29.61038961 46.38961039],0
r4,1,0.032663,4.563344,[58 21] ; [44 33],[51.65384615 27.34615385] ; [50.34615385 26.65384615],0
p11,1,0.050794,3.815066,[41 38] ; [28 49],[34.94230769 44.05769231] ; [34.05769231 42.94230769],0
b5,1,0.053203,3.737527,[54 25] ; [41 36],[48.10897436 30.89102564] ; [46.89102564 30.10897436],0
p6,1,0.057394,3.611119,[16 63] ; [ 7 68],[11.7987013 67.2012987] ; [11.2012987 63.7987013],0
a6,1,0.066798,3.360001,[49 30] ; [36 40],[43.32258065 35.67741935] ; [41.67741935 34.32258065],0
a1,1,0.08342,2.996984,[ 4 75] ; [10 67],[ 7.08974359 71.91025641] ; [ 6.91025641 70.08974359],0
v2,1,0.114405,2.492295,[32 44] ; [22 52],[27.36 48.64] ; [26.64 47.36],0
n2,1,0.117819,2.446082,[23 10] ; [19 18],[19.8 13.2] ; [22.2 14.8],0
s8,1,0.119382,2.425409,[18 61] ; [10 66],[14.27096774 64.72903226] ; [13.72903226 62.27096774],0
v3,1,0.12871,2.307992,[15 61] ; [22 50],[19. 57.] ; [18. 54.],0
s2,1,0.153576,2.036364,[26 51] ; [18 59],[22. 55.] ; [22. 55.],0
v1,1,0.195768,1.67367,[31 46] ; [23 53],[27.17647059 49.82352941] ; [26.82352941 49.17647059],0
s7,1,0.225818,1.467011,[23 50] ; [16 55],[19.77083333 53.22916667] ; [19.22916667 51.77083333],0
n1,1,0.243047,1.362835,[ 9 24] ; [15 22],[11.31428571 21.68571429] ; [12.68571429 24.31428571],0
p1,1,0.293569,1.103183,[ 3 75] ; [ 6 71],[ 4.52903226 73.47096774] ; [ 4.47096774 72.52903226],0
r2,1,0.312812,1.018763,[67 11] ; [59 15],[64.65789474 13.34210526] ; [61.34210526 12.65789474],0
d1,1,0.343431,0.897583,[30 49] ; [35 42],[32.91666667 46.08333333] ; [32.08333333 44.91666667],0
u3,1,0.378784,0.774645,[14 17] ; [18 14],[15.74603175 15.25396825] ; [16.25396825 15.74603175],0
s5,1,0.401919,0.702576,[16 59] ; [12 63],[14. 61.] ; [14. 61.],0
a7,1,0.428079,0.628031,[46 32] ; [40 36],[43.55844156 34.44155844] ; [42.44155844 33.55844156],0
d3,1,0.474219,0.512127,[43 36] ; [37 39],[40.77419355 38.22580645] ; [39.22580645 36.77419355],0
r1,1,0.494208,0.467352,[52 27] ; [46 30],[49.9483871 29.0516129] ; [48.0516129 27.9483871],0
b3,1,0.494827,0.466014,[16 34] ; [20 32],[17.64705882 32.35294118] ; [18.35294118 33.64705882],0
b2,1,0.494827,0.466014,[16 34] ; [20 32],[17.64705882 32.35294118] ; [18.35294118 33.64705882],0
a8,1,0.530111,0.394179,[10 61] ; [ 8 67],[ 8.75342466 62.24657534] ; [ 9.24657534 65.75342466],0
n6,1,0.531421,0.391674,[48 30] ; [43 33],[46.09090909 31.90909091] ; [44.90909091 31.09090909],0
