Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.5e-05,18.771418,[4 4] ; [57  2],[7.28358209 0.71641791] ; [53.71641791  5.28358209],1
r1,1,0.000121,14.780377,[2 6] ; [51  9],[6.23529412 1.76470588] ; [46.76470588 13.23529412],1
p9,1,0.002332,9.267742,[5 3] ; [57  3],[7.29411765 0.70588235] ; [54.70588235  5.29411765],0
s6,1,0.003363,8.599507,[4 4] ; [52  6],[6.78787879 1.21212121] ; [49.21212121  8.78787879],0
r2,1,0.007654,7.112736,[5 2] ; [58  2],[6.58208955 0.41791045] ; [56.41791045  3.58208955],0
d1,1,0.01393,6.046963,[3 5] ; [47 13],[5.88235294 2.11764706] ; [44.11764706 15.88235294],0
p10,1,0.016166,5.784722,[5 3] ; [55  5],[7.05882353 0.94117647] ; [52.94117647  7.05882353],0
b4,1,0.022727,5.189255,[2 6] ; [40 20],[4.94117647 3.05882353] ; [37.05882353 22.94117647],0
d2,1,0.038509,4.282381,[2 6] ; [38 22],[4.70588235 3.29411765] ; [35.29411765 24.70588235],0
a3,1,0.052333,3.765086,[3 5] ; [43 17],[5.41176471 2.58823529] ; [40.58823529 19.41176471],0
n6,1,0.06482,3.409563,[4 4] ; [47 12],[6.08955224 1.91044776] ; [44.91044776 14.08955224],0
a5,1,0.082131,3.022222,[4 4] ; [47 13],[6. 2.] ; [45. 15.],0
d5,1,0.123592,2.371196,[5 3] ; [50  9],[6.56716418 1.43283582] ; [48.43283582 10.56716418],0
v1,1,0.14368,2.138093,[2 6] ; [31 28],[3.94029851 4.05970149] ; [29.05970149 29.94029851],0
d4,1,0.14507,2.123341,[6 2] ; [55  5],[7.17647059 0.82352941] ; [53.82352941  6.17647059],0
s5,1,0.154874,2.023573,[2 3] ; [39 16],[3.41666667 1.58333333] ; [37.58333333 17.41666667],0
s8,1,0.16069,1.967721,[3 5] ; [38 22],[4.82352941 3.17647059] ; [36.17647059 23.82352941],0
u3,1,0.211346,1.562185,[2 3] ; [12  5],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
b1,1,0.22677,1.461008,[5 3] ; [24 36],[3.41176471 4.58823529] ; [25.58823529 34.41176471],0
n4,1,0.256026,1.290119,[4 4] ; [42 18],[5.41176471 2.58823529] ; [40.58823529 19.41176471],0
p4,1,0.295856,1.092781,[6 2] ; [53  7],[6.94117647 1.05882353] ; [52.05882353  7.94117647],0
a4,1,0.30657,1.045394,[3 5] ; [34 26],[4.35294118 3.64705882] ; [32.64705882 27.35294118],0
s7,1,0.31692,1.001616,[7 1] ; [41 17],[5.81818182 2.18181818] ; [42.18181818 15.81818182],0
a2,1,0.340331,0.909185,[1 7] ; [17 43],[2.11764706 5.88235294] ; [15.88235294 44.11764706],0
p11,1,0.384723,0.755556,[5 3] ; [46 14],[6. 2.] ; [45. 15.],0
u1,1,0.384723,0.755556,[1 7] ; [16 44],[2. 6.] ; [15. 45.],0
s2,1,0.384723,0.755556,[7 1] ; [44 16],[6. 2.] ; [45. 15.],0
n3,1,0.408961,0.681818,[2 2] ; [8 3],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
b5,1,0.412172,0.672527,[6 2] ; [36 24],[4.94117647 3.05882353] ; [37.05882353 22.94117647],0
b2,1,0.452193,0.565149,[1 4] ; [13 22],[1.75 3.25] ; [12.25 22.75],0
b3,1,0.452193,0.565149,[1 4] ; [13 22],[1.75 3.25] ; [12.25 22.75],0
p3,1,0.521231,0.411457,[5 3] ; [44 16],[5.76470588 2.23529412] ; [43.23529412 16.76470588],0
v2,1,0.56699,0.327745,[3 5] ; [28 30],[3.75757576 4.24242424] ; [27.24242424 30.75757576],0
d3,1,0.577332,0.310568,[6 2] ; [49 10],[6.56716418 1.43283582] ; [48.43283582 10.56716418],0
n5,1,0.592993,0.285694,[5 3] ; [43 17],[5.64705882 2.35294118] ; [42.35294118 17.64705882],0
a7,1,0.680228,0.169869,[6 2] ; [40 19],[5.49253731 2.50746269] ; [40.50746269 18.49253731],0
s3,1,0.770633,0.085,[6 2] ; [42 18],[5.64705882 2.35294118] ; [42.35294118 17.64705882],0
u2,1,0.780512,0.077647,[3 2] ; [9 8],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
a6,1,0.814994,0.05475,[5 3] ; [40 20],[5.29411765 2.70588235] ; [39.70588235 20.29411765],0
n1,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
p8,1,0.916859,0.010897,[6 2] ; [46 14],[6.11764706 1.88235294] ; [45.88235294 14.11764706],0
p7,1,0.944253,0.00489,[6 1] ; [52  8],[6.05970149 0.94029851] ; [51.94029851  8.05970149],0
p2,1,0.947907,0.004269,[7 1] ; [52  8],[6.94117647 1.05882353] ; [52.05882353  7.94117647],0
