Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,86.37192,[153  13] ; [36 57],[121.13513514  44.86486486] ; [67.86486486 25.13513514],1
d2,1,0.0,79.816381,[122  43] ; [15 78],[87.61627907 77.38372093] ; [49.38372093 43.61627907],1
d5,1,0.0,62.111656,[161   4] ; [56 37],[138.77906977  26.22093023] ; [78.22093023 14.77906977],1
d4,1,0.0,58.633769,[164   1] ; [62 31],[144.53488372  20.46511628] ; [81.46511628 11.53488372],1
a2,1,0.0,44.280638,[70 97] ; [ 3 90],[ 46.88846154 120.11153846] ; [26.11153846 66.88846154],1
a4,1,0.0,39.275296,[109  58] ; [23 70],[84.78461538 82.21538462] ; [47.21538462 45.78461538],1
a5,1,0.0,31.572186,[152  15] ; [58 35],[134.88461538  32.11538462] ; [75.11538462 17.88461538],1
u1,1,0.0,27.916445,[ 55 112] ; [ 4 89],[ 37.89615385 129.10384615] ; [21.10384615 71.89615385],1
a3,1,0.0,26.71627,[146  20] ; [56 37],[129.46718147  36.53281853] ; [72.53281853 20.46718147],1
p4,1,8.8e-05,15.382515,[127  38] ; [49 43],[112.99610895  52.00389105] ; [63.00389105 28.99610895],1
r2,1,0.002633,9.045986,[164   2] ; [83  8],[159.54085603   6.45914397] ; [87.45914397  3.54085603],0
a6,1,0.003833,8.36118,[115  50] ; [48 45],[104.24418605  60.75581395] ; [58.75581395 34.24418605],0
p3,1,0.004379,8.119521,[107  59] ; [43 50],[96.13899614 69.86100386] ; [53.86100386 39.13899614],0
s8,1,0.006653,7.364375,[110  55] ; [46 47],[99.76744186 65.23255814] ; [56.23255814 36.76744186],0
v1,1,0.008954,6.831904,[109  56] ; [46 47],[99.12790698 65.87209302] ; [55.87209302 37.12790698],0
p6,1,0.040789,4.184765,[86 78] ; [36 56],[78.15625 85.84375] ; [43.84375 48.15625],0
v2,1,0.055457,3.668305,[101  61] ; [46 46],[93.75590551 68.24409449] ; [53.24409449 38.75590551],0
p10,1,0.062449,3.471128,[151  16] ; [75 16],[146.28682171  20.71317829] ; [79.71317829 11.28682171],0
s3,1,0.063259,3.4498,[129  35] ; [62 29],[122.83921569  41.16078431] ; [68.16078431 22.83921569],0
r4,1,0.077682,3.112743,[160   7] ; [84  9],[156.72307692  10.27692308] ; [87.27692308  5.72307692],0
s2,1,0.083672,2.992092,[135  31] ; [67 26],[129.46718147  36.53281853] ; [72.53281853 20.46718147],0
b5,1,0.085857,2.950381,[101  66] ; [46 47],[94.41923077 72.58076923] ; [52.58076923 40.41923077],0
s7,1,0.110944,2.540723,[119  41] ; [57 31],[113.5483871  46.4516129] ; [62.4516129 25.5483871],0
a8,1,0.113523,2.504479,[ 17 131] ; [17 73],[ 21.14285714 126.85714286] ; [12.85714286 77.14285714],0
p2,1,0.12384,2.368066,[145  22] ; [74 19],[140.66538462  26.33461538] ; [78.33461538 14.66538462],0
a7,1,0.149881,2.073457,[122  45] ; [60 33],[116.9  50.1] ; [65.1 27.9],0
v3,1,0.162666,1.949262,[76 87] ; [35 58],[70.67578125 92.32421875] ; [40.32421875 52.67578125],0
n5,1,0.163787,1.938911,[135  31] ; [68 24],[130.6124031  35.3875969] ; [72.3875969 19.6124031],0
r1,1,0.179668,1.800368,[144  22] ; [74 18],[140.26356589  25.73643411] ; [77.73643411 14.26356589],0
p9,1,0.197191,1.663058,[153  12] ; [80 11],[150.17578125  14.82421875] ; [82.82421875  8.17578125],0
n3,1,0.234103,1.41576,[27 10] ; [14 10],[24.86885246 12.13114754] ; [16.13114754  7.86885246],0
p7,1,0.263649,1.249496,[120  40] ; [63 29],[116.19047619  43.80952381] ; [66.80952381 25.19047619],0
u3,1,0.273951,1.196856,[16  5] ; [23 14],[14.12068966  6.87931034] ; [24.87931034 12.12068966],0
r3,1,0.288167,1.128167,[160   6] ; [86  6],[158.27906977   7.72093023] ; [87.72093023  4.27906977],0
n1,1,0.30615,1.047212,[20 18] ; [ 9 14],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
p8,1,0.356869,0.848882,[99 64] ; [51 42],[95.5078125 67.4921875] ; [54.4921875 38.5078125],0
n4,1,0.359438,0.839857,[131  35] ; [68 24],[128.03875969  37.96124031] ; [70.96124031 21.03875969],0
u4,1,0.457588,0.551787,[  4 163] ; [ 1 92],[  3.21153846 163.78846154] ; [ 1.78846154 91.21153846],0
s1,1,0.482835,0.492452,[  6 159] ; [ 5 86],[  7.08984375 157.91015625] ; [ 3.91015625 87.08984375],0
b4,1,0.490372,0.475711,[106  61] ; [55 38],[103.41153846  63.58846154] ; [57.58846154 35.41153846],0
b1,1,0.537657,0.379899,[ 60 107] ; [37 56],[ 62.30384615 104.69615385] ; [34.69615385 58.30384615],0
b2,1,0.56022,0.339323,[47 65] ; [17 29],[45.36708861 66.63291139] ; [18.63291139 27.36708861],0
b3,1,0.56022,0.339323,[47 65] ; [17 29],[45.36708861 66.63291139] ; [18.63291139 27.36708861],0
p12,1,0.564672,0.331679,[ 24 143] ; [11 82],[ 22.48076923 144.51923077] ; [12.51923077 80.48076923],0
s4,1,0.566943,0.327825,[ 48 115] ; [24 68],[ 46.02352941 116.97647059] ; [25.97647059 66.02352941],0
p1,1,0.577984,0.309505,[ 22 144] ; [10 82],[ 20.58914729 145.41085271] ; [11.41085271 80.58914729],0
n6,1,0.582337,0.302472,[148  16] ; [81 11],[146.703125  17.296875] ; [82.296875  9.703125],0
p5,1,0.591049,0.28871,[ 33 134] ; [21 72],[ 34.68461538 132.31538462] ; [19.31538462 73.68461538],0
p11,1,0.781908,0.076637,[130  37] ; [71 22],[129.10384615  37.89615385] ; [71.89615385 21.10384615],0
u2,1,0.816442,0.053882,[11 10] ; [20 16],[11.42105263  9.57894737] ; [19.57894737 16.42105263],0
n2,1,0.860191,0.031022,[31  7] ; [20  4],[31.25806452  6.74193548] ; [19.74193548  4.25806452],0
v4,1,0.893386,0.017962,[162   5] ; [88  3],[161.82170543   5.17829457] ; [88.17829457  2.82170543],0
a1,1,0.919281,0.01027,[ 12 155] ; [ 7 86],[ 12.20384615 154.79615385] ; [ 6.79615385 86.20384615],0
