Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,5.8e-05,16.174779,[12  1] ; [ 7 21],[6.02439024 6.97560976] ; [12.97560976 15.02439024],1
b3,1,5.8e-05,16.174779,[12  1] ; [ 7 21],[6.02439024 6.97560976] ; [12.97560976 15.02439024],1
p5,1,0.000259,13.34732,[5 7] ; [ 3 56],[ 1.35211268 10.64788732] ; [ 6.64788732 52.35211268],1
v3,1,0.001551,10.017422,[8 1] ; [20 40],[3.65217391 5.34782609] ; [24.34782609 35.65217391],0
a2,1,0.002331,9.268563,[8 5] ; [12 48],[3.56164384 9.43835616] ; [16.43835616 43.56164384],0
p12,1,0.004226,8.184241,[4 9] ; [ 3 57],[ 1.24657534 11.75342466] ; [ 5.75342466 54.24657534],0
s8,1,0.005145,7.827898,[12  1] ; [30 30],[7.47945205 5.52054795] ; [34.52054795 25.47945205],0
d1,1,0.005145,7.827898,[12  1] ; [30 30],[7.47945205 5.52054795] ; [34.52054795 25.47945205],0
p8,1,0.016485,5.750342,[9 4] ; [20 40],[5.16438356 7.83561644] ; [23.83561644 36.16438356],0
s3,1,0.020388,5.378347,[12  1] ; [35 25],[8.36986301 4.63013699] ; [38.63013699 21.36986301],0
v1,1,0.02334,5.143056,[9 1] ; [31 29],[5.71428571 4.28571429] ; [34.28571429 25.71428571],0
u1,1,0.031797,4.609415,[5 8] ; [ 8 52],[ 2.31506849 10.68493151] ; [10.68493151 49.31506849],0
v2,1,0.035584,4.416943,[8 2] ; [26 33],[4.92753623 5.07246377] ; [29.07246377 29.92753623],0
a4,1,0.036871,4.35635,[10  3] ; [27 33],[6.5890411 6.4109589] ; [30.4109589 29.5890411],0
p4,1,0.04789,3.913826,[11  2] ; [33 27],[7.83561644 5.16438356] ; [36.16438356 23.83561644],0
p3,1,0.054055,3.711005,[10  3] ; [28 31],[6.86111111 6.13888889] ; [31.13888889 27.86111111],0
a8,1,0.056201,3.646101,[3 7] ; [ 5 52],[1.19402985 8.80597015] ; [ 6.80597015 50.19402985],0
a5,1,0.064092,3.428196,[12  1] ; [40 20],[9.26027397 3.73972603] ; [42.73972603 17.26027397],0
d2,1,0.075152,3.166754,[11  2] ; [35 25],[8.19178082 4.80821918] ; [37.80821918 22.19178082],0
a6,1,0.096143,2.768387,[10  3] ; [31 29],[7.30136986 5.69863014] ; [33.69863014 26.30136986],0
s6,1,0.111379,2.53455,[12  1] ; [42 17],[9.75 3.25] ; [44.25 14.75],0
d3,1,0.120366,2.412547,[11  2] ; [36 22],[8.6056338 4.3943662] ; [38.3943662 19.6056338],0
s7,1,0.127546,2.322115,[11  2] ; [35 21],[8.66666667 4.33333333] ; [37.33333333 18.66666667],0
s2,1,0.13864,2.192992,[11  2] ; [38 22],[8.7260274 4.2739726] ; [40.2739726 19.7260274],0
n4,1,0.167511,1.90508,[11  2] ; [39 21],[8.90410959 4.09589041] ; [41.09589041 18.90410959],0
a1,1,0.19354,1.690465,[ 3 10] ; [ 6 54],[ 1.60273973 11.39726027] ; [ 7.39726027 52.60273973],0
s4,1,0.347985,0.880792,[ 1 12] ; [11 49],[ 2.1369863 10.8630137] ; [ 9.8630137 50.1369863],0
p6,1,0.359847,0.838426,[7 6] ; [24 36],[5.52054795 7.47945205] ; [25.47945205 34.52054795],0
s5,1,0.43762,0.602516,[4 7] ; [28 29],[5.17647059 5.82352941] ; [26.82352941 30.17647059],0
p7,1,0.440001,0.596281,[9 4] ; [34 25],[7.76388889 5.23611111] ; [35.23611111 23.76388889],0
d5,1,0.512416,0.42913,[11  2] ; [45 14],[10.11111111  2.88888889] ; [45.88888889 13.11111111],0
r1,1,0.529958,0.394473,[11  2] ; [46 14],[10.15068493  2.84931507] ; [46.84931507 13.15068493],0
p2,1,0.593074,0.285569,[11  2] ; [46 13],[10.29166667  2.70833333] ; [46.70833333 12.29166667],0
p1,1,0.664801,0.187744,[ 1 12] ; [ 7 52],[ 1.44444444 11.55555556] ; [ 6.55555556 52.44444444],0
s1,1,0.71023,0.138047,[ 1 12] ; [ 3 56],[ 0.72222222 12.27777778] ; [ 3.27777778 55.72222222],0
b5,1,0.74732,0.103797,[8 5] ; [34 26],[7.47945205 5.52054795] ; [34.52054795 25.47945205],0
a7,1,0.828483,0.046936,[9 4] ; [39 20],[8.66666667 4.33333333] ; [39.33333333 19.66666667],0
b4,1,0.852593,0.034525,[7 6] ; [34 26],[7.30136986 5.69863014] ; [33.69863014 26.30136986],0
