Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,47.275088,[169   8] ; [37 24],[153.20168067  23.79831933] ; [52.79831933  8.20168067],1
r3,1,0.0,46.609162,[169   7] ; [38 23],[153.72151899  22.27848101] ; [53.27848101  7.72151899],1
r4,1,0.0,46.189464,[160  18] ; [30 31],[141.50627615  36.49372385] ; [48.49372385 12.50627615],1
p4,1,0.0,27.813745,[99 78] ; [10 50],[81.40506329 95.59493671] ; [27.59493671 32.40506329],1
p11,1,1e-06,25.249804,[148  30] ; [31 30],[133.31380753  44.68619247] ; [45.68619247 15.31380753],1
p8,1,1e-06,24.750086,[96 79] ; [11 50],[79.34322034 95.65677966] ; [27.65677966 33.34322034],1
p9,1,1e-06,24.265916,[141  35] ; [27 31],[126.35897436  49.64102564] ; [41.64102564 16.35897436],1
p7,1,1e-06,23.408376,[111  66] ; [16 44],[94.84810127 82.15189873] ; [32.15189873 27.84810127],1
p6,1,1e-06,23.225351,[ 62 113] ; [ 2 58],[ 47.65957447 127.34042553] ; [16.34042553 43.65957447],1
p10,1,5e-06,20.920855,[138  39] ; [28 32],[123.97468354  53.02531646] ; [42.02531646 17.97468354],1
v1,1,1.2e-05,19.141336,[95 80] ; [13 47],[80.42553191 94.57446809] ; [27.57446809 32.42553191],1
r1,1,9.4e-05,15.246134,[139  38] ; [32 29],[127.17226891  49.82773109] ; [43.82773109 17.17226891],1
v2,1,0.000344,12.812781,[103  69] ; [19 39],[91.23478261 80.76521739] ; [30.76521739 27.23478261],1
n6,1,0.000401,12.527108,[150  27] ; [38 22],[140.40506329  36.59493671] ; [47.59493671 12.40506329],1
d5,1,0.001459,10.129707,[144  34] ; [37 24],[134.80334728  43.19665272] ; [46.19665272 14.80334728],0
a1,1,0.002192,9.381158,[  5 173] ; [ 8 53],[  9.68200837 168.31799163] ; [ 3.31799163 57.68200837],0
