Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-05,19.560511,[ 6 26] ; [13  2],[12.93617021 19.06382979] ; [6.06382979 8.93617021],1
p6,1,5.7e-05,16.213649,[ 6 26] ; [12  3],[12.25531915 19.74468085] ; [5.74468085 9.25531915],1
d2,1,0.011427,6.397665,[22 10] ; [ 4 10],[18.08695652 13.91304348] ; [7.91304348 6.08695652],0
d4,1,0.030111,4.702949,[29  3] ; [9 5],[26.43478261  5.56521739] ; [11.56521739  2.43478261],0
v1,1,0.036526,4.372369,[13 19] ; [11  4],[16.34042553 15.65957447] ; [7.65957447 7.34042553],0
p5,1,0.041623,4.150474,[ 3 29] ; [ 5 10],[ 5.44680851 26.55319149] ; [ 2.55319149 12.44680851],0
p11,1,0.077265,3.121516,[17 15] ; [12  3],[19.74468085 12.25531915] ; [9.25531915 5.74468085],0
p10,1,0.079523,3.074616,[19 12] ; [13  2],[21.56521739  9.43478261] ; [10.43478261  4.56521739],0
p9,1,0.079523,3.074616,[19 12] ; [13  2],[21.56521739  9.43478261] ; [10.43478261  4.56521739],0
p3,1,0.097782,2.741355,[10 22] ; [8 6],[12.52173913 19.47826087] ; [5.47826087 8.52173913],0
n5,1,0.114198,2.495147,[18 14] ; [12  3],[20.42553191 11.57446809] ; [9.57446809 5.42553191],0
s2,1,0.114198,2.495147,[18 14] ; [12  3],[20.42553191 11.57446809] ; [9.57446809 5.42553191],0
a3,1,0.13744,2.206389,[24  8] ; [8 7],[21.78723404 10.21276596] ; [10.21276596  4.78723404],0
p4,1,0.173249,1.854605,[11 20] ; [8 6],[13.08888889 17.91111111] ; [5.91111111 8.08888889],0
u3,1,0.18883,1.726722,[3 5] ; [5 2],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
b5,1,0.21465,1.539784,[19 13] ; [6 9],[17.0212766 14.9787234] ; [7.9787234 7.0212766],0
n4,1,0.261408,1.261287,[18 14] ; [11  4],[19.74468085 12.25531915] ; [9.25531915 5.74468085],0
b4,1,0.261408,1.261287,[18 14] ; [11  4],[19.74468085 12.25531915] ; [9.25531915 5.74468085],0
s7,1,0.288844,1.125,[15 15] ; [10  5],[16.66666667 13.33333333] ; [8.33333333 6.66666667],0
a4,1,0.298874,1.079212,[18 14] ; [6 9],[16.34042553 15.65957447] ; [7.65957447 7.34042553],0
b1,1,0.298874,1.079212,[18 14] ; [6 9],[16.34042553 15.65957447] ; [7.65957447 7.34042553],0
s4,1,0.314539,1.01152,[13 18] ; [ 4 11],[11.45652174 19.54347826] ; [5.54347826 9.45652174],0
d5,1,0.325331,0.967393,[25  7] ; [9 5],[23.65217391  8.34782609] ; [10.34782609  3.65217391],0
v2,1,0.348928,0.877352,[17 13] ; [10  4],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
p12,1,0.369831,0.804234,[ 5 27] ; [ 4 11],[ 6.12765957 25.87234043] ; [ 2.87234043 12.12765957],0
s6,1,0.390956,0.735967,[27  5] ; [14  1],[27.91489362  4.08510638] ; [13.08510638  1.91489362],0
r3,1,0.417235,0.658091,[30  2] ; [13  2],[29.27659574  2.72340426] ; [13.72340426  1.27659574],0
a7,1,0.497561,0.460135,[18 14] ; [10  5],[19.06382979 12.93617021] ; [8.93617021 6.06382979],0
r4,1,0.545437,0.365556,[28  4] ; [14  1],[28.59574468  3.40425532] ; [13.40425532  1.59574468],0
v3,1,0.576398,0.312094,[11 18] ; [7 8],[11.86363636 17.13636364] ; [6.13636364 8.86363636],0
a2,1,0.645085,0.212153,[ 6 26] ; [ 2 13],[ 5.44680851 26.55319149] ; [ 2.55319149 12.44680851],0
a5,1,0.645085,0.212153,[26  6] ; [13  2],[26.55319149  5.44680851] ; [12.44680851  2.55319149],0
d1,1,0.658545,0.195295,[17 15] ; [9 6],[17.70212766 14.29787234] ; [8.29787234 6.70212766],0
a8,1,0.676523,0.174066,[ 3 27] ; [ 2 12],[ 3.40909091 26.59090909] ; [ 1.59090909 12.40909091],0
s1,1,0.681606,0.168323,[ 3 29] ; [ 2 13],[ 3.40425532 28.59574468] ; [ 1.59574468 13.40425532],0
b3,1,0.71615,0.132212,[ 9 15] ; [4 5],[ 9.45454545 14.54545455] ; [3.54545455 5.45454545],0
b2,1,0.71615,0.132212,[ 9 15] ; [4 5],[ 9.45454545 14.54545455] ; [3.54545455 5.45454545],0
d3,1,0.753511,0.098604,[19 13] ; [9 5],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
s8,1,0.801251,0.063367,[17 15] ; [8 6],[17.39130435 14.60869565] ; [7.60869565 6.39130435],0
a6,1,0.887494,0.020015,[19 13] ; [8 6],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
s3,1,0.887494,0.020015,[19 13] ; [8 6],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
r1,1,0.90278,0.014921,[24  8] ; [11  4],[23.82978723  8.17021277] ; [11.17021277  3.82978723],0
p1,1,0.919135,0.010307,[ 6 26] ; [ 3 12],[ 6.12765957 25.87234043] ; [ 2.87234043 12.12765957],0
n1,1,0.919154,0.010302,[6 7] ; [1 1],[6.06666667 6.93333333] ; [0.93333333 1.06666667],0
n3,1,0.919154,0.010302,[7 6] ; [1 1],[6.93333333 6.06666667] ; [1.06666667 0.93333333],0
u1,1,0.936394,0.006369,[ 4 28] ; [ 2 13],[ 4.08510638 27.91489362] ; [ 1.91489362 13.08510638],0
u2,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
