Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.00169,9.858744,[13 19] ; [26  7],[19.2 12.8] ; [19.8 13.2],0
v3,1,0.024356,5.069125,[ 6 26] ; [14 17],[10.15873016 21.84126984] ; [ 9.84126984 21.15873016],0
v1,1,0.030695,4.669931,[ 9 23] ; [18 15],[13.29230769 18.70769231] ; [13.70769231 19.29230769],0
n3,1,0.039962,4.219481,[4 7] ; [6 1],[6.11111111 4.88888889] ; [3.88888889 3.11111111],0
a5,1,0.059709,3.545455,[16 16] ; [24  9],[19.69230769 12.30769231] ; [20.30769231 12.69230769],0
u3,1,0.071254,3.253889,[10  7] ; [3 9],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
p5,1,0.079468,3.075739,[ 5 27] ; [ 1 32],[ 2.95384615 29.04615385] ; [ 3.04615385 29.95384615],0
n5,1,0.101941,2.674904,[21 11] ; [15 18],[17.72307692 14.27692308] ; [18.27692308 14.72307692],0
p4,1,0.105109,2.626263,[16 16] ; [23 10],[19.2 12.8] ; [19.8 13.2],0
a2,1,0.136595,2.215909,[ 4 28] ; [ 9 24],[ 6.4 25.6] ; [ 6.6 26.4],0
a6,1,0.164849,1.929171,[18 14] ; [24  9],[20.67692308 11.32307692] ; [21.32307692 11.67692308],0
r1,1,0.193713,1.68915,[21 10] ; [27  6],[23.25  7.75] ; [24.75  8.25],0
p1,1,0.19714,1.663435,[ 5 26] ; [ 2 31],[ 3.390625 27.609375] ; [ 3.609375 29.390625],0
n6,1,0.205742,1.601141,[25  6] ; [22 11],[22.765625  8.234375] ; [24.234375  8.765625],0
s4,1,0.21226,1.555948,[ 5 26] ; [ 2 30],[ 3.44444444 27.55555556] ; [ 3.55555556 28.44444444],0
v4,1,0.213644,1.546558,[27  5] ; [31  2],[28.55384615  3.44615385] ; [29.44615385  3.55384615],0
a3,1,0.219078,1.510404,[15 16] ; [21 12],[17.4375 13.5625] ; [18.5625 14.4375],0
a4,1,0.247284,1.338586,[ 8 23] ; [13 20],[10.171875 20.828125] ; [10.828125 22.171875],0
r3,1,0.287259,1.132424,[29  3] ; [32  1],[30.03076923  1.96923077] ; [30.96923077  2.03076923],0
r4,1,0.294408,1.099354,[25  7] ; [29  4],[26.58461538  5.41538462] ; [27.41538462  5.58461538],0
s3,1,0.30373,1.057745,[19 12] ; [16 17],[16.953125 14.046875] ; [18.046875 14.953125],0
r2,1,0.369896,0.804015,[28  4] ; [31  2],[29.04615385  2.95384615] ; [29.95384615  3.04615385],0
n1,1,0.376954,0.780612,[5 5] ; [5 2],[5.88235294 4.11764706] ; [4.11764706 2.88235294],0
s8,1,0.434481,0.610817,[10 22] ; [13 19],[11.5 20.5] ; [11.5 20.5],0
p2,1,0.503808,0.446906,[24  8] ; [27  6],[25.10769231  6.89230769] ; [25.89230769  7.10769231],0
n4,1,0.504853,0.444721,[21 11] ; [19 14],[19.69230769 12.30769231] ; [20.30769231 12.69230769],0
d5,1,0.517743,0.418388,[23  9] ; [26  7],[24.12307692  7.87692308] ; [24.87692308  8.12307692],0
u1,1,0.525599,0.402893,[ 4 28] ; [ 6 27],[ 4.92307692 27.07692308] ; [ 5.07692308 27.92307692],0
a7,1,0.535095,0.384706,[21 11] ; [24  9],[22.15384615  9.84615385] ; [22.84615385 10.15384615],0
u4,1,0.572798,0.318024,[ 1 31] ; [ 2 31],[ 1.47692308 30.52307692] ; [ 1.52307692 31.47692308],0
a8,1,0.609688,0.26063,[ 3 25] ; [ 4 22],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
s6,1,0.610733,0.259109,[20 12] ; [18 14],[19. 13.] ; [19. 13.],0
b3,1,0.713628,0.13468,[ 4 14] ; [ 6 16],[ 4.5 13.5] ; [ 5.5 16.5],0
b2,1,0.713628,0.13468,[ 4 14] ; [ 6 16],[ 4.5 13.5] ; [ 5.5 16.5],0
d4,1,0.717074,0.131313,[24  8] ; [26  7],[24.61538462  7.38461538] ; [25.38461538  7.61538462],0
p11,1,0.718183,0.13024,[17 15] ; [19 14],[17.72307692 14.27692308] ; [18.27692308 14.72307692],0
d2,1,0.718183,0.13024,[15 17] ; [14 19],[14.27692308 17.72307692] ; [14.72307692 18.27692308],0
d3,1,0.721771,0.126802,[23  9] ; [25  8],[23.63076923  8.36923077] ; [24.36923077  8.63076923],0
b5,1,0.725619,0.123173,[21 11] ; [23 10],[21.66153846 10.33846154] ; [22.33846154 10.66153846],0
