Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.008159,6.99818,[ 3 32] ; [13 25],[ 7.67123288 27.32876712] ; [ 8.32876712 29.67123288],0
s6,1,0.012013,6.308987,[11 23] ; [23 14],[16.28169014 17.71830986] ; [17.71830986 19.28169014],0
s5,1,0.016836,5.713434,[ 4 28] ; [14 23],[ 8.34782609 23.65217391] ; [ 9.65217391 27.34782609],0
n5,1,0.030005,4.708978,[ 7 27] ; [17 21],[11.33333333 22.66666667] ; [12.66666667 25.33333333],0
r2,1,0.050418,3.827486,[25 10] ; [34  4],[28.28767123  6.71232877] ; [30.71232877  7.28767123],0
u2,1,0.058137,3.589744,[10  4] ; [5 9],[7.5 6.5] ; [7.5 6.5],0
r4,1,0.077978,3.106558,[21 14] ; [30  8],[24.45205479 10.54794521] ; [26.54794521 11.45205479],0
s1,1,0.104531,2.635009,[ 6 29] ; [ 2 36],[ 3.83561644 31.16438356] ; [ 4.16438356 33.83561644],0
b5,1,0.136783,2.213784,[20 15] ; [28 10],[23.01369863 11.98630137] ; [24.98630137 13.01369863],0
v4,1,0.173411,1.853208,[26  9] ; [33  5],[28.28767123  6.71232877] ; [30.71232877  7.28767123],0
b1,1,0.204995,1.606424,[19 16] ; [15 23],[16.30136986 18.69863014] ; [17.69863014 20.30136986],0
n1,1,0.218143,1.516544,[7 9] ; [ 4 13],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
p3,1,0.225896,1.466515,[ 5 29] ; [10 28],[ 7.08333333 26.91666667] ; [ 7.91666667 30.08333333],0
n3,1,0.226942,1.459926,[11  6] ; [7 9],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
s7,1,0.262947,1.253175,[ 6 25] ; [11 24],[ 7.98484848 23.01515152] ; [ 9.01515152 25.98484848],0
a1,1,0.265254,1.241127,[ 3 32] ; [ 1 37],[ 1.91780822 33.08219178] ; [ 2.08219178 35.91780822],0
p8,1,0.277431,1.179631,[11 23] ; [ 8 30],[ 8.97222222 25.02777778] ; [10.02777778 27.97222222],0
p1,1,0.337984,0.918064,[ 4 31] ; [ 2 36],[ 2.87671233 32.12328767] ; [ 3.12328767 34.87671233],0
p11,1,0.377227,0.779719,[13 22] ; [18 20],[14.8630137 20.1369863] ; [16.1369863 21.8630137],0
r3,1,0.430702,0.62093,[28  7] ; [33  5],[29.24657534  5.75342466] ; [31.75342466  6.24657534],0
s3,1,0.441477,0.592442,[16 19] ; [14 24],[14.38356164 20.61643836] ; [15.61643836 22.38356164],0
s8,1,0.453286,0.562422,[ 6 29] ; [ 9 28],[ 7.29166667 27.70833333] ; [ 7.70833333 29.29166667],0
v1,1,0.473308,0.514242,[11 24] ; [15 23],[12.46575342 22.53424658] ; [13.53424658 24.46575342],0
p6,1,0.484578,0.488542,[ 5 29] ; [ 8 30],[ 6.13888889 27.86111111] ; [ 6.86111111 31.13888889],0
n2,1,0.485845,0.485714,[9 8] ; [11  6],[10.  7.] ; [10.  7.],0
a5,1,0.526171,0.401781,[21 14] ; [20 18],[19.65753425 15.34246575] ; [21.34246575 16.65753425],0
a4,1,0.599801,0.275296,[15 20] ; [14 24],[13.90410959 21.09589041] ; [15.09589041 22.90410959],0
v3,1,0.620401,0.245304,[ 7 25] ; [10 27],[ 7.88405797 24.11594203] ; [ 9.11594203 27.88405797],0
u3,1,0.698791,0.149733,[9 5] ; [8 6],[8.5 5.5] ; [8.5 5.5],0
d3,1,0.714237,0.134082,[16 19] ; [19 19],[16.78082192 18.21917808] ; [18.21917808 19.78082192],0
p9,1,0.716621,0.131753,[16 18] ; [18 17],[16.75362319 17.24637681] ; [17.24637681 17.75362319],0
a6,1,0.74282,0.107663,[17 18] ; [17 21],[16.30136986 18.69863014] ; [17.69863014 20.30136986],0
b2,1,0.748053,0.103175,[ 6 15] ; [ 6 12],[ 6.46153846 14.53846154] ; [ 5.53846154 12.46153846],0
b3,1,0.748053,0.103175,[ 6 15] ; [ 6 12],[ 6.46153846 14.53846154] ; [ 5.53846154 12.46153846],0
p7,1,0.754145,0.09808,[11 23] ; [11 27],[10.38888889 23.61111111] ; [11.61111111 26.38888889],0
b4,1,0.756209,0.096387,[19 16] ; [22 16],[19.65753425 15.34246575] ; [21.34246575 16.65753425],0
d1,1,0.769117,0.08616,[15 20] ; [15 23],[14.38356164 20.61643836] ; [15.61643836 22.38356164],0
a3,1,0.781623,0.076842,[21 14] ; [24 14],[21.57534247 13.42465753] ; [23.42465753 14.57534247],0
d5,1,0.817463,0.053273,[24 11] ; [27 11],[24.45205479 10.54794521] ; [26.54794521 11.45205479],0
s2,1,0.837882,0.041862,[13 22] ; [15 23],[13.42465753 21.57534247] ; [14.57534247 23.42465753],0
p4,1,0.867429,0.027864,[11 23] ; [13 25],[11.33333333 22.66666667] ; [12.66666667 25.33333333],0
a2,1,0.888653,0.019603,[ 5 30] ; [ 5 33],[ 4.79452055 30.20547945] ; [ 5.20547945 32.79452055],0
p10,1,0.909415,0.012945,[17 17] ; [18 19],[16.76056338 17.23943662] ; [18.23943662 18.76056338],0
v2,1,0.913519,0.011794,[13 18] ; [16 21],[13.22058824 17.77941176] ; [15.77941176 21.22058824],0
a7,1,0.918134,0.010565,[18 17] ; [20 18],[18.21917808 16.78082192] ; [19.78082192 18.21917808],0
d2,1,0.933193,0.007027,[16 19] ; [17 21],[15.82191781 19.17808219] ; [17.17808219 20.82191781],0
p12,1,0.936392,0.006369,[ 1 33] ; [ 1 37],[ 0.94444444 33.05555556] ; [ 1.05555556 36.94444444],0
r1,1,0.948232,0.004216,[20 15] ; [22 16],[20.1369863 14.8630137] ; [21.8630137 16.1369863],0
u1,1,0.952967,0.003479,[ 1 34] ; [ 1 37],[ 0.95890411 34.04109589] ; [ 1.04109589 36.95890411],0
d4,1,0.95334,0.003424,[26  9] ; [28 10],[25.89041096  9.10958904] ; [28.10958904  9.89041096],0
a8,1,0.968208,0.001589,[ 1 34] ; [ 1 36],[ 0.97222222 34.02777778] ; [ 1.02777778 35.97222222],0
