Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7.8e-05,15.596596,[88 92] ; [22  2],[97.05882353 82.94117647] ; [12.94117647 11.05882353],1
u4,1,0.002769,8.953939,[  3 181] ; [ 3 21],[  5.30769231 178.69230769] ; [ 0.69230769 23.30769231],0
p3,1,0.003035,8.786236,[86 97] ; [19  5],[92.82608696 90.17391304] ; [12.17391304 11.82608696],0
p7,1,0.008233,6.982068,[107  72] ; [21  3],[112.86699507  66.13300493] ; [15.13300493  8.86699507],0
n5,1,0.008981,6.826534,[129  53] ; [23  1],[134.29126214  47.70873786] ; [17.70873786  6.29126214],0
p12,1,0.00954,6.718912,[  7 172] ; [ 4 20],[  9.69950739 169.30049261] ; [ 1.30049261 22.69950739],0
p8,1,0.016064,5.795804,[80 99] ; [17  7],[85.5320197 93.4679803] ; [11.4679803 12.5320197],0
v3,1,0.017062,5.689962,[ 66 112] ; [15  9],[ 71.37623762 106.62376238] ; [ 9.62376238 14.37623762],0
p2,1,0.017524,5.643084,[133  49] ; [22  1],[137.6097561  44.3902439] ; [17.3902439  5.6097561],0
s5,1,0.02528,5.004588,[ 67 107] ; [15  9],[ 72.06060606 101.93939394] ; [ 9.93939394 14.06060606],0
d1,1,0.053067,3.741816,[108  76] ; [19  5],[112.34615385  71.65384615] ; [14.65384615  9.34615385],0
a1,1,0.056929,3.62468,[ 11 173] ; [ 4 20],[ 13.26923077 170.73076923] ; [ 1.73076923 22.26923077],0
p6,1,0.066421,3.369316,[ 58 119] ; [12 11],[ 61.95 115.05] ; [ 8.05 14.95],0
a6,1,0.072946,3.215459,[ 65 119] ; [13 11],[ 69. 115.] ; [ 9. 15.],0
p1,1,0.081219,3.040329,[ 12 171] ; [ 4 20],[ 14.14492754 168.85507246] ; [ 1.85507246 22.14492754],0
s6,1,0.104637,2.633405,[109  70] ; [18  5],[112.53960396  66.46039604] ; [14.46039604  8.53960396],0
v1,1,0.115966,2.470978,[94 86] ; [16  7],[97.53694581 82.46305419] ; [12.46305419 10.53694581],0
p11,1,0.120751,2.407558,[134  50] ; [21  3],[137.11538462  46.88461538] ; [17.88461538  6.11538462],0
n3,1,0.129076,2.303579,[33 19] ; [1 3],[31.57142857 20.42857143] ; [2.42857143 1.57142857],0
p10,1,0.135488,2.228475,[133  48] ; [21  3],[135.97073171  45.02926829] ; [18.02926829  5.97073171],0
s7,1,0.138892,2.190191,[88 86] ; [16  8],[91.39393939 82.60606061] ; [12.60606061 11.39393939],0
n6,1,0.144164,2.132935,[144  38] ; [22  2],[146.66019417  35.33980583] ; [19.33980583  4.66019417],0
n1,1,0.167011,1.909573,[21 32] ; [3 1],[22.31578947 30.68421053] ; [1.68421053 2.31578947],0
d2,1,0.198152,1.655945,[96 86] ; [16  8],[98.95145631 83.04854369] ; [13.04854369 10.95145631],0
a3,1,0.204346,1.611039,[139  44] ; [21  3],[141.44927536  41.55072464] ; [18.55072464  5.44927536],0
d3,1,0.229275,1.445351,[91 93] ; [15  9],[93.76923077 90.23076923] ; [12.23076923 11.76923077],0
s8,1,0.230928,1.435137,[ 83 100] ; [14 10],[85.75362319 97.24637681] ; [11.24637681 12.75362319],0
b1,1,0.308303,1.037932,[87 97] ; [14 10],[89.34615385 94.65384615] ; [11.65384615 12.34615385],0
n2,1,0.311419,1.024649,[39 14] ; [2 2],[38.12280702 14.87719298] ; [2.87719298 1.12280702],0
b3,1,0.365688,0.818265,[53 67] ; [10  8],[54.7826087 65.2173913] ; [8.2173913 9.7826087],0
b2,1,0.365688,0.818265,[53 67] ; [10  8],[54.7826087 65.2173913] ; [8.2173913 9.7826087],0
r3,1,0.369092,0.806719,[166  18] ; [23  1],[167.19230769  16.80769231] ; [21.80769231  2.19230769],0
s2,1,0.371552,0.798466,[89 94] ; [14 10],[91.05797101 91.94202899] ; [11.94202899 12.05797101],0
r4,1,0.373706,0.791304,[147  37] ; [21  3],[148.61538462  35.38461538] ; [19.38461538  4.61538462],0
r2,1,0.373924,0.790584,[161  19] ; [20  4],[159.70588235  20.29411765] ; [21.29411765  2.70588235],0
s4,1,0.398197,0.713765,[ 36 147] ; [ 3 21],[ 34.47826087 148.52173913] ; [ 4.52173913 19.47826087],0
r1,1,0.474539,0.511387,[133  51] ; [19  5],[134.46153846  49.53846154] ; [17.53846154  6.46153846],0
u2,1,0.476202,0.507548,[24 20] ; [1 2],[23.40425532 20.59574468] ; [1.59574468 1.40425532],0
s3,1,0.483586,0.490765,[100  82] ; [15  9],[101.60194175  80.39805825] ; [13.39805825 10.60194175],0
v2,1,0.504957,0.444503,[95 84] ; [11 13],[93.4679803 85.5320197] ; [12.5320197 11.4679803],0
v4,1,0.567841,0.326308,[161  23] ; [20  4],[160.11538462  23.88461538] ; [20.88461538  3.11538462],0
d5,1,0.587986,0.2935,[153  31] ; [21  3],[153.92307692  30.07692308] ; [20.07692308  3.92307692],0
b5,1,0.639187,0.219807,[86 98] ; [10 14],[84.92307692 99.07692308] ; [11.07692308 12.92307692],0
b4,1,0.639187,0.219807,[98 86] ; [14 10],[99.07692308 84.92307692] ; [12.92307692 11.07692308],0
u1,1,0.79403,0.068163,[ 10 174] ; [ 1 23],[  9.73076923 174.26923077] ; [ 1.26923077 22.73076923],0
s1,1,0.934952,0.006661,[  7 176] ; [ 1 23],[  7.07246377 175.92753623] ; [ 0.92753623 23.07246377],0
