Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,79.402532,[127  34] ; [ 83 163],[83.07125307 77.92874693] ; [126.92874693 119.07125307],1
r1,1,7e-06,20.165422,[145  20] ; [174  79],[125.92105263  39.07894737] ; [193.07894737  59.92105263],1
v1,1,1.8e-05,18.364954,[103  59] ; [104 144],[81.7902439 80.2097561] ; [125.2097561 122.7902439],1
s8,1,3.4e-05,17.1968,[80 83] ; [ 74 181],[ 60.05263158 102.94736842] ; [ 93.94736842 161.05263158],1
s2,1,0.000393,12.564568,[89 73] ; [ 95 160],[71.48201439 90.51798561] ; [112.51798561 142.48201439],1
d1,1,0.001805,9.737656,[103  62] ; [120 136],[87.39904988 77.60095012] ; [135.60095012 120.39904988],0
n6,1,0.002985,8.816586,[154  11] ; [212  42],[144.12887828  20.87112172] ; [221.87112172  32.12887828],0
s7,1,0.003032,8.788344,[81 72] ; [ 93 153],[66.72180451 86.27819549] ; [107.27819549 138.72180451],0
p3,1,0.003243,8.66524,[83 81] ; [ 92 163],[68.49642005 95.50357995] ; [106.50357995 148.49642005],0
r4,1,0.003801,8.376682,[150  15] ; [206  50],[139.52494062  25.47505938] ; [216.47505938  39.52494062],0
r3,1,0.004912,7.911592,[156   8] ; [221  34],[147.56085919  16.43914081] ; [229.43914081  25.56085919],0
p7,1,0.007338,7.188339,[95 65] ; [115 136],[81.75182482 78.24817518] ; [128.24817518 122.75182482],0
v4,1,0.010451,6.556347,[158   7] ; [225  29],[150.82338902  14.17661098] ; [232.17661098  21.82338902],0
a2,1,0.016349,5.764892,[ 49 116] ; [ 50 206],[ 38.80047506 126.19952494] ; [ 60.19952494 195.80047506],0
s4,1,0.018954,5.505738,[ 16 148] ; [ 46 208],[ 24.32535885 139.67464115] ; [ 37.67464115 216.32535885],0
d5,1,0.022974,5.170481,[138  27] ; [190  66],[128.55106888  36.44893112] ; [199.44893112  56.55106888],0
d4,1,0.02691,4.896577,[135  29] ; [186  69],[125.64200477  38.35799523] ; [195.35799523  59.64200477],0
