Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.005023,7.871,[2 5] ; [26  6],[5.02564103 1.97435897] ; [22.97435897  9.02564103],0
n2,1,0.018326,5.56476,[1 2] ; [12  1],[2.4375 0.5625] ; [10.5625  2.4375],0
a8,1,0.034573,4.466146,[2 5] ; [ 1 27],[0.6 6.4] ; [ 2.4 25.6],0
r4,1,0.035099,4.440333,[3 4] ; [26  6],[5.20512821 1.79487179] ; [23.79487179  8.20512821],0
d3,1,0.035703,4.411235,[2 5] ; [22  9],[4.42105263 2.57894737] ; [19.57894737 11.42105263],0
d1,1,0.044212,4.048449,[1 6] ; [18 14],[3.41025641 3.58974359] ; [15.58974359 16.41025641],0
a7,1,0.047788,3.917411,[2 5] ; [22 10],[4.30769231 2.69230769] ; [19.69230769 12.30769231],0
a5,1,0.061879,3.486288,[1 6] ; [17 15],[3.23076923 3.76923077] ; [14.76923077 17.23076923],0
d2,1,0.084332,2.979374,[1 6] ; [16 16],[3.05128205 3.94871795] ; [13.94871795 18.05128205],0
p8,1,0.112322,2.521242,[6 1] ; [17 15],[4.12820513 2.87179487] ; [18.87179487 13.12820513],0
b4,1,0.138646,2.192921,[2 5] ; [19 13],[3.76923077 3.23076923] ; [17.23076923 14.76923077],0
a3,1,0.138646,2.192921,[2 5] ; [19 13],[3.76923077 3.23076923] ; [17.23076923 14.76923077],0
v4,1,0.168788,1.893671,[5 2] ; [29  3],[6.1025641 0.8974359] ; [27.8974359  4.1025641],0
d5,1,0.170294,1.880357,[4 3] ; [26  6],[5.38461538 1.61538462] ; [24.61538462  7.38461538],0
r1,1,0.195801,1.673418,[3 4] ; [22 10],[4.48717949 2.51282051] ; [20.51282051 11.48717949],0
v1,1,0.239084,1.385984,[2 5] ; [17 15],[3.41025641 3.58974359] ; [15.58974359 16.41025641],0
d4,1,0.249479,1.326216,[4 3] ; [25  7],[5.20512821 1.79487179] ; [23.79487179  8.20512821],0
b5,1,0.341591,0.904453,[4 3] ; [24  8],[5.02564103 1.97435897] ; [22.97435897  9.02564103],0
s8,1,0.376362,0.782551,[2 5] ; [15 17],[3.05128205 3.94871795] ; [13.94871795 18.05128205],0
u3,1,0.410117,0.678462,[2 3] ; [8 5],[2.77777778 2.22222222] ; [7.22222222 5.77777778],0
r3,1,0.469853,0.522321,[6 1] ; [30  2],[6.46153846 0.53846154] ; [29.53846154  2.46153846],0
v3,1,0.517268,0.419337,[1 6] ; [ 8 23],[1.65789474 5.34210526] ; [ 7.34210526 23.65789474],0
n1,1,0.604773,0.267857,[1 2] ; [6 6],[1.4 1.6] ; [5.6 6.4],0
p11,1,0.655546,0.19898,[5 2] ; [20 12],[4.48717949 2.51282051] ; [20.51282051 11.48717949],0
p4,1,0.671735,0.179579,[4 3] ; [21 11],[4.48717949 2.51282051] ; [20.51282051 11.48717949],0
a6,1,0.671735,0.179579,[4 3] ; [21 11],[4.48717949 2.51282051] ; [20.51282051 11.48717949],0
p10,1,0.671735,0.179579,[4 3] ; [21 11],[4.48717949 2.51282051] ; [20.51282051 11.48717949],0
v2,1,0.675605,0.175115,[4 3] ; [15 16],[3.5 3.5] ; [15.5 15.5],0
n5,1,0.675605,0.175115,[4 3] ; [15 16],[3.5 3.5] ; [15.5 15.5],0
n4,1,0.731989,0.117293,[3 4] ; [16 16],[3.41025641 3.58974359] ; [15.58974359 16.41025641],0
s2,1,0.731989,0.117293,[4 3] ; [16 16],[3.58974359 3.41025641] ; [16.41025641 15.58974359],0
p2,1,0.780402,0.077726,[6 1] ; [26  6],[5.74358974 1.25641026] ; [26.25641026  5.74358974],0
s6,1,0.791857,0.069643,[4 3] ; [20 12],[4.30769231 2.69230769] ; [19.69230769 12.30769231],0
p3,1,0.846838,0.037309,[4 3] ; [17 15],[3.76923077 3.23076923] ; [17.23076923 14.76923077],0
s5,1,0.85554,0.033144,[2 5] ; [ 9 19],[2.2 4.8] ; [ 8.8 19.2],0
s7,1,0.874925,0.024777,[2 3] ; [14 18],[2.16216216 2.83783784] ; [13.83783784 18.16216216],0
u2,1,0.888153,0.01978,[4 1] ; [10  3],[3.88888889 1.11111111] ; [10.11111111  2.88888889],0
s3,1,0.911824,0.012263,[4 3] ; [17 14],[3.86842105 3.13157895] ; [17.13157895 13.86842105],0
s4,1,0.913396,0.011828,[3 4] ; [13 19],[2.87179487 4.12820513] ; [13.12820513 18.87179487],0
n3,1,0.931175,0.007459,[2 1] ; [9 4],[2.0625 0.9375] ; [8.9375 4.0625],0
