Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000138,14.531687,[15  8] ; [23 73],[ 7.34453782 15.65546218] ; [30.65546218 65.34453782],1
p8,1,0.000789,11.267584,[11 12] ; [15 81],[ 5.02521008 17.97478992] ; [20.97478992 75.02521008],1
p4,1,0.002021,9.53064,[13 10] ; [23 74],[ 6.9 16.1] ; [29.1 67.9],0
p3,1,0.016115,5.790242,[10 13] ; [19 78],[ 5.55833333 17.44166667] ; [23.44166667 73.55833333],0
r3,1,0.018364,5.561109,[22  1] ; [69 26],[17.73728814  5.26271186] ; [73.26271186 21.73728814],0
b5,1,0.026717,4.909009,[19  4] ; [56 41],[14.375  8.625] ; [60.625 36.375],0
r4,1,0.040215,4.208798,[19  4] ; [58 39],[14.75833333  8.24166667] ; [62.24166667 34.75833333],0
p11,1,0.071505,3.248133,[15  8] ; [43 54],[11.11666667 11.88333333] ; [46.88333333 50.11666667],0
a5,1,0.072784,3.219088,[ 9 14] ; [58 39],[12.84166667 10.15833333] ; [54.15833333 42.84166667],0
v4,1,0.074422,3.182686,[21  2] ; [71 25],[17.78151261  5.21848739] ; [74.21848739 21.78151261],0
p1,1,0.104148,2.640851,[ 3 20] ; [ 4 92],[ 1.35294118 21.64705882] ; [ 5.64705882 90.35294118],0
s8,1,0.117931,2.444592,[ 5 17] ; [10 86],[ 2.79661017 19.20338983] ; [12.20338983 83.79661017],0
p2,1,0.124843,2.355488,[15  8] ; [46 51],[11.69166667 11.30833333] ; [49.30833333 47.69166667],0
a8,1,0.129424,2.299395,[ 4 17] ; [ 7 81],[ 2.11926606 18.88073394] ; [ 8.88073394 79.11926606],0
d4,1,0.153067,2.041417,[13 10] ; [69 27],[15.8487395  7.1512605] ; [66.1512605 29.8487395],0
p9,1,0.166531,1.913901,[ 9 14] ; [23 70],[ 6.34482759 16.65517241] ; [25.65517241 67.34482759],0
b2,1,0.19374,1.688947,[7 8] ; [19 46],[ 4.875 10.125] ; [21.125 43.875],0
b3,1,0.19374,1.688947,[7 8] ; [19 46],[ 4.875 10.125] ; [21.125 43.875],0
n2,1,0.202956,1.620975,[7 2] ; [23 19],[5.29411765 3.70588235] ; [24.70588235 17.29411765],0
u2,1,0.239645,1.382683,[6 5] ; [14 26],[4.31372549 6.68627451] ; [15.68627451 24.31372549],0
s5,1,0.261483,1.260888,[ 1 20] ; [13 83],[ 2.51282051 18.48717949] ; [11.48717949 84.51282051],0
n5,1,0.264451,1.245308,[ 9 14] ; [50 46],[11.40336134 11.59663866] ; [47.59663866 48.40336134],0
s7,1,0.398608,0.712521,[ 4 17] ; [11 80],[ 2.8125 18.1875] ; [12.1875 78.8125],0
v2,1,0.399059,0.711159,[10 12] ; [34 61],[ 8.27350427 13.72649573] ; [35.72649573 59.27350427],0
s4,1,0.435085,0.60921,[ 1 22] ; [ 9 87],[ 1.93277311 21.06722689] ; [ 8.06722689 87.93277311],0
a1,1,0.441777,0.591663,[ 1 22] ; [ 9 88],[ 1.91666667 21.08333333] ; [ 8.08333333 88.91666667],0
n6,1,0.448747,0.573815,[16  7] ; [58 37],[14.42372881  8.57627119] ; [59.57627119 35.42372881],0
d1,1,0.529125,0.396072,[ 9 14] ; [45 52],[10.35 12.65] ; [43.65 53.35],0
r2,1,0.564823,0.331422,[20  3] ; [77 17],[19.06837607  3.93162393] ; [77.93162393 16.06837607],0
b1,1,0.604287,0.268579,[13 10] ; [49 48],[11.88333333 11.11666667] ; [50.11666667 46.88333333],0
d3,1,0.650966,0.204685,[14  9] ; [54 43],[13.03333333  9.96666667] ; [54.96666667 42.03333333],0
a3,1,0.656724,0.197527,[12 11] ; [55 41],[12.94957983 10.05042017] ; [54.05042017 41.94957983],0
d2,1,0.670151,0.181426,[10 13] ; [46 49],[10.91525424 12.08474576] ; [45.08474576 49.91525424],0
b4,1,0.694256,0.154516,[12 11] ; [55 42],[12.84166667 10.15833333] ; [54.15833333 42.84166667],0
u1,1,0.713705,0.134604,[ 2 21] ; [11 86],[ 2.49166667 20.50833333] ; [10.50833333 86.49166667],0
a2,1,0.727929,0.121022,[ 4 19] ; [20 77],[ 4.6 18.4] ; [19.4 77.6],0
v1,1,0.744131,0.106529,[ 8 15] ; [30 66],[ 7.34453782 15.65546218] ; [30.65546218 65.34453782],0
d5,1,0.794895,0.067579,[15  8] ; [66 31],[15.525  7.475] ; [65.475 31.525],0
n4,1,0.802798,0.062364,[13 10] ; [57 39],[13.52941176  9.47058824] ; [56.47058824 39.52941176],0
a4,1,0.802798,0.062364,[10 13] ; [39 57],[ 9.47058824 13.52941176] ; [39.52941176 56.47058824],0
s2,1,0.805533,0.060611,[ 2 21] ; [10 86],[ 2.31932773 20.68067227] ; [ 9.68067227 86.31932773],0
a7,1,0.866283,0.028352,[14  9] ; [56 39],[13.6440678  9.3559322] ; [56.3559322 38.6440678],0
a6,1,0.924568,0.008965,[14  9] ; [58 39],[13.8  9.2] ; [58.2 38.8],0
s6,1,0.98562,0.000325,[ 6 16] ; [26 70],[ 5.96610169 16.03389831] ; [26.03389831 69.96610169],0
r1,1,0.987113,0.000261,[14  9] ; [58 37],[14.03389831  8.96610169] ; [57.96610169 37.03389831],0
u3,1,0.989757,0.000165,[5 6] ; [19 23],[4.98113208 6.01886792] ; [19.01886792 22.98113208],0
v3,1,1.0,0.0,[ 5 18] ; [20 72],[ 5. 18.] ; [20. 72.],0
n1,1,1.0,0.0,[3 6] ; [14 28],[3. 6.] ; [14. 28.],0
