Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.828431,[82 34] ; [ 3 26],[68. 48.] ; [17. 12.],1
p9,1,0.0,30.941381,[102  13] ; [11 16],[91.51408451 23.48591549] ; [21.48591549  5.51408451],1
p11,1,0.0,29.593398,[95 21] ; [ 9 20],[83.2 32.8] ; [20.8  8.2],1
p10,1,0.0,25.477051,[91 22] ; [ 9 19],[80.14184397 32.85815603] ; [19.85815603  8.14184397],1
n6,1,2e-06,22.281167,[103  13] ; [14 14],[94.25 21.75] ; [22.75  5.25],1
p2,1,5e-06,20.99108,[92 22] ; [11 18],[82.11188811 31.88811189] ; [20.88811189  8.11188811],1
v4,1,1.1e-05,19.270971,[101  14] ; [15 14],[92.63888889 22.36111111] ; [23.36111111  5.63888889],1
s6,1,0.000833,11.166786,[66 46] ; [ 7 22],[57.9858156 54.0141844] ; [15.0141844 13.9858156],1
v2,1,0.000939,10.944696,[59 53] ; [ 5 23],[51.2 60.8] ; [12.8 15.2],1
d4,1,0.001719,9.827627,[90 26] ; [14 15],[83.2 32.8] ; [20.8  8.2],0
n3,1,0.001766,9.777778,[28  4] ; [5 7],[24.  8.] ; [9. 3.],0
n2,1,0.001766,9.777778,[28  4] ; [5 7],[24.  8.] ; [9. 3.],0
s8,1,0.00709,7.25,[42 74] ; [ 3 26],[36. 80.] ; [ 9. 20.],0
v1,1,0.007707,7.100375,[53 57] ; [ 6 23],[46.69064748 63.30935252] ; [12.30935252 16.69064748],0
v3,1,0.009275,6.769002,[45 69] ; [ 4 25],[39.06293706 74.93706294] ; [ 9.93706294 19.06293706],0
s7,1,0.011178,6.436866,[48 61] ; [ 5 23],[42.16788321 66.83211679] ; [10.83211679 17.16788321],0
a1,1,0.01348,6.105041,[  7 109] ; [ 6 23],[ 10.4 105.6] ; [ 2.6 26.4],0
p8,1,0.016599,5.738299,[51 62] ; [ 6 23],[45.35915493 67.64084507] ; [11.64084507 17.35915493],0
p3,1,0.017203,5.675562,[56 59] ; [ 7 22],[50.3125 64.6875] ; [12.6875 16.3125],0
s3,1,0.042326,4.122122,[59 56] ; [ 8 19],[54.26056338 60.73943662] ; [12.73943662 14.26056338],0
p7,1,0.045633,3.995083,[63 51] ; [10 19],[58.1958042 55.8041958] ; [14.8041958 14.1958042],0
r2,1,0.047005,3.945197,[92 18] ; [18  9],[88.32116788 21.67883212] ; [21.67883212  5.32116788],0
p4,1,0.055617,3.663483,[62 52] ; [10 19],[57.3986014 56.6013986] ; [14.6013986 14.3986014],0
a3,1,0.057841,3.598236,[78 38] ; [14 15],[73.6 42.4] ; [18.4 10.6],0
d5,1,0.063161,3.452381,[88 28] ; [17 12],[84. 32.] ; [21.  8.],0
a7,1,0.065345,3.396245,[70 46] ; [12 17],[65.6 50.4] ; [16.4 12.6],0
b2,1,0.066071,3.378032,[22 49] ; [12 11],[25.68085106 45.31914894] ; [ 8.31914894 14.68085106],0
