Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6.7e-05,15.89545,[6 3] ; [ 1 24],[1.85294118 7.14705882] ; [ 5.14705882 19.85294118],1
r4,1,0.000503,12.10328,[5 4] ; [ 1 24],[1.58823529 7.41176471] ; [ 4.41176471 20.58823529],1
r3,1,0.001607,9.951595,[8 1] ; [ 7 18],[3.97058824 5.02941176] ; [11.02941176 13.97058824],0
d5,1,0.011746,6.348765,[8 1] ; [10 15],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
s7,1,0.029987,4.710017,[3 6] ; [ 1 21],[1.16129032 7.83870968] ; [ 2.83870968 19.16129032],0
d1,1,0.040673,4.189597,[6 3] ; [ 7 18],[3.44117647 5.55882353] ; [ 9.55882353 15.44117647],0
s5,1,0.065755,3.385931,[3 6] ; [ 2 23],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
r1,1,0.069983,3.283429,[6 3] ; [ 8 17],[3.70588235 5.29411765] ; [10.29411765 14.70588235],0
p4,1,0.084522,2.975726,[4 5] ; [ 4 21],[2.11764706 6.88235294] ; [ 5.88235294 19.11764706],0
p11,1,0.084522,2.975726,[4 5] ; [ 4 21],[2.11764706 6.88235294] ; [ 5.88235294 19.11764706],0
a5,1,0.122887,2.380133,[7 2] ; [12 13],[5.02941176 3.97058824] ; [13.97058824 11.02941176],0
n4,1,0.169327,1.888889,[3 6] ; [15 10],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
n2,1,0.200441,1.639156,[3 1] ; [5 8],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
n3,1,0.200441,1.639156,[3 1] ; [5 8],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
b1,1,0.212422,1.554839,[4 5] ; [17  8],[5.55882353 3.44117647] ; [15.44117647  9.55882353],0
r2,1,0.216358,1.528365,[7 2] ; [13 11],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
p7,1,0.223216,1.483575,[1 8] ; [ 8 17],[2.38235294 6.61764706] ; [ 6.61764706 18.38235294],0
d2,1,0.243537,1.36,[6 3] ; [11 14],[4.5 4.5] ; [12.5 12.5],0
p3,1,0.27013,1.216085,[3 6] ; [ 4 21],[1.85294118 7.14705882] ; [ 5.14705882 19.85294118],0
a6,1,0.33602,0.925556,[3 6] ; [13 12],[4.23529412 4.76470588] ; [11.76470588 13.23529412],0
a7,1,0.33602,0.925556,[6 3] ; [12 13],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
p10,1,0.412215,0.672404,[1 8] ; [ 6 19],[1.85294118 7.14705882] ; [ 5.14705882 19.85294118],0
b4,1,0.447332,0.577404,[6 3] ; [13 12],[5.02941176 3.97058824] ; [13.97058824 11.02941176],0
s4,1,0.457789,0.551295,[2 7] ; [ 3 22],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
s2,1,0.457789,0.551295,[2 7] ; [ 3 22],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
p6,1,0.487857,0.48125,[2 7] ; [ 3 21],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
p9,1,0.502927,0.448754,[4 5] ; [ 8 17],[3.17647059 5.82352941] ; [ 8.82352941 16.17647059],0
v3,1,0.565659,0.33,[2 6] ; [ 4 21],[1.45454545 6.54545455] ; [ 4.54545455 20.45454545],0
v1,1,0.586289,0.296178,[3 6] ; [ 6 19],[2.38235294 6.61764706] ; [ 6.61764706 18.38235294],0
p8,1,0.600991,0.273504,[2 6] ; [ 4 20],[1.5 6.5] ; [ 4.5 19.5],0
p2,1,0.632142,0.229167,[3 6] ; [ 6 18],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
a3,1,0.662597,0.190385,[6 3] ; [14 10],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
a2,1,0.674576,0.176296,[2 7] ; [ 4 21],[1.58823529 7.41176471] ; [ 4.41176471 20.58823529],0
p1,1,0.722511,0.1261,[1 8] ; [ 4 21],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
d3,1,0.816297,0.053968,[4 5] ; [10 15],[3.70588235 5.29411765] ; [10.29411765 14.70588235],0
u2,1,0.836813,0.042424,[1 2] ; [3 8],[0.85714286 2.14285714] ; [3.14285714 7.85714286],0
b3,1,0.851054,0.035259,[3 4] ; [8 9],[3.20833333 3.79166667] ; [7.79166667 9.20833333],0
b2,1,0.851054,0.035259,[3 4] ; [8 9],[3.20833333 3.79166667] ; [7.79166667 9.20833333],0
n1,1,0.892795,0.018162,[2 2] ; [6 7],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
b5,1,0.981629,0.00053,[4 5] ; [11 14],[3.97058824 5.02941176] ; [11.02941176 13.97058824],0
a4,1,0.981629,0.00053,[4 5] ; [11 14],[3.97058824 5.02941176] ; [11.02941176 13.97058824],0
s3,1,1.0,0.0,[3 6] ; [ 8 16],[3. 6.] ; [ 8. 16.],0
