Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,23.098532,[ 36 109] ; [85 80],[56.59677419 88.40322581] ; [ 64.40322581 100.59677419],1
d5,1,0.002097,9.462508,[63 83] ; [100  65],[76.52090032 69.47909968] ; [86.47909968 78.52090032],0
r1,1,0.004175,8.206156,[82 63] ; [119  46],[94.01612903 50.98387097] ; [106.98387097  58.01612903],0
d2,1,0.004508,8.067041,[ 30 117] ; [ 15 150],[ 21.20192308 125.79807692] ; [ 23.79807692 141.20192308],0
r3,1,0.005818,7.60579,[117  28] ; [150  14],[125.29126214  19.70873786] ; [141.70873786  22.29126214],0
a3,1,0.008151,7.000048,[67 78] ; [101  64],[78.58064516 66.41935484] ; [89.41935484 75.58064516],0
a7,1,0.009109,6.80134,[79 66] ; [113  51],[90.09708738 54.90291262] ; [101.90291262  62.09708738],0
u2,1,0.013278,6.131741,[33 47] ; [38 23],[40.28368794 39.71631206] ; [30.71631206 30.28368794],0
b4,1,0.020884,5.336443,[69 78] ; [99 66],[79.15384615 67.84615385] ; [88.84615385 76.15384615],0
b2,1,0.039389,4.243993,[24 69] ; [35 52],[30.48333333 62.51666667] ; [28.51666667 58.48333333],0
b3,1,0.039389,4.243993,[24 69] ; [35 52],[30.48333333 62.51666667] ; [28.51666667 58.48333333],0
u3,1,0.057603,3.605097,[33 47] ; [35 26],[38.58156028 41.41843972] ; [29.41843972 31.58156028],0
p2,1,0.061667,3.49198,[103  44] ; [130  34],[110.1318328  36.8681672] ; [122.8681672  41.1318328],0
p1,1,0.067332,3.346892,[ 14 133] ; [  7 156],[  9.95806452 137.04193548] ; [ 11.04193548 151.95806452],0
s7,1,0.079742,3.070161,[ 37 103] ; [ 56 100],[43.98648649 96.01351351] ; [ 49.01351351 106.98648649],0
v2,1,0.08824,2.906196,[51 87] ; [73 83],[58.20408163 79.79591837] ; [65.79591837 90.20408163],0
p10,1,0.092133,2.836706,[92 52] ; [118  44],[98.82352941 45.17647059] ; [111.17647059  50.82352941],0
s2,1,0.096117,2.768825,[ 38 108] ; [ 57 107],[ 44.74193548 101.25806452] ; [ 50.25806452 113.74193548],0
r4,1,0.10181,2.676961,[105  42] ; [131  34],[111.19230769  35.80769231] ; [124.80769231  40.19230769],0
s6,1,0.104672,2.632874,[64 83] ; [86 77],[71.12903226 75.87096774] ; [78.87096774 84.12903226],0
p11,1,0.125273,2.350124,[97 50] ; [122  43],[103.18269231  43.81730769] ; [115.81730769  49.18269231],0
p9,1,0.187609,1.736293,[98 46] ; [122  41],[103.19218241  40.80781759] ; [116.80781759  46.19218241],0
a5,1,0.187999,1.733232,[71 76] ; [92 73],[76.79807692 70.20192308] ; [86.20192308 78.79807692],0
u1,1,0.204261,1.611639,[  2 145] ; [  6 159],[  3.76923077 143.23076923] ; [  4.23076923 160.76923077],0
p8,1,0.235647,1.406445,[54 90] ; [72 91],[59.1009772 84.8990228] ; [66.8990228 96.1009772],0
