Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.5e-05,17.770322,[ 7 30] ; [21  9],[15.46268657 21.53731343] ; [12.53731343 17.46268657],1
s2,1,0.000275,13.233083,[ 8 28] ; [20 10],[15.27272727 20.72727273] ; [12.72727273 17.27272727],1
s5,1,0.00171,9.837504,[ 4 33] ; [13 16],[ 9.53030303 27.46969697] ; [ 7.46969697 21.53030303],0
a5,1,0.002287,9.303544,[16 21] ; [24  6],[22.08955224 14.91044776] ; [17.91044776 12.08955224],0
p10,1,0.009894,6.653957,[25 12] ; [28  2],[29.26865672  7.73134328] ; [23.73134328  6.26865672],0
s3,1,0.013433,6.111111,[13 23] ; [20 10],[18. 18.] ; [15. 15.],0
s6,1,0.014069,6.02944,[18 19] ; [22  6],[22.76923077 14.23076923] ; [17.23076923 10.76923077],0
p2,1,0.028494,4.797952,[25 12] ; [27  3],[28.71641791  8.28358209] ; [23.28358209  6.71641791],0
r4,1,0.050422,3.827384,[30  7] ; [29  1],[32.58208955  4.41791045] ; [26.41791045  3.58208955],0
b3,1,0.051706,3.785243,[ 3 18] ; [ 9 13],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
b2,1,0.051706,3.785243,[ 3 18] ; [ 9 13],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
p6,1,0.053187,3.738031,[10 27] ; [15 15],[13.80597015 23.19402985] ; [11.19402985 18.80597015],0
v3,1,0.063501,3.443499,[15 22] ; [19 11],[18.7761194 18.2238806] ; [15.2238806 14.7761194],0
a6,1,0.066349,3.37112,[19 18] ; [22  8],[22.64179104 14.35820896] ; [18.35820896 11.64179104],0
a3,1,0.089874,2.876633,[17 20] ; [20 10],[20.43283582 16.56716418] ; [16.56716418 13.43283582],0
p11,1,0.098833,2.72427,[32  5] ; [21  9],[29.26865672  7.73134328] ; [23.73134328  6.26865672],0
n5,1,0.161311,1.961889,[25 12] ; [24  5],[27.46969697  9.53030303] ; [21.53030303  7.46969697],0
r1,1,0.170395,1.879469,[27 10] ; [26  4],[29.26865672  7.73134328] ; [23.73134328  6.26865672],0
p9,1,0.201618,1.630612,[29  8] ; [27  3],[30.92537313  6.07462687] ; [25.07462687  4.92537313],0
a8,1,0.286361,1.13665,[ 2 32] ; [ 4 25],[ 3.23809524 30.76190476] ; [ 2.76190476 26.23809524],0
n4,1,0.293836,1.101962,[24 13] ; [23  7],[25.95522388 11.04477612] ; [21.04477612  8.95522388],0
d2,1,0.29545,1.094621,[ 6 31] ; [ 8 22],[ 7.73134328 29.26865672] ; [ 6.26865672 23.73134328],0
p7,1,0.332928,0.937476,[23 14] ; [22  8],[24.85074627 12.14925373] ; [20.14925373  9.85074627],0
p8,1,0.35411,0.858675,[18 19] ; [18 12],[19.88059701 17.11940299] ; [16.11940299 13.88059701],0
p3,1,0.410955,0.676036,[21 16] ; [14 16],[19.32835821 17.67164179] ; [15.67164179 14.32835821],0
p12,1,0.412068,0.672826,[ 3 34] ; [ 1 29],[ 2.20895522 34.79104478] ; [ 1.79104478 28.20895522],0
v4,1,0.431026,0.620058,[34  3] ; [28  1],[34.75757576  2.24242424] ; [27.24242424  1.75757576],0
u1,1,0.435303,0.608634,[ 1 36] ; [ 2 28],[ 1.65671642 35.34328358] ; [ 1.34328358 28.65671642],0
u3,1,0.438578,0.6,[ 9 11] ; [6 4],[10. 10.] ; [5. 5.],0
a2,1,0.476683,0.506443,[ 2 35] ; [ 3 27],[ 2.76119403 34.23880597] ; [ 2.23880597 27.76119403],0
p5,1,0.48686,0.483458,[ 3 34] ; [ 4 26],[ 3.86567164 33.13432836] ; [ 3.13432836 26.86567164],0
v1,1,0.4871,0.482927,[21 15] ; [20 10],[22.36363636 13.63636364] ; [18.63636364 11.36363636],0
d5,1,0.581239,0.304236,[16 21] ; [15 15],[17.11940299 19.88059701] ; [13.88059701 16.11940299],0
u2,1,0.602332,0.271493,[ 8 12] ; [5 5],[ 8.66666667 11.33333333] ; [4.33333333 5.66666667],0
n6,1,0.610052,0.2601,[29  8] ; [25  5],[29.82089552  7.17910448] ; [24.17910448  5.82089552],0
b5,1,0.61478,0.253273,[22 15] ; [16 14],[20.98507463 16.01492537] ; [17.01492537 12.98507463],0
s4,1,0.65919,0.194509,[ 5 32] ; [ 3 27],[ 4.41791045 32.58208955] ; [ 3.58208955 26.41791045],0
r3,1,0.683416,0.166305,[35  2] ; [29  1],[35.34328358  1.65671642] ; [28.65671642  1.34328358],0
b4,1,0.702905,0.145467,[18 19] ; [16 14],[18.7761194 18.2238806] ; [15.2238806 14.7761194],0
d3,1,0.716619,0.131755,[12 25] ; [11 19],[12.70149254 24.29850746] ; [10.29850746 19.70149254],0
p1,1,0.751518,0.10026,[ 4 33] ; [ 4 26],[ 4.41791045 32.58208955] ; [ 3.58208955 26.41791045],0
n1,1,0.771519,0.084325,[4 5] ; [3 5],[3.70588235 5.29411765] ; [3.29411765 4.70588235],0
a7,1,0.830993,0.045551,[25 12] ; [21  9],[25.40298507 11.59701493] ; [20.59701493  9.40298507],0
a4,1,0.960525,0.00245,[ 6 31] ; [ 5 25],[ 6.07462687 30.92537313] ; [ 4.92537313 25.07462687],0
p4,1,0.964223,0.002012,[22 15] ; [18 12],[22.08955224 14.91044776] ; [17.91044776 12.08955224],0
b1,1,0.964223,0.002012,[15 22] ; [12 18],[14.91044776 22.08955224] ; [12.08955224 17.91044776],0
