Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,46.666667,[69  3] ; [15 25],[54. 18.] ; [30. 10.],1
r3,1,0.0,43.454738,[68  4] ; [15 25],[53.35714286 18.64285714] ; [29.64285714 10.35714286],1
r1,1,0.0,35.051852,[56 16] ; [ 8 32],[41.14285714 30.85714286] ; [22.85714286 17.14285714],1
r2,1,0.0,29.027919,[70  2] ; [21 16],[60.11009174 11.88990826] ; [30.88990826  6.11009174],1
n6,1,0.000513,12.067888,[58 14] ; [19 20],[49.94594595 22.05405405] ; [27.05405405 11.94594595],1
p11,1,0.001133,10.596316,[44 28] ; [12 29],[35.68141593 36.31858407] ; [20.31858407 20.68141593],0
s6,1,0.003543,8.504263,[31 39] ; [ 7 34],[23.96396396 46.03603604] ; [14.03603604 26.96396396],0
p9,1,0.005685,7.647649,[41 30] ; [11 26],[34.18518519 36.81481481] ; [17.81481481 19.18518519],0
s8,1,0.012595,6.225059,[19 52] ; [ 3 38],[13.94642857 57.05357143] ; [ 8.05357143 32.94642857],0
p3,1,0.013376,6.118627,[24 48] ; [ 5 36],[18.47787611 53.52212389] ; [10.52212389 30.47787611],0
p10,1,0.013865,6.055238,[38 32] ; [12 28],[31.81818182 38.18181818] ; [18.18181818 21.81818182],0
p6,1,0.017411,5.654426,[16 56] ; [ 2 38],[11.57142857 60.42857143] ; [ 6.42857143 33.57142857],0
n3,1,0.025767,4.971591,[15  5] ; [ 9 13],[11.42857143  8.57142857] ; [12.57142857  9.42857143],0
s5,1,0.028241,4.813315,[16 51] ; [ 3 38],[11.78703704 55.21296296] ; [ 7.21296296 33.78703704],0
u2,1,0.036647,4.366734,[16 13] ; [ 4 13],[12.60869565 16.39130435] ; [7.39130435 9.60869565],0
p7,1,0.03761,4.322565,[22 50] ; [ 5 34],[17.51351351 54.48648649] ; [ 9.48648649 29.51351351],0
d4,1,0.046649,3.958014,[55 17] ; [24 17],[50.33628319 21.66371681] ; [28.66371681 12.33628319],0
p1,1,0.048147,3.90484,[ 3 69] ; [ 6 35],[ 5.73451327 66.26548673] ; [ 3.26548673 37.73451327],0
a1,1,0.092888,2.823591,[ 5 67] ; [ 7 34],[ 7.6460177 64.3539823] ; [ 4.3539823 36.6460177],0
u3,1,0.103517,2.650512,[18 12] ; [ 6 11],[15.31914894 14.68085106] ; [8.68085106 8.31914894],0
n2,1,0.121606,2.396514,[16  6] ; [11 11],[13.5  8.5] ; [13.5  8.5],0
b5,1,0.169333,1.888837,[43 29] ; [19 22],[39.50442478 32.49557522] ; [22.49557522 18.50442478],0
a7,1,0.198992,1.649755,[45 27] ; [20 20],[41.78571429 30.21428571] ; [23.21428571 16.78571429],0
p4,1,0.210833,1.565696,[22 49] ; [ 8 32],[19.18918919 51.81081081] ; [10.81081081 29.18918919],0
n5,1,0.216661,1.526353,[40 32] ; [27 13],[43.07142857 28.92857143] ; [23.92857143 16.07142857],0
p8,1,0.258576,1.276364,[21 51] ; [ 8 33],[18.47787611 53.52212389] ; [10.52212389 30.47787611],0
s7,1,0.280481,1.164759,[14 52] ; [ 5 34],[11.94285714 54.05714286] ; [ 7.05714286 31.94285714],0
p5,1,0.304426,1.054703,[ 5 67] ; [ 1 40],[ 3.82300885 68.17699115] ; [ 2.17699115 38.82300885],0
d5,1,0.308958,1.035123,[49 23] ; [24 17],[46.51327434 25.48672566] ; [26.48672566 14.51327434],0
d1,1,0.324791,0.969556,[35 37] ; [16 25],[32.49557522 39.50442478] ; [18.50442478 22.49557522],0
b2,1,0.348114,0.880321,[17 29] ; [13 14],[18.90410959 27.09589041] ; [11.09589041 15.90410959],0
b3,1,0.348114,0.880321,[17 29] ; [13 14],[18.90410959 27.09589041] ; [11.09589041 15.90410959],0
s1,1,0.381516,0.765812,[ 4 68] ; [ 4 36],[ 5.14285714 66.85714286] ; [ 2.85714286 37.14285714],0
a4,1,0.415255,0.663704,[29 43] ; [13 27],[27. 45.] ; [15. 25.],0
d3,1,0.423596,0.640317,[39 33] ; [19 22],[36.95575221 35.04424779] ; [21.04424779 19.95575221],0
p12,1,0.438582,0.59999,[ 4 68] ; [ 1 40],[ 3.18584071 68.81415929] ; [ 1.81415929 39.18584071],0
a6,1,0.439624,0.597263,[44 28] ; [22 19],[42.05309735 29.94690265] ; [23.94690265 17.05309735],0
s2,1,0.50462,0.445208,[10 61] ; [ 4 37],[ 8.875 62.125] ; [ 5.125 35.875],0
v3,1,0.507813,0.438571,[25 44] ; [12 28],[23.42201835 45.57798165] ; [13.57798165 26.42201835],0
