Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.028971,4.769338,[ 21 101] ; [2 1],[22.448 99.552] ; [0.552 2.448],0
v4,1,0.128942,2.305192,[112  10] ; [2 1],[111.264  10.736] ; [2.736 0.264],0
n1,1,0.243926,1.357759,[14 28] ; [2 1],[14.93333333 27.06666667] ; [1.06666667 1.93333333],0
s2,1,0.406222,0.68983,[70 52] ; [1 2],[69.296 52.704] ; [1.704 1.296],0
a4,1,0.45835,0.54992,[55 67] ; [2 1],[55.632 66.368] ; [1.368 1.632],0
s3,1,0.476164,0.507637,[66 56] ; [1 2],[65.392 56.608] ; [1.608 1.392],0
s7,1,0.518369,0.417137,[59 54] ; [1 2],[58.44827586 54.55172414] ; [1.55172414 1.44827586],0
v1,1,0.53088,0.392707,[59 63] ; [2 1],[59.536 62.464] ; [1.464 1.536],0
b1,1,0.549539,0.358143,[60 62] ; [2 1],[60.512 61.488] ; [1.488 1.512],0
v2,1,0.588284,0.293032,[60 58] ; [2 1],[60.46280992 57.53719008] ; [1.53719008 1.46280992],0
s8,1,0.665888,0.186449,[56 66] ; [1 2],[55.632 66.368] ; [1.368 1.632],0
a2,1,0.673839,0.177144,[28 94] ; [1 2],[28.304 93.696] ; [0.696 2.304],0
n6,1,0.686924,0.162436,[92 28] ; [2 1],[91.70731707 28.29268293] ; [2.29268293 0.70731707],0
n2,1,0.71077,0.13751,[32 10] ; [2 1],[31.73333333 10.26666667] ; [2.26666667 0.73333333],0
b4,1,0.72693,0.12195,[69 53] ; [2 1],[69.296 52.704] ; [1.704 1.296],0
a7,1,0.816193,0.054031,[88 33] ; [2 1],[87.82258065 33.17741935] ; [2.17741935 0.82258065],0
a6,1,0.833134,0.044388,[74 48] ; [2 1],[74.176 47.824] ; [1.824 1.176],0
n3,1,0.860449,0.030907,[30 12] ; [2 1],[29.86666667 12.13333333] ; [2.13333333 0.86666667],0
d3,1,0.901041,0.015462,[84 36] ; [2 1],[83.90243902 36.09756098] ; [2.09756098 0.90243902],0
b2,1,0.913145,0.011897,[17 39] ; [1 2],[17.08474576 38.91525424] ; [0.91525424 2.08474576],0
b3,1,0.913145,0.011897,[17 39] ; [1 2],[17.08474576 38.91525424] ; [0.91525424 2.08474576],0
v3,1,0.914132,0.011627,[44 77] ; [1 2],[43.91129032 77.08870968] ; [1.08870968 1.91129032],0
a3,1,0.918567,0.010453,[84 37] ; [2 1],[83.91935484 37.08064516] ; [2.08064516 0.91935484],0
s6,1,0.959027,0.002639,[81 38] ; [2 1],[80.95901639 38.04098361] ; [2.04098361 0.95901639],0
n5,1,0.960508,0.002452,[79 42] ; [2 1],[79.04032258 41.95967742] ; [1.95967742 1.04032258],0
a5,1,0.992103,9.8e-05,[81 41] ; [2 1],[81.008 40.992] ; [1.992 1.008],0
