Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,312.971823,[ 36 268] ; [314  82],[152. 152.] ; [198. 198.],1
s6,1,0.0,131.476115,[130 172] ; [329  60],[200.60492041 101.39507959] ; [258.39507959 130.60492041],1
s7,1,0.0,91.553995,[ 80 211] ; [250 137],[141.63716814 149.36283186] ; [188.36283186 198.63716814],1
s8,1,0.0,79.243844,[ 80 226] ; [236 158],[138.13714286 167.86285714] ; [177.86285714 216.13714286],1
s5,1,0.0,33.406658,[ 63 237] ; [159 220],[ 98.08541973 201.91458027] ; [123.91458027 255.08541973],1
s4,1,2.4e-05,17.840165,[ 27 275] ; [ 81 311],[ 46.99711816 255.00288184] ; [ 61.00288184 330.99711816],1
p12,1,0.000856,11.115809,[ 15 289] ; [ 48 344],[ 27.51724138 276.48275862] ; [ 35.48275862 356.51724138],1
r2,1,0.002786,8.942615,[277  26] ; [379  13],[285.9971223  17.0028777] ; [370.0028777  21.9971223],0
n5,1,0.005453,7.722676,[218  87] ; [317  77],[233.44062947  71.55937053] ; [301.55937053  92.44062947],0
p10,1,0.01043,6.559937,[251  53] ; [350  42],[262.50574713  41.49425287] ; [338.49425287  53.50574713],0
a3,1,0.011045,6.457994,[204 103] ; [297  98],[219.0982906  87.9017094] ; [281.9017094 113.0982906],0
p7,1,0.020395,5.377732,[188 116] ; [267 113],[202.22222222 101.77777778] ; [252.77777778 127.22222222],0
p3,1,0.020763,5.346551,[142 164] ; [217 176],[157.15879828 148.84120172] ; [201.84120172 191.15879828],0
v3,1,0.025852,4.965911,[105 195] ; [165 215],[119.11764706 180.88235294] ; [150.88235294 229.11764706],0
a2,1,0.02649,4.923758,[ 56 251] ; [100 296],[ 68.12517781 238.87482219] ; [ 87.87482219 308.12517781],0
n4,1,0.033964,4.496535,[231  76] ; [324  72],[242.36842105  64.63157895] ; [312.63157895  83.36842105],0
u4,1,0.042049,4.133246,[  3 304] ; [ 13 383],[  6.98719772 300.01280228] ; [  9.01280228 386.98719772],0
r1,1,0.054846,3.68675,[237  70] ; [327  67],[247.00142653  59.99857347] ; [316.99857347  77.00142653],0
d1,1,0.05629,3.643455,[168 139] ; [245 151],[180.35704125 126.64295875] ; [232.64295875 163.35704125],0
s1,1,0.061304,3.501757,[  4 301] ; [ 14 377],[  7.88793103 297.11206897] ; [ 10.11206897 380.88793103],0
d4,1,0.069568,3.29319,[245  62] ; [335  59],[254.0085592  52.9914408] ; [325.9914408  68.0085592],0
n1,1,0.080549,3.053796,[20 51] ; [28 38],[24.87591241 46.12408759] ; [23.12408759 42.87591241],0
p6,1,0.08162,3.032353,[102 199] ; [157 232],[112.98405797 188.01594203] ; [146.01594203 242.98405797],0
p2,1,0.132434,2.26374,[253  52] ; [342  51],[259.99283668  45.00716332] ; [335.00716332  57.99283668],0
u1,1,0.134541,2.239306,[ 45 262] ; [ 75 321],[ 52.40398293 254.59601707] ; [ 67.59601707 328.40398293],0
d2,1,0.136982,2.211538,[133 173] ; [194 201],[142.74179743 163.25820257] ; [184.25820257 210.74179743],0
p4,1,0.145238,2.12157,[177 129] ; [248 144],[186.31805158 119.68194842] ; [238.68194842 153.31805158],0
u3,1,0.161956,1.955864,[55 47] ; [63 36],[59.88059701 42.11940299] ; [58.11940299 40.88059701],0
b1,1,0.210284,1.56947,[100 207] ; [147 249],[107.86486486 199.13513514] ; [139.13513514 256.86486486],0
a4,1,0.211249,1.562844,[125 181] ; [180 215],[133.13837375 172.86162625] ; [171.86162625 223.13837375],0
d3,1,0.250506,1.320478,[202 105] ; [276 119],[209.03988604  97.96011396] ; [268.96011396 126.03988604],0
p9,1,0.317185,1.000521,[265  40] ; [352  42],[269.22031474  35.77968526] ; [347.77968526  46.22031474],0
v1,1,0.328639,0.954251,[160 142] ; [215 164],[166.29955947 135.70044053] ; [208.70044053 170.29955947],0
a6,1,0.331669,0.942371,[217  90] ; [265 129],[211.08987161  95.91012839] ; [270.91012839 123.08987161],0
u2,1,0.3346,0.931011,[56 46] ; [61 38],[59.37313433 42.62686567] ; [57.62686567 41.37313433],0
p5,1,0.342367,0.901548,[ 33 274] ; [ 51 338],[ 37.05172414 269.94827586] ; [ 46.94827586 342.05172414],0
d5,1,0.346398,0.886608,[243  64] ; [323  71],[247.87731812  59.12268188] ; [318.12268188  75.87731812],0
b5,1,0.347914,0.88105,[186 121] ; [226 170],[179.92034139 127.07965861] ; [232.07965861 163.92034139],0
b4,1,0.360693,0.835479,[174 133] ; [238 158],[179.92034139 127.07965861] ; [232.07965861 163.92034139],0
a1,1,0.386033,0.751402,[ 12 295] ; [ 21 375],[ 14.41109531 292.58890469] ; [ 18.58890469 377.41109531],0
n2,1,0.475634,0.508857,[52 18] ; [54 14],[53.76811594 16.23188406] ; [52.23188406 15.76811594],0
v4,1,0.50377,0.446985,[293  14] ; [379  14],[294.72  12.28] ; [377.28  15.72],0
r4,1,0.505519,0.443331,[282  25] ; [369  27],[284.2916074  22.7083926] ; [366.7083926  29.2916074],0
a7,1,0.511365,0.431273,[223  84] ; [278 117],[219.0982906  87.9017094] ; [281.9017094 113.0982906],0
a8,1,0.659289,0.194388,[ 38 237] ; [ 56 316],[ 39.95363215 235.04636785] ; [ 54.04636785 317.95363215],0
n6,1,0.766415,0.088249,[264  43] ; [341  52],[265.33571429  41.66428571] ; [339.66428571  53.33571429],0
n3,1,0.767961,0.08705,[54 16] ; [51 17],[53.26086957 16.73913043] ; [51.73913043 16.26086957],0
p8,1,0.822353,0.050409,[167 133] ; [221 170],[168.45151954 131.54848046] ; [219.54848046 171.45151954],0
v2,1,0.838653,0.04146,[171 126] ; [220 157],[172.29525223 124.70474777] ; [218.70474777 158.29525223],0
b2,1,0.854276,0.033733,[ 71 113] ; [101 155],[ 71.92727273 112.07272727] ; [100.07272727 155.92727273],0
b3,1,0.854276,0.033733,[ 71 113] ; [101 155],[ 71.92727273 112.07272727] ; [100.07272727 155.92727273],0
p1,1,0.866236,0.028372,[ 26 280] ; [ 32 361],[ 25.39055794 280.60944206] ; [ 32.60944206 360.39055794],0
a5,1,0.986351,0.000293,[225  82] ; [290 106],[224.90042674  82.09957326] ; [290.09957326 105.90042674],0
