Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.310983,[35 49] ; [ 7 68],[22.18867925 61.81132075] ; [19.81132075 55.18867925],1
v1,1,6.1e-05,16.069716,[50 37] ; [20 56],[37.36196319 49.63803681] ; [32.63803681 43.36196319],1
r1,1,0.005475,7.715454,[70 18] ; [46 31],[61.86666667 26.13333333] ; [54.13333333 22.86666667],0
a5,1,0.007854,7.066517,[63 26] ; [39 38],[54.68674699 34.31325301] ; [47.31325301 29.68674699],0
a2,1,0.045486,4.000528,[18 71] ; [ 7 70],[13.40361446 75.59638554] ; [11.59638554 65.40361446],0
r3,1,0.052219,3.768753,[84  4] ; [67 10],[80.53333333  7.46666667] ; [70.46666667  6.53333333],0
a3,1,0.065528,3.391628,[62 27] ; [43 34],[56.29518072 32.70481928] ; [48.70481928 28.29518072],0
p5,1,0.082159,3.02166,[ 6 82] ; [ 1 75],[ 3.75609756 84.24390244] ; [ 3.24390244 72.75609756],0
s6,1,0.091822,2.842129,[56 31] ; [39 37],[50.70552147 36.29447853] ; [44.29447853 31.70552147],0
u1,1,0.093627,2.810883,[13 76] ; [ 5 72],[ 9.65060241 79.34939759] ; [ 8.34939759 68.65060241],0
p9,1,0.098688,2.726623,[67 19] ; [49 25],[62.35 23.65] ; [53.65 20.35],0
s4,1,0.105774,2.616248,[18 71] ; [24 53],[22.51807229 66.48192771] ; [19.48192771 57.51807229],0
p7,1,0.150137,2.070861,[47 39] ; [32 42],[42.4625 43.5375] ; [36.5375 37.4625],0
p4,1,0.154912,2.023208,[44 44] ; [30 47],[39.46666667 48.53333333] ; [34.53333333 42.46666667],0
r2,1,0.167178,1.90807,[83  5] ; [68  9],[80.53333333  7.46666667] ; [70.46666667  6.53333333],0
d4,1,0.204431,1.610429,[79 10] ; [63 14],[76.13253012 12.86746988] ; [65.86746988 11.13253012],0
p10,1,0.205485,1.602957,[63 23] ; [48 27],[59.29192547 26.70807453] ; [51.70807453 23.29192547],0
b4,1,0.213479,1.547673,[57 32] ; [42 35],[53.07831325 35.92168675] ; [45.92168675 31.07831325],0
d1,1,0.219661,1.506587,[58 31] ; [43 34],[54.15060241 34.84939759] ; [46.84939759 30.15060241],0
p11,1,0.225737,1.467522,[59 30] ; [44 33],[55.22289157 33.77710843] ; [47.77710843 29.22289157],0
b1,1,0.237534,1.395167,[28 61] ; [31 46],[31.63253012 57.36746988] ; [27.36746988 49.63253012],0
a6,1,0.243232,1.361761,[62 27] ; [47 30],[58.43975904 30.56024096] ; [50.56024096 26.43975904],0
