Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2e-06,22.170836,[103  12] ; [17 15],[93.87755102 21.12244898] ; [26.12244898  5.87755102],1
a4,1,1.5e-05,18.724524,[60 55] ; [ 3 29],[49.28571429 65.71428571] ; [13.71428571 18.28571429],1
d3,1,0.000189,13.938786,[78 37] ; [10 22],[68.84353741 46.15646259] ; [19.15646259 12.84353741],1
d2,1,0.000303,13.050071,[63 52] ; [ 6 26],[53.97959184 61.02040816] ; [15.02040816 16.97959184],1
a3,1,0.0024,9.21499,[96 18] ; [19 13],[89.79452055 24.20547945] ; [25.20547945  6.79452055],0
u1,1,0.007622,7.12019,[28 87] ; [ 1 31],[22.68707483 92.31292517] ; [ 6.31292517 25.68707483],0
r3,1,0.012375,6.25635,[109   4] ; [27  5],[105.9862069   7.0137931] ; [30.0137931  1.9862069],0
r2,1,0.023633,5.121352,[108   3] ; [28  4],[105.56643357   5.43356643] ; [30.43356643  1.56643357],0
p1,1,0.025648,4.979586,[  7 108] ; [ 6 26],[ 10.17006803 104.82993197] ; [ 2.82993197 29.17006803],0
v2,1,0.064115,3.427612,[70 40] ; [14 17],[65.53191489 44.46808511] ; [18.46808511 12.53191489],0
s8,1,0.082515,3.014661,[80 35] ; [17 15],[75.88435374 39.11564626] ; [21.11564626 10.88435374],0
s2,1,0.085746,2.95247,[83 32] ; [18 14],[79.01360544 35.98639456] ; [21.98639456 10.01360544],0
s1,1,0.09172,2.843927,[  5 109] ; [ 4 28],[  7.02739726 106.97260274] ; [ 1.97260274 30.02739726],0
p8,1,0.092092,2.837427,[37 73] ; [16 16],[41.05633803 68.94366197] ; [11.94366197 20.05633803],0
b4,1,0.092474,2.830765,[66 49] ; [13 19],[61.80272109 53.19727891] ; [17.19727891 14.80272109],0
b5,1,0.109224,2.565406,[72 43] ; [15 17],[68.06122449 46.93877551] ; [18.93877551 13.06122449],0
a5,1,0.13924,2.186334,[87 28] ; [20 12],[83.70748299 31.29251701] ; [23.29251701  8.70748299],0
p6,1,0.142466,2.151122,[25 86] ; [11 20],[28.14084507 82.85915493] ; [ 7.85915493 23.14084507],0
u3,1,0.184866,1.758063,[12  7] ; [11  2],[13.65625  5.34375] ; [9.34375 3.65625],0
a7,1,0.18871,1.727662,[79 36] ; [18 14],[75.88435374 39.11564626] ; [21.11564626 10.88435374],0
a6,1,0.189758,1.719493,[75 39] ; [17 15],[71.83561644 42.16438356] ; [20.16438356 11.83561644],0
b1,1,0.232071,1.428126,[44 71] ; [16 16],[46.93877551 68.06122449] ; [13.06122449 18.93877551],0
r4,1,0.272839,1.202417,[99 16] ; [25  7],[97.00680272 17.99319728] ; [26.99319728  5.00680272],0
v4,1,0.325879,0.965203,[105   8] ; [28  4],[103.64827586   9.35172414] ; [29.35172414  2.64827586],0
a8,1,0.338352,0.916667,[20 80] ; [ 4 28],[18.18181818 81.81818182] ; [ 5.81818182 26.18181818],0
b2,1,0.359901,0.838239,[33 47] ; [11 10],[34.85148515 45.14851485] ; [ 9.14851485 11.85148515],0
b3,1,0.359901,0.838239,[33 47] ; [11 10],[34.85148515 45.14851485] ; [ 9.14851485 11.85148515],0
p7,1,0.37472,0.787952,[58 49] ; [14 17],[55.82608696 51.17391304] ; [16.17391304 14.82608696],0
s3,1,0.387564,0.746572,[86 28] ; [21 10],[84.12413793 29.87586207] ; [22.87586207  8.12413793],0
