Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.3e-05,15.491667,[14 35] ; [21  7],[22.27272727 26.72727273] ; [12.72727273 15.27272727],1
p4,1,0.000631,11.681766,[14 36] ; [19  9],[21.15384615 28.84615385] ; [11.84615385 16.15384615],1
s2,1,0.003086,8.755905,[14 38] ; [17 11],[20.15 31.85] ; [10.85 17.15],0
s5,1,0.00433,8.140094,[ 8 41] ; [13 15],[13.36363636 35.63636364] ; [ 7.63636364 20.36363636],0
r4,1,0.005148,7.826649,[24 28] ; [22  6],[29.9 22.1] ; [16.1 11.9],0
p7,1,0.008069,7.018151,[17 34] ; [18 10],[22.59493671 28.40506329] ; [12.40506329 15.59493671],0
d4,1,0.009041,6.814659,[29 22] ; [24  4],[34.21518987 16.78481013] ; [18.78481013  9.21518987],0
p1,1,0.009856,6.660727,[ 1 51] ; [ 5 23],[ 3.9 48.1] ; [ 2.1 25.9],0
n1,1,0.013094,6.156304,[ 9 20] ; [7 2],[12.21052632 16.78947368] ; [3.78947368 5.21052632],0
b4,1,0.013113,6.153846,[24 28] ; [21  7],[29.25 22.75] ; [15.75 12.25],0
d1,1,0.013216,6.139956,[15 37] ; [16 12],[20.15 31.85] ; [10.85 17.15],0
s3,1,0.016225,5.778367,[18 32] ; [18 10],[23.07692308 26.92307692] ; [12.92307692 15.07692308],0
d5,1,0.020155,5.398387,[25 27] ; [21  7],[29.9 22.1] ; [16.1 11.9],0
n5,1,0.020337,5.382762,[37 15] ; [12 15],[32.25316456 19.74683544] ; [16.74683544 10.25316456],0
d2,1,0.021274,5.304232,[19 32] ; [18 10],[23.88607595 27.11392405] ; [13.11392405 14.88607595],0
s4,1,0.024317,5.071851,[ 6 46] ; [ 9 19],[ 9.75 42.25] ; [ 5.25 22.75],0
v3,1,0.034108,4.489258,[11 38] ; [12 14],[15.02666667 33.97333333] ; [ 7.97333333 18.02666667],0
r3,1,0.04018,4.210263,[31 21] ; [23  5],[35.1 16.9] ; [18.9  9.1],0
a5,1,0.041355,4.161392,[21 31] ; [18 10],[25.35 26.65] ; [13.65 14.35],0
s7,1,0.062273,3.475782,[13 34] ; [12 12],[16.54929577 30.45070423] ; [ 8.45070423 15.54929577],0
d3,1,0.069033,3.305861,[17 35] ; [15 13],[20.8 31.2] ; [11.2 16.8],0
p8,1,0.073973,3.19259,[12 39] ; [12 16],[15.49367089 35.50632911] ; [ 8.50632911 19.49367089],0
n3,1,0.082789,3.009288,[12 15] ; [7 2],[14.25 12.75] ; [4.75 4.25],0
p6,1,0.097612,2.74413,[ 8 42] ; [ 9 19],[10.8974359 39.1025641] ; [ 6.1025641 21.8974359],0
p5,1,0.226104,1.465201,[ 2 50] ; [ 3 25],[ 3.25 48.75] ; [ 1.75 26.25],0
b1,1,0.226104,1.465201,[30 22] ; [20  8],[32.5 19.5] ; [17.5 10.5],0
