Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.099604,[65 37] ; [ 8 31],[52.80851064 49.19148936] ; [20.19148936 18.80851064],1
v4,1,2.1e-05,18.078369,[88 13] ; [21 18],[78.63571429 22.36428571] ; [30.36428571  8.63571429],1
d5,1,0.001369,10.247208,[71 30] ; [16 23],[62.76428571 38.23571429] ; [24.23571429 14.76428571],0
u3,1,0.006696,7.352811,[21 26] ; [ 3 21],[15.88732394 31.11267606] ; [ 8.11267606 15.88732394],0
p10,1,0.013579,6.092117,[67 32] ; [17 21],[60.70072993 38.29927007] ; [23.29927007 14.70072993],0
v3,1,0.023866,5.104367,[28 71] ; [ 4 35],[22.95652174 76.04347826] ; [ 9.04347826 29.95652174],0
p12,1,0.030196,4.698089,[ 2 99] ; [ 4 35],[ 4.32857143 96.67142857] ; [ 1.67142857 37.32857143],0
a8,1,0.032226,4.586454,[ 5 92] ; [ 6 30],[ 8.02255639 88.97744361] ; [ 2.97744361 33.02255639],0
d1,1,0.071829,3.240712,[40 62] ; [ 9 30],[35.44680851 66.55319149] ; [13.55319149 25.44680851],0
a3,1,0.089747,2.878903,[55 46] ; [15 24],[50.5 50.5] ; [19.5 19.5],0
s1,1,0.102536,2.665651,[ 2 99] ; [ 3 36],[ 3.60714286 97.39285714] ; [ 1.39285714 37.60714286],0
a6,1,0.11428,2.494006,[57 45] ; [16 23],[52.80851064 49.19148936] ; [20.19148936 18.80851064],0
p9,1,0.121821,2.393756,[74 26] ; [23 15],[70.28985507 29.71014493] ; [26.71014493 11.28985507],0
a7,1,0.127622,2.321191,[61 40] ; [18 21],[56.99285714 44.00714286] ; [22.00714286 16.99285714],0
r3,1,0.173044,1.856375,[81 21] ; [26 12],[77.95714286 24.04285714] ; [29.04285714  8.95714286],0
d3,1,0.226443,1.463063,[55 45] ; [17 22],[51.79856115 48.20143885] ; [20.20143885 18.79856115],0
n6,1,0.233127,1.421681,[75 26] ; [25 14],[72.14285714 28.85714286] ; [27.85714286 11.14285714],0
p2,1,0.259046,1.273846,[66 33] ; [22 17],[63.13043478 35.86956522] ; [24.86956522 14.13043478],0
a4,1,0.266666,1.233816,[33 68] ; [ 9 30],[30.3 70.7] ; [11.7 27.3],0
a5,1,0.306875,1.04408,[49 53] ; [15 24],[46.29787234 55.70212766] ; [17.70212766 21.29787234],0
d4,1,0.307164,1.04283,[67 35] ; [22 17],[64.38297872 37.61702128] ; [24.61702128 14.38297872],0
p4,1,0.347072,0.884132,[35 65] ; [17 22],[37.41007194 62.58992806] ; [14.58992806 24.41007194],0
p5,1,0.351052,0.869652,[ 6 95] ; [ 4 34],[ 7.26618705 93.73381295] ; [ 2.73381295 35.26618705],0
s3,1,0.374965,0.787145,[37 63] ; [11 27],[34.7826087 65.2173913] ; [13.2173913 24.7826087],0
b3,1,0.375962,0.783863,[17 33] ; [ 6 19],[15.33333333 34.66666667] ; [ 7.66666667 17.33333333],0
b2,1,0.375962,0.783863,[17 33] ; [ 6 19],[15.33333333 34.66666667] ; [ 7.66666667 17.33333333],0
b1,1,0.384883,0.755046,[44 58] ; [20 19],[46.29787234 55.70212766] ; [17.70212766 21.29787234],0
b4,1,0.418794,0.653698,[60 42] ; [20 19],[57.87234043 44.12765957] ; [22.12765957 16.87234043],0
s4,1,0.428239,0.627595,[13 89] ; [ 7 32],[14.46808511 87.53191489] ; [ 5.53191489 33.46808511],0
p6,1,0.440782,0.594245,[22 77] ; [ 6 31],[20.38235294 78.61764706] ; [ 7.61764706 29.38235294],0
