Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.9e-05,18.272691,[19  7] ; [ 9 34],[10.55072464 15.44927536] ; [17.44927536 25.55072464],1
p8,1,0.001259,10.402306,[12 14] ; [ 5 38],[ 6.4057971 19.5942029] ; [10.5942029 32.4057971],0
p2,1,0.001298,10.34594,[21  4] ; [19 24],[14.70588235 10.29411765] ; [25.29411765 17.70588235],0
u2,1,0.002891,8.875036,[8 4] ; [ 3 17],[4.125 7.875] ; [ 6.875 13.125],0
p10,1,0.003951,8.306268,[18  8] ; [14 28],[12.23529412 13.76470588] ; [19.76470588 22.23529412],0
p3,1,0.007101,7.247306,[12 14] ; [ 7 36],[ 7.15942029 18.84057971] ; [11.84057971 31.15942029],0
p6,1,0.008039,7.024865,[ 9 16] ; [ 4 38],[ 4.85074627 20.14925373] ; [ 8.14925373 33.85074627],0
s2,1,0.014147,6.019673,[14 13] ; [10 33],[ 9.25714286 17.74285714] ; [14.74285714 28.25714286],0
d1,1,0.016844,5.712514,[ 3 24] ; [16 27],[ 7.32857143 19.67142857] ; [11.67142857 31.32857143],0
p11,1,0.02002,5.410111,[19  8] ; [18 25],[14.27142857 12.72857143] ; [22.72857143 20.27142857],0
s3,1,0.037141,4.34392,[14 12] ; [12 30],[ 9.94117647 16.05882353] ; [16.05882353 25.94117647],0
b3,1,0.043596,4.07213,[ 4 16] ; [14 15],[ 7.34693878 12.65306122] ; [10.65306122 18.34693878],0
b2,1,0.043596,4.07213,[ 4 16] ; [14 15],[ 7.34693878 12.65306122] ; [10.65306122 18.34693878],0
v1,1,0.045872,3.986291,[13 13] ; [11 31],[ 9.17647059 16.82352941] ; [14.82352941 27.17647059],0
s6,1,0.052844,3.748861,[13 14] ; [11 32],[ 9.25714286 17.74285714] ; [14.74285714 28.25714286],0
s8,1,0.054419,3.699789,[ 9 18] ; [ 6 37],[ 5.78571429 21.21428571] ; [ 9.21428571 33.78571429],0
u3,1,0.09169,2.844444,[5 7] ; [ 3 17],[3. 9.] ; [ 5. 15.],0
p9,1,0.12174,2.394797,[18  9] ; [19 21],[14.91044776 12.08955224] ; [22.08955224 17.91044776],0
p5,1,0.123206,2.376086,[ 3 24] ; [ 1 42],[ 1.54285714 25.45714286] ; [ 2.45714286 40.54285714],0
n6,1,0.1263,2.337398,[13 14] ; [28 14],[16.04347826 10.95652174] ; [24.95652174 17.04347826],0
a6,1,0.131038,2.280166,[13 14] ; [13 30],[10.02857143 16.97142857] ; [15.97142857 27.02857143],0
n2,1,0.169017,1.891636,[8 3] ; [12 13],[6.11111111 4.88888889] ; [13.88888889 11.11111111],0
n5,1,0.214098,1.543497,[17 10] ; [33 10],[19.28571429  7.71428571] ; [30.71428571 12.28571429],0
r3,1,0.219548,1.507321,[16 11] ; [19 24],[13.5 13.5] ; [21.5 21.5],0
b5,1,0.219548,1.507321,[16 11] ; [19 24],[13.5 13.5] ; [21.5 21.5],0
s5,1,0.235805,1.405502,[ 6 21] ; [ 5 38],[ 4.24285714 22.75714286] ; [ 6.75714286 36.24285714],0
d2,1,0.240681,1.376601,[ 9 18] ; [20 22],[11.34782609 15.65217391] ; [17.65217391 24.34782609],0
p1,1,0.248991,1.328955,[ 1 26] ; [ 5 38],[ 2.31428571 24.68571429] ; [ 3.68571429 39.31428571],0
a1,1,0.248991,1.328955,[ 1 26] ; [ 5 38],[ 2.31428571 24.68571429] ; [ 3.68571429 39.31428571],0
v2,1,0.290923,1.115347,[10 17] ; [10 30],[ 8.05970149 18.94029851] ; [11.94029851 28.05970149],0
a2,1,0.306852,1.044176,[ 2 25] ; [ 1 42],[ 1.15714286 25.84285714] ; [ 1.84285714 41.15714286],0
n4,1,0.367276,0.812861,[16 11] ; [30 13],[17.74285714  9.25714286] ; [28.25714286 14.74285714],0
v3,1,0.371584,0.798361,[ 6 21] ; [ 6 37],[ 4.62857143 22.37142857] ; [ 7.37142857 35.62857143],0
s4,1,0.371584,0.798361,[ 6 21] ; [ 6 37],[ 4.62857143 22.37142857] ; [ 7.37142857 35.62857143],0
s1,1,0.375979,0.783807,[ 1 26] ; [ 4 39],[ 1.92857143 25.07142857] ; [ 3.07142857 39.92857143],0
v4,1,0.401115,0.704982,[16 10] ; [22 21],[14.31884058 11.68115942] ; [23.68115942 19.31884058],0
s7,1,0.417713,0.65674,[10 14] ; [13 28],[ 8.49230769 15.50769231] ; [14.50769231 26.49230769],0
r1,1,0.493345,0.469224,[ 5 22] ; [11 32],[ 6.17142857 20.82857143] ; [ 9.82857143 33.17142857],0
r2,1,0.565481,0.330303,[13 13] ; [24 18],[14.14705882 11.85294118] ; [22.85294118 19.14705882],0
n1,1,0.591943,0.28732,[5 6] ; [ 9 16],[4.27777778 6.72222222] ; [ 9.72222222 15.27777778],0
b1,1,0.601183,0.273215,[18  9] ; [26 17],[16.97142857 10.02857143] ; [27.02857143 15.97142857],0
d4,1,0.606192,0.265757,[14 13] ; [25 18],[15.04285714 11.95714286] ; [23.95714286 19.04285714],0
n3,1,0.632124,0.229191,[6 5] ; [11 13],[5.34285714 5.65714286] ; [11.65714286 12.34285714],0
d5,1,0.663457,0.189351,[14 13] ; [20 23],[13.11428571 13.88571429] ; [20.88571429 22.11428571],0
p12,1,0.715232,0.133107,[ 1 25] ; [ 1 42],[ 0.75362319 25.24637681] ; [ 1.24637681 41.75362319],0
a8,1,0.728203,0.120768,[ 1 25] ; [ 1 41],[ 0.76470588 25.23529412] ; [ 1.23529412 40.76470588],0
a3,1,0.733709,0.115733,[15 11] ; [23 20],[14.31884058 11.68115942] ; [23.68115942 19.31884058],0
a4,1,0.747312,0.103804,[ 8 19] ; [14 28],[ 8.60869565 18.39130435] ; [13.39130435 28.60869565],0
d3,1,0.797249,0.066002,[ 8 19] ; [14 29],[ 8.48571429 18.51428571] ; [13.51428571 29.48571429],0
a5,1,0.8658,0.02856,[12 15] ; [20 23],[12.34285714 14.65714286] ; [19.65714286 23.34285714],0
b4,1,0.893786,0.017826,[14 13] ; [23 20],[14.27142857 12.72857143] ; [22.72857143 20.27142857],0
