Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.544671,[50 18] ; [ 9 23],[40.12 27.88] ; [18.88 13.12],1
s7,1,0.001358,10.261497,[42 26] ; [ 8 22],[34.69387755 33.30612245] ; [15.30612245 14.69387755],0
r1,1,0.002974,8.823529,[57 11] ; [18 14],[51. 17.] ; [24.  8.],0
r3,1,0.006563,7.388907,[66  2] ; [26  6],[62.56  5.44] ; [29.44  2.56],0
p2,1,0.009901,6.652602,[48 20] ; [14 18],[42.16 25.84] ; [19.84 12.16],0
r4,1,0.01369,6.077665,[59  9] ; [21 11],[54.4 13.6] ; [25.6  6.4],0
p9,1,0.018637,5.535302,[33 33] ; [ 8 24],[27.6122449 38.3877551] ; [13.3877551 18.6122449],0
n5,1,0.025171,5.012081,[47 20] ; [15 17],[41.95959596 25.04040404] ; [20.04040404 11.95959596],0
p8,1,0.031631,4.618379,[30 38] ; [ 7 25],[25.16 42.84] ; [11.84 20.16],0
n4,1,0.069573,3.293056,[48 19] ; [17 15],[43.98989899 23.01010101] ; [21.01010101 10.98989899],0
v4,1,0.089292,2.8871,[63  5] ; [26  6],[60.52  7.48] ; [28.48  3.52],0
a8,1,0.109373,2.563255,[13 50] ; [ 2 26],[10.38461538 52.61538462] ; [ 4.61538462 23.38461538],0
p7,1,0.126001,2.341091,[34 33] ; [11 21],[30.45454545 36.54545455] ; [14.54545455 17.45454545],0
b4,1,0.160589,1.96867,[46 22] ; [17 15],[42.84 25.16] ; [20.16 11.84],0
s8,1,0.162826,1.94778,[29 39] ; [ 9 23],[25.84 42.16] ; [12.16 19.84],0
n2,1,0.174196,1.846454,[14  9] ; [10  2],[15.77142857  7.22857143] ; [8.22857143 3.77142857],0
d5,1,0.17481,1.841199,[56 11] ; [23  9],[53.46464646 13.53535354] ; [25.53535354  6.46464646],0
s5,1,0.189953,1.717981,[24 43] ; [ 7 24],[21.19387755 45.80612245] ; [ 9.80612245 21.19387755],0
r2,1,0.19836,1.654412,[63  5] ; [27  5],[61.2  6.8] ; [28.8  3.2],0
p6,1,0.202391,1.625034,[21 47] ; [ 6 26],[18.36 49.64] ; [ 8.64 23.36],0
p3,1,0.220483,1.501225,[30 38] ; [10 22],[27.2 40.8] ; [12.8 19.2],0
s4,1,0.243499,1.360223,[18 49] ; [ 5 26],[15.7244898 51.2755102] ; [ 7.2755102 23.7244898],0
v3,1,0.258196,1.278402,[24 40] ; [ 8 23],[21.55789474 42.44210526] ; [10.44210526 20.55789474],0
u3,1,0.34514,0.891247,[18 10] ; [11  3],[19.33333333  8.66666667] ; [9.66666667 4.33333333],0
b1,1,0.38091,0.767764,[34 34] ; [19 13],[36.04 31.96] ; [16.96 15.04],0
p4,1,0.399866,0.708728,[38 30] ; [15 17],[36.04 31.96] ; [16.96 15.04],0
a2,1,0.403481,0.697927,[14 54] ; [ 9 23],[15.64 52.36] ; [ 7.36 24.64],0
p11,1,0.471255,0.519031,[35 33] ; [14 18],[33.32 34.68] ; [15.68 16.32],0
a1,1,0.523117,0.407744,[ 4 64] ; [ 3 29],[ 4.76 63.24] ; [ 2.24 29.76],0
b3,1,0.545004,0.366345,[14 28] ; [ 6 17],[12.92307692 29.07692308] ; [ 7.07692308 15.92307692],0
b2,1,0.545004,0.366345,[14 28] ; [ 6 17],[12.92307692 29.07692308] ; [ 7.07692308 15.92307692],0
d3,1,0.555033,0.348377,[42 25] ; [22 10],[43.31313131 23.68686869] ; [20.68686869 11.31313131],0
u4,1,0.555079,0.348297,[ 4 64] ; [ 1 31],[ 3.4 64.6] ; [ 1.6 30.4],0
v2,1,0.561394,0.337297,[33 33] ; [14 18],[31.65306122 34.34693878] ; [15.34693878 16.65306122],0
a4,1,0.701303,0.14712,[27 41] ; [14 18],[27.88 40.12] ; [13.12 18.88],0
d2,1,0.7186,0.129838,[33 34] ; [17 15],[33.83838384 33.16161616] ; [16.16161616 15.83838384],0
u2,1,0.73568,0.11396,[13 14] ; [7 6],[13.5 13.5] ; [6.5 6.5],0
n6,1,0.76746,0.087438,[48 19] ; [22 10],[47.37373737 19.62626263] ; [22.62626263  9.37373737],0
d4,1,0.773524,0.082811,[56 11] ; [26  6],[55.49494949 11.50505051] ; [26.50505051  5.49494949],0
b5,1,0.778956,0.078782,[47 21] ; [23  9],[47.6 20.4] ; [22.4  9.6],0
a3,1,0.807826,0.059162,[40 28] ; [18 14],[39.44 28.56] ; [18.56 13.44],0
u1,1,0.830256,0.045956,[14 54] ; [ 6 26],[13.6 54.4] ; [ 6.4 25.6],0
s1,1,0.840193,0.040661,[ 5 63] ; [ 2 30],[ 4.76 63.24] ; [ 2.24 29.76],0
a6,1,0.844483,0.038479,[37 30] ; [17 15],[36.54545455 30.45454545] ; [17.45454545 14.54545455],0
n1,1,0.902785,0.014919,[11 12] ; [6 6],[11.17142857 11.82857143] ; [5.82857143 6.17142857],0
v1,1,0.923442,0.009235,[30 37] ; [14 18],[29.77777778 37.22222222] ; [14.22222222 17.77777778],0
n3,1,0.931673,0.007351,[15  8] ; [8 4],[15.11428571  7.88571429] ; [7.88571429 4.11428571],0
a5,1,0.943364,0.005047,[43 25] ; [20 12],[42.84 25.16] ; [20.16 11.84],0
a7,1,0.956692,0.002949,[45 23] ; [21 11],[44.88 23.12] ; [21.12 10.88],0
d1,1,0.986292,0.000295,[36 32] ; [17 15],[36.04 31.96] ; [16.96 15.04],0
