Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000932,10.957792,[14 10] ; [74 10],[19.55555556  4.44444444] ; [68.44444444 15.55555556],1
r2,1,0.00245,9.177629,[16  7] ; [78  6],[20.20560748  2.79439252] ; [73.79439252 10.20560748],0
n4,1,0.003205,8.686789,[11 13] ; [64 19],[16.82242991  7.17757009] ; [58.17757009 24.82242991],0
b1,1,0.011668,6.360577,[17  7] ; [35 49],[11.55555556 12.44444444] ; [40.44444444 43.55555556],0
p3,1,0.030496,4.681115,[ 8 16] ; [49 35],[12.66666667 11.33333333] ; [44.33333333 39.66666667],0
p9,1,0.035342,4.428591,[14 10] ; [66 17],[17.94392523  6.05607477] ; [62.05607477 20.94392523],0
s7,1,0.058435,3.581267,[ 6 16] ; [39 39],[ 9.9 12.1] ; [35.1 42.9],0
s4,1,0.092396,2.832123,[ 2 22] ; [20 63],[ 4.93457944 19.06542056] ; [17.06542056 65.93457944],0
s3,1,0.09847,2.730148,[ 9 15] ; [47 36],[12.56074766 11.43925234] ; [43.43925234 39.56074766],0
b2,1,0.117464,2.45081,[ 1 13] ; [15 41],[ 3.2 10.8] ; [12.8 43.2],0
b3,1,0.117464,2.45081,[ 1 13] ; [15 41],[ 3.2 10.8] ; [12.8 43.2],0
d3,1,0.130833,2.282587,[ 4 19] ; [28 55],[ 6.94339623 16.05660377] ; [25.05660377 57.94339623],0
u2,1,0.131911,2.269868,[9 4] ; [20 24],[6.61403509 6.38596491] ; [22.38596491 21.61403509],0
p10,1,0.161383,1.96122,[15  9] ; [63 19],[17.66037736  6.33962264] ; [60.33962264 21.66037736],0
s5,1,0.181591,1.784555,[ 4 20] ; [25 57],[ 6.56603774 17.43396226] ; [22.43396226 59.56603774],0
s1,1,0.187458,1.737486,[ 2 22] ; [ 2 79],[ 0.91428571 23.08571429] ; [ 3.08571429 77.91428571],0
p5,1,0.19616,1.670736,[ 1 22] ; [12 72],[ 2.79439252 20.20560748] ; [10.20560748 73.79439252],0
v3,1,0.202818,1.621962,[ 5 19] ; [29 55],[ 7.55555556 16.44444444] ; [26.44444444 57.55555556],0
s8,1,0.211195,1.563216,[ 7 17] ; [36 47],[ 9.64485981 14.35514019] ; [33.35514019 49.64485981],0
p2,1,0.214193,1.542857,[18  6] ; [72 12],[20.  4.] ; [70. 14.],0
r3,1,0.233888,1.417057,[20  4] ; [77  7],[21.55555556  2.44444444] ; [75.44444444  8.55555556],0
n2,1,0.242908,1.363636,[6 4] ; [16  4],[7.33333333 2.66666667] ; [14.66666667  5.33333333],0
v4,1,0.251946,1.31248,[20  3] ; [79  5],[21.28037383  1.71962617] ; [77.71962617  6.28037383],0
s2,1,0.267938,1.227273,[ 7 17] ; [35 49],[ 9.33333333 14.66666667] ; [32.66666667 51.33333333],0
p1,1,0.310823,1.027174,[ 2 22] ; [14 70],[ 3.55555556 20.44444444] ; [12.44444444 71.55555556],0
a7,1,0.331303,0.943798,[13 11] ; [54 29],[15.02803738  8.97196262] ; [51.97196262 31.02803738],0
p8,1,0.35889,0.841773,[16  7] ; [49 34],[14.10377358  8.89622642] ; [50.89622642 32.10377358],0
r1,1,0.42951,0.624147,[14 10] ; [55 27],[15.62264151  8.37735849] ; [53.37735849 28.62264151],0
a6,1,0.500097,0.454731,[15  9] ; [46 38],[13.55555556 10.44444444] ; [47.44444444 36.55555556],0
p6,1,0.500097,0.454731,[ 9 15] ; [38 46],[10.44444444 13.55555556] ; [36.55555556 47.44444444],0
s6,1,0.516444,0.42099,[12 12] ; [46 34],[13.38461538 10.61538462] ; [44.61538462 35.38461538],0
n5,1,0.516892,0.42009,[16  7] ; [64 20],[17.19626168  5.80373832] ; [62.80373832 21.19626168],0
a4,1,0.5928,0.285993,[ 8 16] ; [23 60],[ 6.95327103 17.04672897] ; [24.04672897 58.95327103],0
d2,1,0.59298,0.285714,[ 7 17] ; [20 64],[ 6. 18.] ; [21. 63.],0
b4,1,0.606021,0.26601,[10 14] ; [40 44],[11.11111111 12.88888889] ; [38.88888889 45.11111111],0
d5,1,0.606178,0.265778,[13 11] ; [40 43],[11.88785047 12.11214953] ; [41.11214953 41.88785047],0
u3,1,0.655286,0.199301,[5 8] ; [20 24],[5.70175439 7.29824561] ; [19.29824561 24.70175439],0
n3,1,0.704111,0.144231,[9 1] ; [17  3],[8.66666667 1.33333333] ; [17.33333333  2.66666667],0
a8,1,0.726672,0.12219,[ 2 21] ; [ 9 71],[ 2.45631068 20.54368932] ; [ 8.54368932 71.45631068],0
v2,1,0.760172,0.093181,[11 11] ; [38 44],[10.36538462 11.63461538] ; [38.63461538 43.36538462],0
v1,1,0.760255,0.093114,[ 9 14] ; [35 47],[ 9.63809524 13.36190476] ; [34.36190476 47.63809524],0
a2,1,0.859159,0.031487,[ 2 22] ; [ 8 76],[ 2.22222222 21.77777778] ; [ 7.77777778 76.22222222],0
a3,1,0.877182,0.023883,[11 13] ; [40 44],[11.33333333 12.66666667] ; [39.66666667 44.33333333],0
p11,1,0.906568,0.013776,[18  6] ; [62 22],[17.77777778  6.22222222] ; [62.22222222 21.77777778],0
p4,1,0.957737,0.002808,[15  9] ; [52 32],[14.88888889  9.11111111] ; [52.11111111 31.88888889],0
b5,1,0.958803,0.002668,[13 11] ; [46 38],[13.11111111 10.88888889] ; [45.88888889 38.11111111],0
a5,1,0.958866,0.00266,[13 11] ; [45 39],[12.88888889 11.11111111] ; [45.11111111 38.88888889],0
n1,1,0.977797,0.000775,[4 5] ; [ 9 11],[4.03448276 4.96551724] ; [ 8.96551724 11.03448276],0
