Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,40.96906,[121 120] ; [91 14],[147.66473988  93.33526012] ; [64.33526012 40.66473988],1
s7,1,4e-06,21.043858,[ 87 150] ; [65 37],[106.26548673 130.73451327] ; [45.73451327 56.26548673],1
s2,1,0.000103,15.073798,[ 92 151] ; [65 43],[108.69230769 134.30769231] ; [48.30769231 59.69230769],1
p5,1,0.000114,14.881325,[ 11 233] ; [18 89],[ 20.15954416 223.84045584] ; [ 8.84045584 98.15954416],1
s4,1,0.001689,9.860428,[ 34 207] ; [30 76],[ 44.44956772 196.55043228] ; [19.55043228 86.44956772],0
r4,1,0.005755,7.625428,[201  43] ; [101   7],[209.34090909  34.65909091] ; [92.65909091 15.34090909],0
p3,1,0.005977,7.557166,[ 88 155] ; [56 52],[ 99.69230769 143.30769231] ; [44.30769231 63.69230769],0
p6,1,0.012944,6.176749,[ 62 179] ; [42 66],[ 71.81661891 169.18338109] ; [32.18338109 75.81661891],0
p4,1,0.017878,5.608112,[111 130] ; [64 43],[121.19252874 119.80747126] ; [53.80747126 53.19252874],0
s3,1,0.017878,5.608112,[111 130] ; [64 43],[121.19252874 119.80747126] ; [53.80747126 53.19252874],0
p1,1,0.035493,4.42131,[ 14 230] ; [13 93],[ 18.82285714 225.17714286] ; [ 8.17714286 97.82285714],0
p7,1,0.037122,4.344819,[126 115] ; [67 37],[134.82028986 106.17971014] ; [58.17971014 45.82028986],0
r1,1,0.040528,4.195654,[171  73] ; [87 21],[178.84090909  65.15909091] ; [79.15909091 28.84090909],0
p12,1,0.041027,4.174886,[ 11 232] ; [11 96],[ 15.27428571 227.72571429] ; [  6.72571429 100.27428571],0
a5,1,0.04457,4.034833,[154  90] ; [80 28],[162.20454545  81.79545455] ; [71.79545455 36.20454545],0
r2,1,0.048009,3.909685,[213  27] ; [103   5],[217.93103448  22.06896552] ; [98.06896552  9.93103448],0
b5,1,0.054406,3.700208,[140 104] ; [50 58],[131.70454545 112.29545455] ; [58.29545455 49.70454545],0
p9,1,0.057739,3.601174,[181  59] ; [88 16],[187.6744186  52.3255814] ; [81.3255814 22.6744186],0
