Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.3e-05,19.072011,[ 7 81] ; [15 22],[15.488 72.512] ; [ 6.512 30.488],1
p4,1,8.7e-05,15.393513,[17 72] ; [20 17],[26.13492063 62.86507937] ; [10.86507937 26.13492063],1
p7,1,0.000445,12.331507,[21 66] ; [21 16],[29.46774194 57.53225806] ; [12.53225806 24.46774194],1
p8,1,0.002585,9.079317,[14 75] ; [15 22],[20.48412698 68.51587302] ; [ 8.51587302 28.48412698],0
n6,1,0.00656,7.389579,[52 38] ; [30  6],[58.57142857 31.42857143] ; [23.42857143 12.57142857],0
r4,1,0.007065,7.256393,[53 37] ; [31  6],[59.52755906 30.47244094] ; [24.47244094 12.52755906],0
r2,1,0.019024,5.499342,[67 20] ; [35  2],[71.56451613 15.43548387] ; [30.43548387  6.56451613],0
v4,1,0.022166,5.232729,[63 27] ; [33  4],[68.03149606 21.96850394] ; [27.96850394  9.03149606],0
n2,1,0.023533,5.128738,[26 17] ; [13  1],[29.42105263 13.57894737] ; [9.57894737 4.42105263],0
r3,1,0.029305,4.749627,[64 26] ; [33  4],[68.74015748 21.25984252] ; [28.25984252  8.74015748],0
s6,1,0.039659,4.232417,[32 55] ; [21 16],[37.18548387 49.81451613] ; [15.81451613 21.18548387],0
n4,1,0.05294,3.745813,[49 41] ; [27 10],[53.85826772 36.14173228] ; [22.14173228 14.85826772],0
p10,1,0.054142,3.708315,[40 47] ; [24 13],[44.90322581 42.09677419] ; [19.09677419 17.90322581],0
s8,1,0.055199,3.676051,[19 70] ; [14 23],[23.30952381 65.69047619] ; [ 9.69047619 27.30952381],0
b4,1,0.089656,2.880542,[46 44] ; [25 12],[50.31496063 39.68503937] ; [20.68503937 16.31496063],0
n5,1,0.099031,2.721087,[51 38] ; [27 10],[55.0952381 33.9047619] ; [22.9047619 14.0952381],0
p9,1,0.102694,2.663202,[41 43] ; [24 13],[45.12396694 38.87603306] ; [19.87603306 17.12396694],0
v1,1,0.108191,2.580455,[24 65] ; [15 21],[27.768 61.232] ; [11.232 24.768],0
v2,1,0.118153,2.441635,[29 57] ; [18 19],[32.86178862 53.13821138] ; [14.13821138 22.86178862],0
a2,1,0.129636,2.29686,[17 73] ; [ 3 34],[14.17322835 75.82677165] ; [ 5.82677165 31.17322835],0
p11,1,0.140408,2.173485,[43 47] ; [23 14],[46.77165354 43.22834646] ; [19.22834646 17.77165354],0
a7,1,0.192273,1.700111,[47 43] ; [24 13],[50.31496063 39.68503937] ; [20.68503937 16.31496063],0
s2,1,0.206396,1.596525,[28 61] ; [16 21],[31.07936508 57.92063492] ; [12.92063492 24.07936508],0
s5,1,0.206679,1.594541,[16 69] ; [10 24],[18.57142857 66.42857143] ; [ 7.42857143 26.57142857],0
s7,1,0.269154,1.221055,[21 65] ; [12 23],[23.45454545 62.54545455] ; [ 9.54545455 25.45454545],0
p1,1,0.294311,1.099793,[ 5 85] ; [ 4 33],[ 6.37795276 83.62204724] ; [ 2.62204724 34.37795276],0
s1,1,0.302638,1.062534,[ 5 84] ; [ 4 33],[ 6.35714286 82.64285714] ; [ 2.64285714 34.35714286],0
b5,1,0.30487,1.052771,[52 38] ; [25 12],[54.56692913 35.43307087] ; [22.43307087 14.56692913],0
a5,1,0.333699,0.934491,[50 40] ; [24 13],[52.44094488 37.55905512] ; [21.55905512 15.44094488],0
s3,1,0.359323,0.840259,[35 53] ; [18 19],[37.312 50.688] ; [15.688 21.312],0
u3,1,0.393026,0.72956,[17 22] ; [9 7],[18.43636364 20.56363636] ; [7.56363636 8.43636364],0
b3,1,0.428028,0.628168,[18 40] ; [10 15],[19.56626506 38.43373494] ; [ 8.43373494 16.56626506],0
b2,1,0.428028,0.628168,[18 40] ; [10 15],[19.56626506 38.43373494] ; [ 8.43373494 16.56626506],0
a8,1,0.42857,0.626697,[ 8 80] ; [ 5 31],[ 9.22580645 78.77419355] ; [ 3.77419355 32.22580645],0
n3,1,0.482689,0.492782,[25 16] ; [10  4],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
d5,1,0.528441,0.397388,[58 32] ; [26 11],[59.52755906 30.47244094] ; [24.47244094 12.52755906],0
d1,1,0.552203,0.353385,[41 49] ; [19 18],[42.51968504 47.48031496] ; [17.48031496 19.51968504],0
