Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,70.87565,[ 4 53] ; [129  54],[31.5875 25.4125] ; [101.4125  81.5875],1
d5,1,0.0,62.014313,[21 36] ; [161  22],[43.225 13.775] ; [138.775  44.225],1
d3,1,0.0,37.808839,[16 41] ; [134  49],[35.625 21.375] ; [114.375  68.625],1
r3,1,3.6e-05,17.097823,[40 16] ; [169  14],[48.9707113  7.0292887] ; [160.0292887  22.9707113],1
d2,1,7.6e-05,15.649319,[15 42] ; [102  79],[28.0210084 28.9789916] ; [88.9789916 92.0210084],1
a3,1,0.000234,13.534703,[28 28] ; [138  44],[39.05882353 16.94117647] ; [126.94117647  55.05882353],1
a5,1,0.000452,12.302538,[31 26] ; [143  40],[41.325 15.675] ; [132.675  50.325],1
r1,1,0.00139,10.218902,[31 26] ; [139  43],[40.54393305 16.45606695] ; [129.45606695  52.54393305],0
p10,1,0.004574,8.040739,[31 25] ; [136  45],[39.45991561 16.54008439] ; [127.54008439  53.45991561],0
u1,1,0.006145,7.507393,[ 1 56] ; [ 28 155],[ 6.8875 50.1125] ; [ 22.1125 160.8875],0
p1,1,0.00771,7.099571,[11 46] ; [ 13 169],[ 5.72384937 51.27615063] ; [ 18.27615063 163.72384937],0
r4,1,0.007786,7.081967,[38 19] ; [152  31],[45.125 11.875] ; [144.875  38.125],0
r2,1,0.009248,6.774251,[47 10] ; [166  11],[51.88461538  5.11538462] ; [161.11538462  15.88461538],0
a7,1,0.015486,5.86031,[31 26] ; [131  52],[38.475 18.525] ; [123.525  59.475],0
p11,1,0.018053,5.591027,[36 21] ; [144  39],[42.75 14.25] ; [137.25  45.75],0
v2,1,0.019197,5.483505,[21 33] ; [101  76],[28.51948052 25.48051948] ; [93.48051948 83.51948052],0
p9,1,0.019401,5.46502,[33 22] ; [137  43],[39.78723404 15.21276596] ; [130.21276596  49.78723404],0
v4,1,0.019705,5.437873,[43 13] ; [163  20],[48.26778243  7.73221757] ; [157.73221757  25.26778243],0
u3,1,0.023445,5.135219,[ 6 23] ; [21 24],[10.58108108 18.41891892] ; [16.41891892 28.58108108],0
u2,1,0.027129,4.88258,[ 7 22] ; [22 22],[11.52054795 17.47945205] ; [17.47945205 26.52054795],0
p12,1,0.037571,4.32434,[ 4 53] ; [  3 177],[ 1.6835443 55.3164557] ; [  5.3164557 174.6835443],0
a4,1,0.041215,4.167145,[20 37] ; [92 90],[26.71129707 30.28870293] ; [85.28870293 96.71129707],0
s2,1,0.044919,4.021675,[ 6 51] ; [ 41 140],[11.25630252 45.74369748] ; [ 35.74369748 145.25630252],0
s8,1,0.048859,3.8802,[ 7 50] ; [ 45 138],[12.35 44.65] ; [ 39.65 143.35],0
a2,1,0.068634,3.315381,[ 7 50] ; [ 43 140],[11.875 45.125] ; [ 38.125 144.875],0
n5,1,0.105389,2.622033,[49  8] ; [138  44],[44.59832636 12.40167364] ; [142.40167364  39.59832636],0
a8,1,0.107237,2.594474,[ 3 48] ; [ 24 143],[ 6.31651376 44.68348624] ; [ 20.68348624 146.31651376],0
b4,1,0.121634,2.396154,[27 30] ; [108  75],[32.0625 24.9375] ; [102.9375  80.0625],0
s5,1,0.125523,2.347016,[ 4 53] ; [ 26 149],[ 7.37068966 49.62931034] ; [ 22.62931034 152.37068966],0
s7,1,0.126098,2.339901,[ 9 42] ; [ 49 124],[13.20535714 37.79464286] ; [ 44.79464286 128.20535714],0
a1,1,0.199964,1.642636,[ 5 52] ; [  8 175],[ 3.0875 53.9125] ; [  9.9125 173.0875],0
n1,1,0.212086,1.557128,[9 7] ; [16 26],[6.89655172 9.10344828] ; [18.10344828 23.89655172],0
p2,1,0.23816,1.39145,[39 18] ; [138  43],[42.3907563 14.6092437] ; [134.6092437  46.3907563],0
n6,1,0.302473,1.063258,[42 15] ; [145  36],[44.78571429 12.21428571] ; [142.21428571  38.78571429],0
p7,1,0.303771,1.057565,[27 29] ; [102  80],[30.35294118 25.64705882] ; [98.64705882 83.35294118],0
b2,1,0.314713,1.010795,[14 23] ; [53 59],[16.63758389 20.36241611] ; [50.36241611 61.63758389],0
b3,1,0.314713,1.010795,[14 23] ; [53 59],[16.63758389 20.36241611] ; [50.36241611 61.63758389],0
b5,1,0.37903,0.773845,[34 23] ; [97 86],[31.1125 25.8875] ; [99.8875 83.1125],0
p4,1,0.454228,0.560081,[24 33] ; [86 94],[26.4556962 30.5443038] ; [83.5443038 96.4556962],0
a6,1,0.477472,0.504632,[38 19] ; [131  52],[40.1375 16.8625] ; [128.8625  54.1375],0
p5,1,0.544091,0.368011,[ 2 55] ; [ 10 171],[ 2.87394958 54.12605042] ; [  9.12605042 171.87394958],0
n3,1,0.545591,0.365276,[9 5] ; [32 12],[9.89655172 4.10344828] ; [31.10344828 12.89655172],0
p3,1,0.550612,0.356223,[23 33] ; [83 99],[24.94117647 31.05882353] ; [ 81.05882353 100.94117647],0
s4,1,0.569298,0.323859,[ 5 52] ; [ 12 171],[ 4.0375 52.9625] ; [ 12.9625 170.0375],0
v3,1,0.587226,0.294697,[20 36] ; [ 70 106],[21.72413793 34.27586207] ; [ 68.27586207 107.72413793],0
s1,1,0.684283,0.165344,[ 1 55] ; [  5 176],[ 1.41772152 54.58227848] ; [  4.58227848 176.41772152],0
v1,1,0.685775,0.163698,[25 32] ; [84 95],[26.32627119 30.67372881] ; [82.67372881 96.32627119],0
n2,1,0.836454,0.042614,[11  5] ; [29 15],[10.66666667  5.33333333] ; [29.33333333 14.66666667],0
s3,1,0.866972,0.028058,[15 41] ; [ 50 129],[15.4893617 40.5106383] ; [ 49.5106383 129.4893617],0
b1,1,0.880598,0.022563,[24 33] ; [ 75 108],[23.5125 33.4875] ; [ 75.4875 107.5125],0
p8,1,0.984316,0.000386,[25 30] ; [82 99],[24.93644068 30.06355932] ; [82.06355932 98.93644068],0
p6,1,0.988207,0.000218,[15 40] ; [ 49 130],[15.04273504 39.95726496] ; [ 48.95726496 130.04273504],0
