Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.505373,[70 14] ; [15 22],[59.00826446 24.99173554] ; [25.99173554 11.00826446],1
p8,1,0.000235,13.527047,[52 30] ; [10 27],[42.72268908 39.27731092] ; [19.27731092 17.72268908],1
p4,1,0.000723,11.430423,[63 21] ; [16 21],[54.84297521 29.15702479] ; [24.15702479 12.84297521],1
p11,1,0.000845,11.139914,[68 16] ; [19 18],[60.39669421 23.60330579] ; [26.60330579 10.39669421],1
n6,1,0.006989,7.275913,[76  7] ; [27 10],[71.24166667 11.75833333] ; [31.75833333  5.24166667],0
p2,1,0.015277,5.884233,[71 13] ; [24 13],[65.95041322 18.04958678] ; [29.04958678  7.95041322],0
p3,1,0.020058,5.406823,[51 33] ; [14 23],[45.12396694 38.87603306] ; [19.87603306 17.12396694],0
p7,1,0.022153,5.233743,[59 22] ; [19 18],[53.54237288 27.45762712] ; [24.45762712 12.54237288],0
v1,1,0.029674,4.728102,[47 36] ; [13 24],[41.5 41.5] ; [18.5 18.5],0
s8,1,0.050299,3.83145,[48 36] ; [14 23],[43.04132231 40.95867769] ; [18.95867769 18.04132231],0
u3,1,0.051129,3.804049,[8 8] ; [11  2],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
a3,1,0.056136,3.648031,[68 16] ; [24 13],[63.8677686 20.1322314] ; [28.1322314  8.8677686],0
p9,1,0.064547,3.416527,[75  8] ; [28  8],[71.84033613 11.15966387] ; [31.15966387  4.84033613],0
p5,1,0.078039,3.105286,[11 73] ; [ 1 36],[ 8.33057851 75.66942149] ; [ 3.66942149 33.33057851],0
p6,1,0.083939,2.986938,[41 42] ; [12 25],[36.65833333 46.34166667] ; [16.34166667 20.65833333],0
n2,1,0.092838,2.824463,[14  3] ; [4 4],[12.24  4.76] ; [5.76 2.24],0
b1,1,0.124747,2.356682,[35 49] ; [10 27],[31.23966942 52.76033058] ; [13.76033058 23.23966942],0
b5,1,0.172238,1.863353,[48 36] ; [26 11],[51.37190083 32.62809917] ; [22.62809917 14.37190083],0
p12,1,0.19854,1.653082,[ 8 76] ; [ 1 35],[ 6.3 77.7] ; [ 2.7 33.3],0
s5,1,0.230897,1.43533,[44 34] ; [15 19],[41.08928571 36.91071429] ; [17.91071429 16.08928571],0
s7,1,0.239425,1.383979,[53 29] ; [18 16],[50.18965517 31.81034483] ; [20.81034483 13.18965517],0
b4,1,0.247599,1.336799,[45 39] ; [24 13],[47.90082645 36.09917355] ; [21.09917355 15.90082645],0
s6,1,0.259653,1.270605,[74  8] ; [29  6],[72.18803419  9.81196581] ; [30.81196581  4.18803419],0
s3,1,0.284126,1.147248,[65 17] ; [26 11],[62.70588235 19.29411765] ; [28.29411765  8.70588235],0
a4,1,0.336832,0.922453,[42 42] ; [15 22],[39.57024793 44.42975207] ; [17.42975207 19.57024793],0
d3,1,0.348785,0.877872,[64 20] ; [31  6],[65.95041322 18.04958678] ; [29.04958678  7.95041322],0
v4,1,0.374652,0.788177,[82  2] ; [34  2],[81.2  2.8] ; [34.8  1.2],0
p10,1,0.386556,0.749749,[72 11] ; [29  7],[70.44537815 12.55462185] ; [30.55462185  5.44537815],0
a2,1,0.387966,0.745307,[22 62] ; [ 7 30],[20.1322314 63.8677686] ; [ 8.8677686 28.1322314],0
d5,1,0.514986,0.423924,[70 14] ; [29  8],[68.72727273 15.27272727] ; [30.27272727  6.72727273],0
u2,1,0.534359,0.386095,[8 8] ; [5 8],[7.17241379 8.82758621] ; [5.82758621 7.17241379],0
a7,1,0.573611,0.316678,[57 27] ; [27 10],[58.31404959 25.68595041] ; [25.68595041 11.31404959],0
s1,1,0.584046,0.29974,[ 4 78] ; [ 1 36],[ 3.44537815 78.55462185] ; [ 1.55462185 35.44537815],0
v2,1,0.585518,0.297398,[40 42] ; [19 16],[41.35042735 40.64957265] ; [17.64957265 17.35042735],0
d4,1,0.626789,0.236441,[69 15] ; [29  8],[68.03305785 15.96694215] ; [29.96694215  7.03305785],0
r4,1,0.640503,0.218085,[81  3] ; [35  2],[80.52892562  3.47107438] ; [35.47107438  1.52892562],0
r3,1,0.660193,0.19329,[79  3] ; [35  2],[78.55462185  3.44537815] ; [35.44537815  1.55462185],0
b2,1,0.666972,0.185164,[ 8 33] ; [ 3 17],[ 7.39344262 33.60655738] ; [ 3.60655738 16.39344262],0
b3,1,0.666972,0.185164,[ 8 33] ; [ 3 17],[ 7.39344262 33.60655738] ; [ 3.60655738 16.39344262],0
d2,1,0.681032,0.168967,[42 42] ; [17 20],[40.95867769 43.04132231] ; [18.04132231 18.95867769],0
n1,1,0.68591,0.163549,[ 5 12] ; [3 5],[ 5.44 11.56] ; [2.56 5.44],0
a6,1,0.695961,0.152708,[56 28] ; [26 11],[56.92561983 27.07438017] ; [25.07438017 11.92561983],0
d1,1,0.704246,0.144093,[53 31] ; [22 15],[52.0661157 31.9338843] ; [22.9338843 14.0661157],0
a5,1,0.705703,0.142607,[64 20] ; [27 10],[63.17355372 20.82644628] ; [27.82644628  9.17355372],0
s2,1,0.7819,0.076643,[59 23] ; [25 11],[58.37288136 23.62711864] ; [25.62711864 10.37288136],0
p1,1,0.802911,0.062291,[ 8 76] ; [ 3 34],[ 7.63636364 76.36363636] ; [ 3.36363636 33.63636364],0
v3,1,0.864732,0.02902,[25 56] ; [12 25],[25.39830508 55.60169492] ; [11.60169492 25.39830508],0
u1,1,0.903363,0.014741,[19 65] ; [ 8 29],[18.74380165 65.25619835] ; [ 8.25619835 28.74380165],0
r2,1,0.916479,0.010998,[82  2] ; [36  1],[81.91735537  2.08264463] ; [36.08264463  0.91735537],0
