Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,79.0006,[200 134] ; [ 48 174],[148.97841727 185.02158273] ; [ 99.02158273 122.97841727],1
v1,1,0.0,29.403352,[225 107] ; [ 98 122],[194.26811594 137.73188406] ; [128.73188406  91.26811594],1
r1,1,0.007809,7.076736,[291  47] ; [175  51],[279.26950355  58.73049645] ; [186.73049645  39.26950355],0
p3,1,0.008298,6.967943,[210 128] ; [114 110],[194.86120996 143.13879004] ; [129.13879004  94.86120996],0
r3,1,0.010771,6.502689,[330   7] ; [210  14],[324.38502674  12.61497326] ; [215.61497326   8.38502674],0
d1,1,0.010948,6.47375,[232 107] ; [131  95],[217.8 121.2] ; [145.2  80.8],0
d2,1,0.013693,6.077263,[190 147] ; [103 122],[175.69572954 161.30427046] ; [117.30427046 107.69572954],0
p7,1,0.015488,5.860097,[243  89] ; [141  81],[230.12274368 101.87725632] ; [153.87725632  68.12274368],0
a5,1,0.024223,5.078607,[280  59] ; [169  57],[269.4  69.6] ; [179.6  46.4],0
s4,1,0.024252,5.076501,[ 43 294] ; [ 44 178],[ 52.4490161 284.5509839] ; [ 34.5509839 187.4490161],0
r4,1,0.040273,4.206363,[319  20] ; [202  24],[312.6  26.4] ; [208.4  17.6],0
b1,1,0.046981,3.946051,[116 223] ; [ 96 130],[127.2 211.8] ; [ 84.8 141.2],0
d5,1,0.063528,3.44281,[293  45] ; [182  43],[285.1687389  52.8312611] ; [189.8312611  35.1687389],0
d4,1,0.068003,3.330588,[294  44] ; [183  42],[286.36944938  51.63055062] ; [190.63055062  34.36944938],0
u1,1,0.078331,3.099189,[ 76 263] ; [ 37 189],[ 67.8 271.2] ; [ 45.2 180.8],0
a7,1,0.081431,3.036107,[253  85] ; [154  72],[243.91134752  94.08865248] ; [163.08865248  62.91134752],0
d3,1,0.096369,2.764633,[245  93] ; [149  77],[236.12056738 101.87943262] ; [157.87943262  68.12056738],0
s8,1,0.098228,2.734082,[178 157] ; [104 122],[168.39572193 166.60427807] ; [113.60427807 112.39572193],0
s1,1,0.108255,2.579506,[  8 326] ; [ 11 213],[ 11.37275986 322.62724014] ; [  7.62724014 216.37275986],0
a3,1,0.124188,2.36369,[264  74] ; [163  62],[256.35168739  81.64831261] ; [170.64831261  54.35168739],0
p12,1,0.128701,2.308099,[ 39 300] ; [ 17 207],[ 33.71936057 305.28063943] ; [ 22.28063943 201.71936057],0
a1,1,0.161213,1.962815,[ 21 318] ; [  8 218],[ 17.4 321.6] ; [ 11.6 214.4],0
s7,1,0.163903,1.93784,[189 131] ; [115 102],[181.15456238 138.84543762] ; [122.84543762  94.15456238],0
a8,1,0.220386,1.501858,[ 53 250] ; [ 28 180],[ 48.02935421 254.97064579] ; [ 32.97064579 175.02935421],0
u4,1,0.27245,1.20437,[  7 332] ; [  2 224],[  5.4 333.6] ; [  3.6 222.4],0
a6,1,0.285348,1.141442,[238  99] ; [150  76],[232.24866785 104.75133215] ; [155.75133215  70.24866785],0
p9,1,0.324681,0.969997,[322  16] ; [210  15],[319.38898757  18.61101243] ; [212.61101243  12.38898757],0
a2,1,0.388053,0.745033,[ 92 247] ; [ 54 172],[ 87.6 251.4] ; [ 58.4 167.6],0
n3,1,0.390445,0.737554,[38  9] ; [33 12],[36.27173913 10.72826087] ; [34.72826087 10.27173913],0
n5,1,0.399583,0.70958,[302  34] ; [198  28],[298.93238434  37.06761566] ; [201.06761566  24.93238434],0
p6,1,0.400001,0.708323,[146 189] ; [ 90 135],[141.17857143 193.82142857] ; [ 94.82142857 130.17857143],0
