Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001087,10.673594,[15 22] ; [12 74],[ 8.12195122 28.87804878] ; [18.87804878 67.12195122],0
a6,1,0.008255,6.977216,[31  6] ; [51 35],[24.66666667 12.33333333] ; [57.33333333 28.66666667],0
p12,1,0.010989,6.467046,[ 7 30] ; [ 4 82],[ 3.30894309 33.69105691] ; [ 7.69105691 78.30894309],0
v2,1,0.015074,5.907838,[25 11] ; [39 47],[18.8852459 17.1147541] ; [45.1147541 40.8852459],0
a2,1,0.017803,5.615437,[17 20] ; [21 65],[11.43089431 25.56910569] ; [26.56910569 59.43089431],0
r1,1,0.023604,5.123488,[34  3] ; [62 22],[29.3553719  7.6446281] ; [66.6446281 17.3553719],0
b5,1,0.023825,5.107308,[29  8] ; [49 37],[23.46341463 13.53658537] ; [54.53658537 31.46341463],0
s8,1,0.028741,4.783051,[23 14] ; [35 51],[17.44715447 19.55284553] ; [40.55284553 45.44715447],0
p4,1,0.031638,4.618003,[24 12] ; [39 47],[18.59016393 17.40983607] ; [44.40983607 41.59016393],0
n4,1,0.053603,3.725027,[31  6] ; [56 28],[26.60330579 10.39669421] ; [60.39669421 23.60330579],0
r4,1,0.057509,3.607794,[35  2] ; [70 16],[31.58536585  5.41463415] ; [73.41463415 12.58536585],0
s6,1,0.083057,3.004041,[34  3] ; [68 18],[30.68292683  6.31707317] ; [71.31707317 14.68292683],0
u2,1,0.098543,2.728968,[5 1] ; [ 9 11],[3.23076923 2.76923077] ; [10.76923077  9.23076923],0
d5,1,0.139607,2.182282,[34  3] ; [70 16],[31.28455285  5.71544715] ; [72.71544715 13.28455285],0
v1,1,0.140395,2.17362,[22 14] ; [39 45],[18.3 17.7] ; [42.7 41.3],0
d3,1,0.144326,2.131215,[29  8] ; [56 30],[25.56910569 11.43089431] ; [59.43089431 26.56910569],0
a7,1,0.156254,2.010112,[27  9] ; [53 33],[23.60655738 12.39344262] ; [56.39344262 29.60655738],0
n6,1,0.164991,1.92788,[34  3] ; [69 15],[31.49586777  5.50413223] ; [71.50413223 12.49586777],0
a5,1,0.166156,1.917285,[31  6] ; [62 24],[27.97560976  9.02439024] ; [65.02439024 20.97560976],0
r3,1,0.20357,1.616574,[35  1] ; [77  8],[33.32231405  2.67768595] ; [78.67768595  6.32231405],0
d2,1,0.218034,1.517267,[23 12] ; [46 40],[19.95867769 15.04132231] ; [49.04132231 36.95867769],0
p6,1,0.221173,1.496745,[ 7 29] ; [26 60],[ 9.73770492 26.26229508] ; [23.26229508 62.73770492],0
p3,1,0.236191,1.403185,[18 19] ; [32 54],[15.04065041 21.95934959] ; [34.95934959 51.04065041],0
s7,1,0.259441,1.271739,[24 12] ; [45 36],[21.23076923 14.76923077] ; [47.76923077 33.23076923],0
n5,1,0.265394,1.240398,[28  9] ; [55 29],[25.38016529 11.61983471] ; [57.61983471 26.38016529],0
u3,1,0.27198,1.206734,[5 1] ; [13  9],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
a1,1,0.275354,1.189878,[ 3 34] ; [ 3 83],[ 1.80487805 35.19512195] ; [ 4.19512195 81.80487805],0
p2,1,0.291709,1.111719,[26 11] ; [68 18],[28.27642276  8.72357724] ; [65.72357724 20.27642276],0
a3,1,0.299114,1.078138,[31  6] ; [64 21],[28.81147541  8.18852459] ; [66.18852459 18.81147541],0
s4,1,0.330774,0.945867,[ 8 28] ; [26 58],[10.2 25.8] ; [23.8 60.2],0
n1,1,0.330995,0.945,[3 7] ; [12 13],[4.28571429 5.71428571] ; [10.71428571 14.28571429],0
