Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.8e-05,15.853671,[ 8 38] ; [26 19],[17.18681319 28.81318681] ; [16.81318681 28.18681319],1
s7,1,0.000151,14.354188,[ 5 38] ; [22 23],[13.19318182 29.80681818] ; [13.80681818 31.19318182],1
s3,1,0.000639,11.659919,[18 27] ; [34 11],[26. 19.] ; [26. 19.],1
d5,1,0.000916,10.990395,[21 25] ; [35  9],[28.62222222 17.37777778] ; [27.37777778 16.62222222],1
s5,1,0.001599,9.960474,[ 4 42] ; [16 28],[10.22222222 35.77777778] ; [ 9.77777778 34.22222222],0
n5,1,0.002637,9.042977,[19 27] ; [32 12],[26.06666667 19.93333333] ; [24.93333333 19.06666667],0
d4,1,0.003414,8.571686,[25 20] ; [37  7],[31.34831461 13.65168539] ; [30.65168539 13.34831461],0
s4,1,0.010347,6.574187,[ 2 44] ; [10 34],[ 6.13333333 39.86666667] ; [ 5.86666667 38.13333333],0
p4,1,0.011392,6.403162,[17 28] ; [29 16],[23. 22.] ; [23. 22.],0
a2,1,0.017827,5.613065,[ 3 43] ; [11 34],[ 7.07692308 38.92307692] ; [ 6.92307692 38.07692308],0
s8,1,0.043587,4.072507,[ 7 39] ; [15 30],[11.12087912 34.87912088] ; [10.87912088 34.12087912],0
a8,1,0.055114,3.678627,[ 3 39] ; [ 9 32],[ 6.07228916 35.92771084] ; [ 5.92771084 35.07228916],0
u3,1,0.072006,3.236689,[ 8 15] ; [13  8],[10.97727273 12.02272727] ; [10.02272727 10.97727273],0
n1,1,0.073896,3.194296,[ 4 12] ; [7 5],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
v4,1,0.078948,3.08642,[38  7] ; [43  2],[40.5  4.5] ; [40.5  4.5],0
p5,1,0.090969,2.857143,[ 1 44] ; [ 5 40],[ 3. 42.] ; [ 3. 42.],0
n2,1,0.094714,2.792367,[11  6] ; [11  1],[12.89655172  4.10344828] ; [9.10344828 2.89655172],0
u1,1,0.099592,2.712066,[ 3 43] ; [ 8 37],[ 5.56043956 40.43956044] ; [ 5.43956044 39.56043956],0
p8,1,0.112416,2.519921,[19 25] ; [27 18],[22.74157303 21.25842697] ; [23.25842697 21.74157303],0
d3,1,0.126639,2.333226,[23 23] ; [29 15],[26.57777778 19.42222222] ; [25.42222222 18.57777778],0
d2,1,0.131333,2.27668,[24 22] ; [16 28],[20.44444444 25.55555556] ; [19.55555556 24.44444444],0
v3,1,0.142037,2.155746,[ 9 37] ; [14 28],[12.02272727 33.97727273] ; [10.97727273 31.02272727],0
s1,1,0.167421,1.905882,[ 4 41] ; [ 1 44],[ 2.5 42.5] ; [ 2.5 42.5],0
b1,1,0.17254,1.860733,[20 26] ; [26 19],[23.25274725 22.74725275] ; [22.74725275 22.25274725],0
p3,1,0.173781,1.850019,[17 29] ; [23 22],[20.21978022 25.78021978] ; [19.78021978 25.21978022],0
n4,1,0.178389,1.810995,[25 21] ; [30 14],[28.11111111 17.88888889] ; [26.88888889 17.11111111],0
r1,1,0.179712,1.8,[27 18] ; [33 12],[30. 15.] ; [30. 15.],0
r3,1,0.192245,1.700327,[39  7] ; [42  3],[40.94505495  5.05494505] ; [40.05494505  4.94505495],0
a7,1,0.229537,1.443731,[25 21] ; [30 15],[27.8021978 18.1978022] ; [27.1978022 17.8021978],0
a4,1,0.231455,1.431898,[12 34] ; [17 28],[14.65934066 31.34065934] ; [14.34065934 30.65934066],0
p9,1,0.241831,1.369889,[15 30] ; [20 24],[17.69662921 27.30337079] ; [17.30337079 26.69662921],0
v1,1,0.274088,1.196172,[14 31] ; [19 26],[16.5 28.5] ; [16.5 28.5],0
a1,1,0.295898,1.092591,[ 1 45] ; [ 3 42],[ 2.02197802 43.97802198] ; [ 1.97802198 43.02197802],0
n3,1,0.330931,0.945251,[14  3] ; [8 4],[12.89655172  4.10344828] ; [9.10344828 2.89655172],0
b4,1,0.332833,0.937842,[24 22] ; [28 17],[26.28571429 19.71428571] ; [25.71428571 19.28571429],0
a5,1,0.456808,0.553704,[23 23] ; [26 19],[24.76923077 21.23076923] ; [24.23076923 20.76923077],0
v2,1,0.462598,0.539601,[18 27] ; [21 23],[19.71910112 25.28089888] ; [19.28089888 24.71910112],0
p11,1,0.467202,0.528587,[27 19] ; [23 22],[25.27472527 20.72527473] ; [24.72527473 20.27472527],0
u2,1,0.515502,0.422883,[11 11] ; [ 8 12],[ 9.95238095 12.04761905] ; [ 9.04761905 10.95238095],0
b2,1,0.560421,0.338976,[ 5 21] ; [ 7 20],[ 5.88679245 20.11320755] ; [ 6.11320755 20.88679245],0
b3,1,0.560421,0.338976,[ 5 21] ; [ 7 20],[ 5.88679245 20.11320755] ; [ 6.11320755 20.88679245],0
r2,1,0.562705,0.335043,[39  7] ; [40  5],[39.93406593  6.06593407] ; [39.06593407  5.93406593],0
n6,1,0.600213,0.274674,[31 14] ; [28 16],[29.83146067 15.16853933] ; [29.16853933 14.83146067],0
