Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.571452,[500  34] ; [86 24],[485.9068323  48.0931677] ; [100.0931677   9.9068323],1
p8,1,4e-06,21.226697,[312 217] ; [38 71],[290.20376176 238.79623824] ; [59.79623824 49.20376176],1
r3,1,2.4e-05,17.811064,[521  13] ; [97 12],[513.23794712  20.76205288] ; [104.76205288   4.23794712],1
n6,1,7.6e-05,15.652248,[472  62] ; [79 28],[459.02340094  74.97659906] ; [91.97659906 15.02340094],1
p2,1,0.000485,12.172028,[476  57] ; [84 25],[464.92211838  68.07788162] ; [95.07788162 13.92211838],1
n5,1,0.001149,10.571233,[419 113] ; [70 39],[405.84711388 126.15288612] ; [83.15288612 25.84711388],0
p7,1,0.002044,9.509699,[360 161] ; [58 50],[346.22893482 174.77106518] ; [71.77106518 36.22893482],0
n4,1,0.007015,7.269186,[432 105] ; [75 34],[421.45356037 115.54643963] ; [85.54643963 23.45356037],0
p4,1,0.007937,7.047576,[351 183] ; [57 52],[338.83670295 195.16329705] ; [69.16329705 39.83670295],0
b5,1,0.007979,7.038185,[318 219] ; [80 30],[330.33384853 206.66615147] ; [67.66615147 42.33384853],0
v1,1,0.026592,4.917103,[307 211] ; [52 57],[296.59011164 221.40988836] ; [62.40988836 46.59011164],0
r4,1,0.036406,4.377978,[493  44] ; [94 16],[487.20092736  49.79907264] ; [99.79907264 10.20092736],0
p12,1,0.058043,3.592433,[ 55 478] ; [  5 105],[ 49.73561431 483.26438569] ; [10.26438569 99.73561431],0
s1,1,0.061992,3.483271,[ 12 519] ; [  6 103],[ 14.934375 516.065625] ; [  3.065625 105.934375],0
v3,1,0.074153,3.188602,[217 295] ; [35 71],[208.77669903 303.22330097] ; [43.22330097 62.77669903],0
s4,1,0.090582,2.863994,[ 85 445] ; [25 85],[ 91.09375 438.90625] ; [18.90625 91.09375],0
b1,1,0.104326,2.638127,[181 356] ; [46 64],[188.4064915 348.5935085] ; [38.5935085 71.4064915],0
v2,1,0.11041,2.548347,[313 202] ; [55 50],[305.67741935 209.32258065] ; [62.32258065 42.67741935],0
p3,1,0.116549,2.463087,[290 246] ; [50 59],[282.54263566 253.45736434] ; [57.45736434 51.54263566],0
b2,1,0.121371,2.399542,[145 195] ; [17 37],[139.79695431 200.20304569] ; [22.20304569 31.79695431],0
b3,1,0.121371,2.399542,[145 195] ; [17 37],[139.79695431 200.20304569] ; [22.20304569 31.79695431],0
a5,1,0.126491,2.335054,[426 111] ; [80 30],[419.97217929 117.02782071] ; [86.02782071 23.97217929],0
d2,1,0.156007,2.012511,[277 259] ; [65 45],[283.76470588 252.23529412] ; [58.23529412 51.76470588],0
n1,1,0.206215,1.597799,[36 65] ; [18 20],[39.23741007 61.76258993] ; [14.76258993 23.23741007],0
u2,1,0.236769,1.399731,[77 44] ; [15 14],[74.21333333 46.78666667] ; [17.78666667 11.21333333],0
