Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.08131,3.038527,[ 2 13] ; [13 21],[ 4.59183673 10.40816327] ; [10.40816327 23.59183673],0
a4,1,0.093548,2.812242,[6 9] ; [ 6 28],[ 3.67346939 11.32653061] ; [ 8.32653061 25.67346939],0
a5,1,0.099958,2.706209,[10  5] ; [14 20],[7.34693878 7.65306122] ; [16.65306122 17.34693878],0
a8,1,0.103534,2.65024,[ 3 10] ; [ 2 30],[ 1.44444444 11.55555556] ; [ 3.55555556 28.44444444],0
d3,1,0.107261,2.594118,[6 9] ; [22 12],[8.57142857 6.42857143] ; [19.42857143 14.57142857],0
s4,1,0.112906,2.513067,[ 1 14] ; [ 9 25],[ 3.06122449 11.93877551] ; [ 6.93877551 27.06122449],0
u2,1,0.126156,2.339181,[2 4] ; [13  6],[3.6 2.4] ; [11.4  7.6],0
n2,1,0.132391,2.264245,[2 4] ; [11  5],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
a6,1,0.145602,2.117729,[ 5 10] ; [19 15],[7.34693878 7.65306122] ; [16.65306122 17.34693878],0
d5,1,0.164777,1.929828,[7 8] ; [23 11],[9.18367347 5.81632653] ; [20.81632653 13.18367347],0
r3,1,0.175836,1.83247,[9 5] ; [28  6],[10.79166667  3.20833333] ; [26.20833333  7.79166667],0
b4,1,0.204962,1.606663,[10  5] ; [16 18],[7.95918367 7.04081633] ; [18.04081633 15.95918367],0
r1,1,0.236375,1.402082,[8 7] ; [12 22],[6.12244898 8.87755102] ; [13.87755102 20.12244898],0
a3,1,0.305365,1.050618,[9 6] ; [15 19],[7.34693878 7.65306122] ; [16.65306122 17.34693878],0
s7,1,0.318236,0.996184,[ 3 10] ; [12 19],[4.43181818 8.56818182] ; [10.56818182 20.43181818],0
p3,1,0.331539,0.942877,[ 4 11] ; [14 20],[5.51020408 9.48979592] ; [12.48979592 21.51020408],0
d2,1,0.343609,0.89692,[6 9] ; [ 9 25],[ 4.59183673 10.40816327] ; [10.40816327 23.59183673],0
s3,1,0.387888,0.745554,[5 9] ; [ 8 26],[ 3.79166667 10.20833333] ; [ 9.20833333 24.79166667],0
a7,1,0.403615,0.697529,[6 9] ; [18 16],[7.34693878 7.65306122] ; [16.65306122 17.34693878],0
b1,1,0.430394,0.62176,[7 8] ; [20 14],[8.26530612 6.73469388] ; [18.73469388 15.26530612],0
d4,1,0.466348,0.530615,[9 6] ; [24 10],[10.10204082  4.89795918] ; [22.89795918 11.10204082],0
s8,1,0.466348,0.530615,[6 9] ; [10 24],[ 4.89795918 10.10204082] ; [11.10204082 22.89795918],0
v2,1,0.479018,0.501099,[ 5 10] ; [15 19],[6.12244898 8.87755102] ; [13.87755102 20.12244898],0
b5,1,0.51799,0.417893,[9 6] ; [17 17],[7.95918367 7.04081633] ; [18.04081633 15.95918367],0
p8,1,0.51799,0.417893,[6 9] ; [17 17],[7.04081633 7.95918367] ; [15.95918367 18.04081633],0
s2,1,0.521898,0.410141,[5 9] ; [ 9 25],[4.08333333 9.91666667] ; [ 9.91666667 24.08333333],0
u1,1,0.54356,0.368982,[ 1 14] ; [ 1 33],[ 0.6122449 14.3877551] ; [ 1.3877551 32.6122449],0
p1,1,0.54356,0.368982,[ 1 14] ; [ 1 33],[ 0.6122449 14.3877551] ; [ 1.3877551 32.6122449],0
s1,1,0.54356,0.368982,[ 1 14] ; [ 1 33],[ 0.6122449 14.3877551] ; [ 1.3877551 32.6122449],0
a2,1,0.54356,0.368982,[ 1 14] ; [ 1 33],[ 0.6122449 14.3877551] ; [ 1.3877551 32.6122449],0
p7,1,0.579965,0.306291,[8 7] ; [21 13],[8.87755102 6.12244898] ; [20.12244898 13.87755102],0
n4,1,0.603537,0.269694,[10  5] ; [20 14],[9.18367347 5.81632653] ; [20.81632653 13.18367347],0
n5,1,0.603537,0.269694,[10  5] ; [20 14],[9.18367347 5.81632653] ; [20.81632653 13.18367347],0
p6,1,0.624065,0.240196,[ 5 10] ; [ 9 25],[ 4.28571429 10.71428571] ; [ 9.71428571 24.28571429],0
v3,1,0.627364,0.235652,[ 3 12] ; [ 9 25],[ 3.67346939 11.32653061] ; [ 8.32653061 25.67346939],0
