Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,43.709679,[290  56] ; [22 29],[271.91939547  74.08060453] ; [40.08060453 10.91939547],1
n5,1,0.0,35.250635,[288  59] ; [23 27],[271.83123426  75.16876574] ; [39.16876574 10.83123426],1
r4,1,0.000471,12.227749,[327  20] ; [41 10],[320.84422111  26.15577889] ; [47.15577889  3.84422111],1
p10,1,0.00144,10.154403,[300  44] ; [35 15],[292.48730964  51.51269036] ; [42.51269036  7.48730964],0
u1,1,0.002222,9.356761,[ 87 260] ; [ 3 48],[ 78.46733668 268.53266332] ; [11.53266332 39.46733668],0
p11,1,0.002402,9.214038,[277  70] ; [31 20],[268.53266332  78.46733668] ; [39.46733668 11.53266332],0
p9,1,0.00304,8.783247,[308  33] ; [38 12],[301.7544757  39.2455243] ; [44.2455243  5.7544757],0
d2,1,0.003046,8.779471,[195 151] ; [17 33],[185.23232323 160.76767677] ; [26.76767677 23.23232323],0
a4,1,0.003721,8.415361,[177 169] ; [15 36],[167.33501259 178.66498741] ; [24.66498741 26.33501259],0
p5,1,0.009017,6.819554,[ 54 290] ; [ 1 49],[ 48.02030457 295.97969543] ; [ 6.97969543 43.02030457],0
v3,1,0.017667,5.628856,[150 187] ; [12 34],[142.54308094 194.45691906] ; [19.45691906 26.54308094],0
s7,1,0.018021,5.594086,[249  82] ; [29 20],[242.15263158  88.84736842] ; [35.84736842 13.15263158],0
a5,1,0.032063,4.595103,[271  75] ; [33 18],[264.94710327  81.05289673] ; [39.05289673 11.94710327],0
a3,1,0.033051,4.54315,[270  75] ; [33 18],[263.97727273  81.02272727] ; [39.02272727 11.97727273],0
s5,1,0.033561,4.51693,[180 154] ; [18 30],[173.12041885 160.87958115] ; [24.87958115 23.12041885],0
u2,1,0.03912,4.255659,[42 34] ; [14  3],[45.76344086 30.23655914] ; [10.23655914  6.76344086],0
p6,1,0.039931,4.220834,[158 184] ; [15 34],[151.31969309 190.68030691] ; [21.68030691 27.31969309],0
p4,1,0.040921,4.179291,[239 106] ; [28 23],[232.61363636 112.38636364] ; [34.38636364 16.61363636],0
s8,1,0.048209,3.90269,[232 114] ; [27 24],[225.7279597 120.2720403] ; [33.2720403 17.7279597],0
p8,1,0.052966,3.74499,[190 152] ; [20 29],[183.68286445 158.31713555] ; [26.31713555 22.68286445],0
p2,1,0.060826,3.51471,[293  52] ; [38 13],[288.37121212  56.62878788] ; [42.62878788  8.37121212],0
a2,1,0.068368,3.321784,[104 243] ; [ 9 42],[ 98.5201005 248.4798995] ; [14.4798995 36.5201005],0
p12,1,0.088015,2.910308,[ 41 304] ; [ 2 49],[ 37.46212121 307.53787879] ; [ 5.53787879 45.46212121],0
