Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.004957,7.895108,[ 4 15] ; [17 10],[ 8.67391304 10.32608696] ; [12.32608696 14.67391304],0
d3,1,0.036071,4.393762,[ 6 13] ; [17 10],[9.5 9.5] ; [13.5 13.5],0
a8,1,0.041491,4.155854,[ 1 17] ; [ 8 18],[ 3.68181818 14.31818182] ; [ 5.31818182 20.68181818],0
n1,1,0.049039,3.874024,[5 2] ; [2 7],[3.0625 3.9375] ; [3.9375 5.0625],0
u3,1,0.059739,3.544615,[4 4] ; [1 9],[2.22222222 5.77777778] ; [2.77777778 7.22222222],0
p11,1,0.060846,3.514173,[15  4] ; [14 13],[11.97826087  7.02173913] ; [17.02173913  9.97826087],0
a4,1,0.073235,3.208979,[ 9 10] ; [ 6 21],[ 6.19565217 12.80434783] ; [ 8.80434783 18.19565217],0
d5,1,0.084614,2.97397,[12  7] ; [23  4],[14.45652174  4.54347826] ; [20.54347826  6.45652174],0
p3,1,0.149006,2.082393,[ 8 11] ; [ 6 21],[ 5.7826087 13.2173913] ; [ 8.2173913 18.7826087],0
p5,1,0.152036,2.051703,[ 3 16] ; [ 1 26],[ 1.65217391 17.34782609] ; [ 2.34782609 24.65217391],0
b3,1,0.15631,2.009569,[7 7] ; [ 4 12],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
b2,1,0.15631,2.009569,[7 7] ; [ 4 12],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
n5,1,0.261107,1.262877,[13  6] ; [14 13],[11.15217391  7.84782609] ; [15.84782609 11.15217391],0
b4,1,0.278228,1.175725,[12  7] ; [21  6],[13.63043478  5.36956522] ; [19.36956522  7.63043478],0
d2,1,0.314267,1.012658,[12  7] ; [13 14],[10.32608696  8.67391304] ; [14.67391304 12.32608696],0
p10,1,0.324267,0.97166,[13  6] ; [14 12],[11.4  7.6] ; [15.6 10.4],0
p7,1,0.33687,0.922306,[ 9 10] ; [ 9 18],[ 7.43478261 11.56521739] ; [10.56521739 16.43478261],0
p9,1,0.342863,0.899698,[14  5] ; [15 10],[12.52272727  6.47727273] ; [16.47727273  8.52272727],0
s1,1,0.356127,0.851504,[ 2 17] ; [ 1 26],[ 1.23913043 17.76086957] ; [ 1.76086957 25.23913043],0
p2,1,0.388406,0.743927,[9 9] ; [17 10],[10.4  7.6] ; [15.6 11.4],0
p4,1,0.483485,0.490992,[ 9 10] ; [10 17],[ 7.84782609 11.15217391] ; [11.15217391 15.84782609],0
s3,1,0.492939,0.470106,[10  9] ; [11 15],[ 8.86666667 10.13333333] ; [12.13333333 13.86666667],0
r4,1,0.514667,0.424567,[ 8 11] ; [14 13],[9.08695652 9.91304348] ; [12.91304348 14.08695652],0
n6,1,0.518605,0.416667,[13  5] ; [17 10],[12.  6.] ; [18.  9.],0
s6,1,0.539715,0.376068,[10  8] ; [12 14],[9. 9.] ; [13. 13.],0
r1,1,0.584149,0.299575,[ 9 10] ; [15 12],[9.91304348 9.08695652] ; [14.08695652 12.91304348],0
d4,1,0.588151,0.293241,[16  3] ; [21  6],[15.2826087  3.7173913] ; [21.7173913  5.2826087],0
v2,1,0.606123,0.26586,[12  7] ; [15 12],[11.15217391  7.84782609] ; [15.84782609 11.15217391],0
s4,1,0.642718,0.215205,[ 3 16] ; [ 3 24],[ 2.47826087 16.52173913] ; [ 3.52173913 23.47826087],0
s7,1,0.661076,0.19222,[ 7 12] ; [ 7 16],[ 6.33333333 12.66666667] ; [ 7.66666667 15.33333333],0
s2,1,0.669501,0.182186,[ 7 12] ; [ 8 18],[ 6.33333333 12.66666667] ; [ 8.66666667 17.33333333],0
a2,1,0.670659,0.180832,[ 2 17] ; [ 4 23],[ 2.47826087 16.52173913] ; [ 3.52173913 23.47826087],0
n2,1,0.69627,0.152381,[4 3] ; [6 3],[4.375 2.625] ; [5.625 3.375],0
n4,1,0.701943,0.146459,[13  6] ; [17 10],[12.39130435  6.60869565] ; [17.60869565  9.39130435],0
a3,1,0.728742,0.12027,[11  8] ; [17 10],[11.56521739  7.43478261] ; [16.43478261 10.56521739],0
b1,1,0.764599,0.089669,[10  9] ; [13 14],[9.5 9.5] ; [13.5 13.5],0
p12,1,0.767755,0.087209,[ 1 17] ; [ 1 26],[ 0.8 17.2] ; [ 1.2 25.8],0
a5,1,0.789647,0.071166,[12  7] ; [16 11],[11.56521739  7.43478261] ; [16.43478261 10.56521739],0
n3,1,0.792147,0.069444,[5 1] ; [7 2],[4.8 1.2] ; [7.2 1.8],0
