Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,34.191113,[ 21 132] ; [70 90],[ 44.48242812 108.51757188] ; [ 46.51757188 113.48242812],1
s3,1,0.0,26.169622,[ 33 120] ; [78 80],[54.60771704 98.39228296] ; [ 56.39228296 101.60771704],1
s5,1,1e-06,23.268656,[ 19 133] ; [ 57 101],[ 37.26451613 114.73548387] ; [ 38.73548387 119.26451613],1
s4,1,0.000382,12.617735,[  9 146] ; [ 30 127],[ 19.375 135.625] ; [ 19.625 137.375],1
p4,1,0.002002,9.547922,[68 85] ; [99 61],[81.63258786 71.36741214] ; [85.36741214 74.63258786],0
s8,1,0.002782,8.945466,[ 22 133] ; [ 45 116],[ 32.86392405 122.13607595] ; [ 34.13607595 126.86392405],0
p2,1,0.003188,8.696405,[110  43] ; [136  23],[120.63461538  32.36538462] ; [125.36538462  33.63461538],0
p10,1,0.005807,7.609242,[107  47] ; [130  27],[117.35691318  36.64308682] ; [119.64308682  37.35691318],0
p6,1,0.016098,5.792093,[ 29 120] ; [ 50 109],[ 38.21753247 110.78246753] ; [ 40.78246753 118.21753247],0
b1,1,0.025322,5.00173,[68 87] ; [ 51 110],[58.37025316 96.62974684] ; [ 60.62974684 100.37025316],0
r3,1,0.028953,4.770429,[135  18] ; [153   8],[140.33121019  12.66878981] ; [147.66878981  13.33121019],0
p9,1,0.035772,4.407943,[112  41] ; [132  27],[119.65384615  33.34615385] ; [124.34615385  34.65384615],0
a3,1,0.060055,3.535859,[118  36] ; [108  53],[110.48888889  43.51111111] ; [115.51111111  45.48888889],0
p12,1,0.063035,3.455681,[  5 149] ; [ 13 147],[  8.82802548 145.17197452] ; [  9.17197452 150.82802548],0
n3,1,0.069949,3.284211,[24 16] ; [30  8],[27.69230769 12.30769231] ; [26.30769231 11.69230769],0
r4,1,0.073526,3.202489,[129  26] ; [145  16],[134.39873418  20.60126582] ; [139.60126582  21.39873418],0
b5,1,0.07696,3.127965,[85 70] ; [104  57],[92.7056962 62.2943038] ; [96.2943038 64.7056962],0
u1,1,0.082168,3.021494,[ 18 137] ; [ 30 131],[ 23.5443038 131.4556962] ; [ 24.4556962 136.5443038],0
n6,1,0.109996,2.554277,[113  40] ; [131  30],[118.89171975  34.10828025] ; [125.10828025  35.89171975],0
v4,1,0.118956,2.431013,[138  16] ; [151   9],[141.7388535  12.2611465] ; [147.2611465  12.7388535],0
p1,1,0.123072,2.377786,[ 16 139] ; [  9 151],[ 12.3015873 142.6984127] ; [ 12.6984127 147.3015873],0
p8,1,0.123485,2.372556,[68 83] ; [85 73],[74.76699029 76.23300971] ; [78.23300971 79.76699029],0
d5,1,0.156882,2.004029,[128  27] ; [142  19],[132.43670886  22.56329114] ; [137.56329114  23.43670886],0
d4,1,0.156882,2.004029,[128  27] ; [142  19],[132.43670886  22.56329114] ; [137.56329114  23.43670886],0
p7,1,0.157945,1.993795,[80 73] ; [94 62],[86.15533981 66.84466019] ; [87.84466019 68.15533981],0
n4,1,0.158322,1.990184,[118  36] ; [112  49],[112.44444444  41.55555556] ; [117.55555556  43.44444444],0
n2,1,0.187545,1.7368,[26 15] ; [30  9],[28.7 12.3] ; [27.3 11.7],0
s1,1,0.227087,1.459013,[  5 146] ; [  2 156],[  3.42071197 147.57928803] ; [  3.57928803 154.42071197],0
d3,1,0.229465,1.444172,[103  52] ; [117  44],[107.91139241  47.08860759] ; [112.08860759  48.91139241],0
