Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,188.272059,[486  55] ; [ 73 107],[419.44382802 121.55617198] ; [139.55617198  40.44382802],1
n6,1,0.0,79.121026,[493  48] ; [113  66],[455.34166667  85.65833333] ; [150.65833333  28.34166667],1
p11,1,0.0,27.235638,[445  97] ; [114  66],[419.63711911 122.36288089] ; [139.36288089  40.63711911],1
p9,1,1e-06,24.387362,[471  63] ; [127  48],[450.3977433  83.6022567] ; [147.6022567  27.3977433],1
p4,1,2e-06,23.035825,[360 179] ; [83 95],[333.0223152 205.9776848] ; [109.9776848  68.0223152],1
v1,1,6e-06,20.373534,[317 210] ; [ 71 104],[291.27635328 235.72364672] ; [96.72364672 78.27635328],1
p10,1,1.3e-05,19.010485,[459  78] ; [124  51],[439.70646067  97.29353933] ; [143.29353933  31.70646067],1
s7,1,0.000162,14.230045,[279 237] ; [ 64 107],[257.62445415 258.37554585] ; [85.37554585 85.62445415],1
p7,1,0.000373,12.66227,[356 168] ; [94 83],[336.37660485 187.62339515] ; [113.62339515  63.37660485],1
a8,1,0.000404,12.51134,[ 76 412] ; [  8 156],[ 62.87116564 425.12883436] ; [ 21.12883436 142.87116564],1
p2,1,0.000936,10.949518,[468  71] ; [136  42],[454.05299861  84.94700139] ; [149.94700139  28.05299861],1
s8,1,0.001165,10.545794,[268 271] ; [ 64 115],[249.23119777 289.76880223] ; [82.76880223 96.23119777],0
v3,1,0.001213,10.470846,[231 291] ; [ 51 118],[213.03039074 308.96960926] ; [ 68.96960926 100.03039074],0
p3,1,0.001497,10.082005,[295 244] ; [ 73 105],[276.64156206 262.35843794] ; [91.35843794 86.64156206],0
p5,1,0.001537,10.034222,[ 70 467] ; [  8 170],[ 58.58181818 478.41818182] ; [ 19.41818182 158.58181818],0
a3,1,0.00178,9.763938,[420 120] ; [119  61],[404.25 135.75] ; [134.75  45.25],0
s6,1,0.002277,9.311342,[381 151] ; [105  72],[364.67136812 167.32863188] ; [121.32863188  55.67136812],0
p8,1,0.004145,8.21915,[295 235] ; [ 77 101],[278.47457627 251.52542373] ; [93.52542373 84.47457627],0
p6,1,0.00556,7.687725,[212 320] ; [ 49 125],[196.67422096 335.32577904] ; [ 64.32577904 109.67422096],0
a5,1,0.006395,7.435507,[430 112] ; [125  55],[416.63434903 125.36565097] ; [138.36565097  41.63434903],0
a2,1,0.006934,7.290041,[158 384] ; [ 34 146],[144.13296399 397.86703601] ; [ 47.86703601 132.13296399],0
a4,1,0.007165,7.23106,[285 256] ; [ 74 106],[269.37447989 271.62552011] ; [89.62552011 90.37447989],0
r4,1,0.012206,6.280732,[505  37] ; [157  23],[496.95844875  45.04155125] ; [165.04155125  14.95844875],0
r1,1,0.012441,6.246907,[454  85] ; [136  43],[442.91086351  96.08913649] ; [147.08913649  31.91086351],0
s3,1,0.013349,6.122272,[310 226] ; [84 94],[295.77591036 240.22408964] ; [98.22408964 79.77591036],0
u1,1,0.020219,5.392877,[122 420] ; [ 26 154],[111.10249307 430.89750693] ; [ 36.89750693 143.10249307],0
b3,1,0.028564,4.793722,[136 204] ; [26 68],[126.9124424 213.0875576] ; [35.0875576 58.9124424],0
b2,1,0.028564,4.793722,[136 204] ; [26 68],[126.9124424 213.0875576] ; [35.0875576 58.9124424],0
s1,1,0.041229,4.166595,[ 13 519] ; [ 10 170],[ 17.18539326 514.81460674] ; [  5.81460674 174.18539326],0
n2,1,0.041506,4.155241,[91 26] ; [36 21],[85.39655172 31.60344828] ; [41.60344828 15.39655172],0
p12,1,0.042934,4.097994,[ 46 492] ; [  7 170],[ 39.87972028 498.12027972] ; [ 13.12027972 163.87972028],0
s2,1,0.044782,4.026817,[291 246] ; [82 98],[279.35983264 257.64016736] ; [93.64016736 86.35983264],0
n1,1,0.048978,3.876092,[49 65] ; [16 42],[43.08139535 70.91860465] ; [21.91860465 36.08139535],0
d2,1,0.06637,3.37058,[300 239] ; [86 94],[289.36578581 249.63421419] ; [96.63421419 83.36578581],0
d3,1,0.068284,3.323792,[396 145] ; [144  36],[405.18723994 135.81276006] ; [134.81276006  45.18723994],0
b4,1,0.0727,3.220971,[305 237] ; [115  65],[315.29085873 226.70914127] ; [104.70914127  75.29085873],0
u3,1,0.077423,3.118174,[71 51] ; [43 17],[76.41758242 45.58241758] ; [37.58241758 22.41758242],0
r2,1,0.097428,2.747146,[519  18] ; [167  11],[515.21958042  21.78041958] ; [170.78041958   7.21958042],0
a7,1,0.114434,2.491888,[394 146] ; [142  38],[402. 138.] ; [134.  46.],0
s5,1,0.12403,2.365681,[189 332] ; [ 51 120],[180.69364162 340.30635838] ; [ 59.30635838 111.69364162],0
d4,1,0.129486,2.298657,[477  64] ; [166  14],[482.47295423  58.52704577] ; [160.52704577  19.47295423],0
s4,1,0.26327,1.25148,[ 87 445] ; [ 36 144],[ 91.90449438 440.09550562] ; [ 31.09550562 148.90449438],0
d1,1,0.330951,0.945172,[388 154] ; [122  58],[382.8531856 159.1468144] ; [127.1468144  52.8531856],0
a1,1,0.38549,0.75312,[ 30 512] ; [  7 173],[ 27.77562327 514.22437673] ; [  9.22437673 170.77562327],0
