Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7.6e-05,15.644407,[87 20] ; [ 9 13],[79.62790698 27.37209302] ; [16.37209302  5.62790698],1
d3,1,0.000413,12.474052,[75 30] ; [ 7 15],[67.79527559 37.20472441] ; [14.20472441  7.79527559],1
p10,1,0.002224,9.354948,[83 24] ; [10 12],[77.13953488 29.86046512] ; [15.86046512  6.13953488],0
p11,1,0.003229,8.673329,[82 25] ; [10 12],[76.31007752 30.68992248] ; [15.68992248  6.31007752],0
a6,1,0.023009,5.167794,[67 40] ; [ 8 14],[62.20930233 44.79069767] ; [12.79069767  9.20930233],0
a7,1,0.047155,3.939847,[76 30] ; [11 11],[72.046875 33.953125] ; [14.953125  7.046875],0
v4,1,0.048357,3.897542,[99  6] ; [18  4],[96.73228346  8.26771654] ; [20.26771654  1.73228346],0
n6,1,0.063426,3.445449,[74 31] ; [11 11],[70.27559055 34.72440945] ; [14.72440945  7.27559055],0
s1,1,0.075119,3.16746,[  2 105] ; [ 2 20],[  3.31782946 103.68217054] ; [ 0.68217054 21.31782946],0
r1,1,0.087831,2.913692,[78 29] ; [12 10],[74.65116279 32.34883721] ; [15.34883721  6.65116279],0
b1,1,0.103253,2.654559,[43 64] ; [13  9],[46.4496124 60.5503876] ; [ 9.5503876 12.4496124],0
r2,1,0.110956,2.540554,[95 11] ; [17  5],[92.75 13.25] ; [19.25  2.75],0
s2,1,0.143515,2.139861,[45 62] ; [13  9],[48.10852713 58.89147287] ; [ 9.89147287 12.10852713],0
d1,1,0.171056,1.873668,[46 61] ; [ 6 16],[43.13178295 63.86821705] ; [ 8.86821705 13.13178295],0
d4,1,0.176173,1.829617,[82 24] ; [14  8],[79.5 26.5] ; [16.5  5.5],0
v2,1,0.247158,1.339297,[53 49] ; [ 8 13],[50.58536585 51.41463415] ; [10.41463415 10.58536585],0
r4,1,0.251313,1.315991,[89 18] ; [16  6],[87.09302326 19.90697674] ; [17.90697674  4.09302326],0
s7,1,0.26493,1.242812,[41 62] ; [ 5 14],[38.83606557 64.16393443] ; [ 7.16393443 11.83606557],0
b4,1,0.282677,1.154172,[62 45] ; [10 12],[59.72093023 47.27906977] ; [12.27906977  9.72093023],0
b2,1,0.282821,1.153483,[16 37] ; [ 2 11],[14.45454545 38.54545455] ; [3.54545455 9.45454545],0
b3,1,0.282821,1.153483,[16 37] ; [ 2 11],[14.45454545 38.54545455] ; [3.54545455 9.45454545],0
r3,1,0.346113,0.887656,[99  8] ; [19  3],[97.87596899  9.12403101] ; [20.12403101  1.87596899],0
s4,1,0.382439,0.762846,[29 78] ; [ 4 18],[27.37209302 79.62790698] ; [ 5.62790698 16.37209302],0
p6,1,0.384099,0.757542,[37 67] ; [10 12],[38.79365079 65.20634921] ; [ 8.20634921 13.79365079],0
n2,1,0.388662,0.743123,[23 10] ; [6 1],[23.925  9.075] ; [5.075 1.925],0
v3,1,0.389382,0.74087,[29 74] ; [ 4 17],[27.41129032 75.58870968] ; [ 5.58870968 15.41129032],0
n3,1,0.396021,0.720376,[28  5] ; [5 2],[27.225  5.775] ; [5.775 1.225],0
n5,1,0.397061,0.71721,[38 68] ; [10 12],[39.75 66.25] ; [ 8.25 13.75],0
p3,1,0.460929,0.543637,[53 54] ; [ 9 13],[51.42635659 55.57364341] ; [10.57364341 11.42635659],0
v1,1,0.498131,0.458916,[46 58] ; [ 8 14],[44.57142857 59.42857143] ; [ 9.42857143 12.57142857],0
n1,1,0.516836,0.420202,[ 7 26] ; [2 4],[ 7.61538462 25.38461538] ; [1.38461538 4.61538462],0
p8,1,0.527259,0.399671,[64 43] ; [11 10],[62.6953125 44.3046875] ; [12.3046875  8.6953125],0
