Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.022688,5.192258,[1 9] ; [12 11],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
d1,1,0.060808,3.515217,[1 9] ; [10 13],[3.33333333 6.66666667] ; [ 7.66666667 15.33333333],0
r1,1,0.06187,3.486522,[3 7] ; [15  8],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
a3,1,0.062719,3.463975,[4 6] ; [17  6],[6.36363636 3.63636364] ; [14.63636364  8.36363636],0
d5,1,0.10449,2.635633,[5 5] ; [18  5],[6.96969697 3.03030303] ; [16.03030303  6.96969697],0
d3,1,0.177968,1.814515,[4 6] ; [15  8],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
p11,1,0.180503,1.793478,[5 5] ; [17  6],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
s5,1,0.231705,1.430363,[1 8] ; [ 7 15],[2.32258065 6.67741935] ; [ 5.67741935 16.32258065],0
r4,1,0.239731,1.382174,[3 7] ; [12 11],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
a7,1,0.239731,1.382174,[7 3] ; [11 12],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
r2,1,0.268509,1.224348,[4 6] ; [14  9],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
p6,1,0.282932,1.15295,[5 5] ; [ 7 16],[3.63636364 6.36363636] ; [ 8.36363636 14.63636364],0
b4,1,0.282932,1.15295,[5 5] ; [16  7],[6.36363636 3.63636364] ; [14.63636364  8.36363636],0
a4,1,0.284005,1.147826,[2 8] ; [ 9 14],[3.33333333 6.66666667] ; [ 7.66666667 15.33333333],0
s2,1,0.324756,0.969697,[5 5] ; [ 7 15],[3.75 6.25] ; [ 8.25 13.75],0
b1,1,0.340987,0.906718,[7 3] ; [12 11],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
b5,1,0.340987,0.906718,[7 3] ; [12 11],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
a6,1,0.382797,0.761701,[4 6] ; [13 10],[5.15151515 4.84848485] ; [11.84848485 11.15151515],0
p7,1,0.382797,0.761701,[6 4] ; [10 13],[4.84848485 5.15151515] ; [11.15151515 11.84848485],0
v2,1,0.382797,0.761701,[4 6] ; [13 10],[5.15151515 4.84848485] ; [11.84848485 11.15151515],0
v3,1,0.421671,0.645652,[1 9] ; [ 5 18],[1.81818182 8.18181818] ; [ 4.18181818 18.81818182],0
p9,1,0.453508,0.56187,[7 3] ; [18  4],[7.8125 2.1875] ; [17.1875  4.8125],0
n2,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
u2,1,0.504985,0.444444,[2 4] ; [1 5],[1.5 4.5] ; [1.5 4.5],0
u1,1,0.531725,0.391094,[1 9] ; [ 1 22],[0.60606061 9.39393939] ; [ 1.39393939 21.60606061],0
s7,1,0.542802,0.37037,[2 7] ; [ 7 14],[2.7 6.3] ; [ 6.3 14.7],0
p8,1,0.554628,0.349091,[3 7] ; [ 9 13],[3.75 6.25] ; [ 8.25 13.75],0
p3,1,0.561496,0.33712,[5 5] ; [ 9 14],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
n4,1,0.592177,0.286957,[6 4] ; [16  7],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
s4,1,0.608503,0.26236,[2 8] ; [ 3 20],[1.51515152 8.48484848] ; [ 3.48484848 19.51515152],0
s6,1,0.609473,0.260943,[4 5] ; [12 10],[4.64516129 4.35483871] ; [11.35483871 10.64516129],0
a5,1,0.616311,0.251087,[7 3] ; [14  9],[6.36363636 3.63636364] ; [14.63636364  8.36363636],0
n3,1,0.67329,0.177778,[2 1] ; [4 1],[2.25 0.75] ; [3.75 1.25],0
p4,1,0.678187,0.172174,[6 4] ; [12 11],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
v1,1,0.678187,0.172174,[4 6] ; [11 12],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
a8,1,0.729034,0.12,[2 8] ; [ 3 17],[1.66666667 8.33333333] ; [ 3.33333333 16.66666667],0
r3,1,0.752917,0.099096,[7 2] ; [19  4],[7.3125 1.6875] ; [18.6875  4.3125],0
n5,1,0.788821,0.071739,[7 3] ; [15  8],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
a2,1,0.805539,0.060607,[1 9] ; [ 3 20],[1.21212121 8.78787879] ; [ 2.78787879 20.21212121],0
n6,1,0.873631,0.025296,[7 3] ; [16  6],[7.1875 2.8125] ; [15.8125  6.1875],0
p10,1,0.873631,0.025296,[7 3] ; [16  6],[7.1875 2.8125] ; [15.8125  6.1875],0
s8,1,0.980074,0.000624,[3 7] ; [ 7 16],[3.03030303 6.96969697] ; [ 6.96969697 16.03030303],0
s3,1,1.0,0.0,[5 5] ; [11 11],[5. 5.] ; [11. 11.],0
