Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.440846,[72  9] ; [4 9],[65.4893617 15.5106383] ; [10.5106383  2.4893617],1
d1,1,1e-05,19.579859,[58 23] ; [ 1 12],[50.84042553 30.15957447] ; [8.15957447 4.84042553],1
a3,1,0.000133,14.600508,[69 12] ; [5 8],[63.76595745 17.23404255] ; [10.23404255  2.76595745],1
d3,1,0.001249,10.416788,[61 20] ; [4 9],[56.0106383 24.9893617] ; [8.9893617 4.0106383],0
d2,1,0.023897,5.102084,[46 35] ; [ 3 10],[42.22340426 38.77659574] ; [6.77659574 6.22340426],0
a4,1,0.027018,4.889652,[39 42] ; [ 2 11],[35.32978723 45.67021277] ; [5.67021277 7.32978723],0
u3,1,0.035266,4.432234,[10  2] ; [3 5],[7.8 4.2] ; [5.2 2.8],0
p1,1,0.053144,3.73939,[22 59] ; [7 6],[24.9893617 56.0106383] ; [4.0106383 8.9893617],0
a5,1,0.066218,3.374359,[63 18] ; [7 6],[60.31914894 20.68085106] ; [9.68085106 3.31914894],0
r3,1,0.087692,2.916232,[76  3] ; [11  2],[74.70652174  4.29347826] ; [12.29347826  0.70652174],0
s2,1,0.109831,2.556647,[49 30] ; [5 8],[46.36956522 32.63043478] ; [7.63043478 5.36956522],0
p10,1,0.157492,1.998143,[76  4] ; [11  2],[74.83870968  5.16129032] ; [12.16129032  0.83870968],0
v1,1,0.205296,1.604294,[55 22] ; [7 6],[53.04444444 23.95555556] ; [8.95555556 4.04444444],0
v3,1,0.210936,1.564991,[44 33] ; [5 8],[41.92222222 35.07777778] ; [7.07777778 5.92222222],0
u2,1,0.250829,1.318681,[9 3] ; [4 4],[7.8 4.2] ; [5.2 2.8],0
a2,1,0.258086,1.278997,[17 64] ; [ 1 12],[15.5106383 65.4893617] ; [ 2.4893617 10.5106383],0
p6,1,0.263214,1.251776,[48 31] ; [10  3],[49.80434783 29.19565217] ; [8.19565217 4.80434783],0
n1,1,0.263552,1.25,[7 9] ; [3 1],[8. 8.] ; [2. 2.],0
b5,1,0.2771,1.181258,[38 43] ; [4 9],[36.19148936 44.80851064] ; [5.80851064 7.19148936],0
p9,1,0.283269,1.151337,[79  2] ; [11  1],[78.38709677  2.61290323] ; [11.61290323  0.38709677],0
a6,1,0.288143,1.128277,[50 31] ; [6 7],[48.25531915 32.74468085] ; [7.74468085 5.25531915],0
b1,1,0.354585,0.85698,[36 45] ; [4 9],[34.46808511 46.53191489] ; [5.53191489 7.46808511],0
s6,1,0.357526,0.846566,[63 12] ; [8 3],[61.91860465 13.08139535] ; [9.08139535 1.91860465],0
a7,1,0.403186,0.698803,[59 22] ; [8 5],[57.73404255 23.26595745] ; [9.26595745 3.73404255],0
s8,1,0.408033,0.684524,[50 30] ; [6 6],[48.69565217 31.30434783] ; [7.30434783 4.69565217],0
a1,1,0.489847,0.476863,[12 69] ; [ 1 12],[11.20212766 69.79787234] ; [ 1.79787234 11.20212766],0
s3,1,0.515696,0.422491,[50 29] ; [7 6],[48.94565217 30.05434783] ; [8.05434783 4.94565217],0
p8,1,0.518659,0.416559,[67 14] ; [9 3],[66.19354839 14.80645161] ; [9.80645161 2.19354839],0
s4,1,0.536421,0.382214,[11 68] ; [ 1 12],[10.30434783 68.69565217] ; [ 1.69565217 11.30434783],0
p3,1,0.614441,0.253758,[67 14] ; [10  3],[66.35106383 14.64893617] ; [10.64893617  2.35106383],0
v2,1,0.624379,0.23976,[47 30] ; [7 6],[46.2 30.8] ; [7.8 5.2],0
b3,1,0.686119,0.163319,[29 31] ; [5 4],[29.56521739 30.43478261] ; [4.43478261 4.56521739],0
b2,1,0.686119,0.163319,[29 31] ; [5 4],[29.56521739 30.43478261] ; [4.43478261 4.56521739],0
n4,1,0.710549,0.137729,[72  9] ; [12  1],[72.38297872  8.61702128] ; [11.61702128  1.38297872],0
p4,1,0.710549,0.137729,[72  9] ; [12  1],[72.38297872  8.61702128] ; [11.61702128  1.38297872],0
r1,1,0.770914,0.084786,[65 15] ; [11  2],[65.37634409 14.62365591] ; [10.62365591  2.37634409],0
r4,1,0.803783,0.06173,[73  8] ; [12  1],[73.24468085  7.75531915] ; [11.75531915  1.24468085],0
p12,1,0.808394,0.058805,[21 59] ; [ 3 10],[20.64516129 59.35483871] ; [3.35483871 9.64516129],0
s1,1,0.835196,0.043282,[ 5 76] ; [ 1 12],[ 5.17021277 75.82978723] ; [ 0.82978723 12.17021277],0
n6,1,0.835196,0.043282,[76  5] ; [12  1],[75.82978723  5.17021277] ; [12.17021277  0.82978723],0
p7,1,0.836796,0.042433,[65 14] ; [11  2],[65.26086957 13.73913043] ; [10.73913043  2.26086957],0
b4,1,0.842503,0.039479,[46 35] ; [7 6],[45.67021277 35.32978723] ; [7.32978723 5.67021277],0
p11,1,0.861127,0.030604,[70 11] ; [11  2],[69.79787234 11.20212766] ; [11.20212766  1.79787234],0
a8,1,0.886651,0.020319,[11 62] ; [ 2 10],[11.16470588 61.83529412] ; [ 1.83529412 10.16470588],0
s7,1,0.928811,0.007982,[55 22] ; [8 3],[55.125 21.875] ; [7.875 3.125],0
s5,1,1.0,0.0,[48 24] ; [8 4],[48. 24.] ; [8. 4.],0
n2,1,1.0,0.0,[12  4] ; [3 1],[12.  4.] ; [3. 1.],0
