Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.764931,[87 19] ; [84 75],[68.4 37.6] ; [102.6  56.4],1
p7,1,2e-06,23.134912,[91 13] ; [94 63],[73.7164751 30.2835249] ; [111.2835249  45.7164751],1
p3,1,3e-05,17.41587,[78 28] ; [77 84],[61.53558052 44.46441948] ; [93.46441948 67.53558052],1
p8,1,3.9e-05,16.94141,[80 25] ; [81 78],[64.03409091 40.96590909] ; [96.96590909 62.03409091],1
p5,1,0.000116,14.849109,[28 79] ; [ 14 147],[16.76865672 90.23134328] ; [ 25.23134328 135.76865672],1
p12,1,0.000213,13.71133,[26 80] ; [ 13 147],[15.54135338 90.45864662] ; [ 23.45864662 136.54135338],1
n4,1,0.001184,10.514579,[99  8] ; [124  36],[89.3670412 17.6329588] ; [133.6329588  26.3670412],0
s7,1,0.003699,8.426013,[70 30] ; [79 74],[58.89328063 41.10671937] ; [90.10671937 62.89328063],0
p9,1,0.011926,6.321825,[100   6] ; [133  25],[93.5530303 12.4469697] ; [139.4469697  18.5530303],0
v1,1,0.013961,6.043074,[83 23] ; [102  57],[74. 32.] ; [111.  48.],0
s8,1,0.015802,5.824796,[68 37] ; [79 80],[58.46590909 46.53409091] ; [88.53409091 70.46590909],0
p1,1,0.015866,5.817696,[18 88] ; [ 12 149],[11.91011236 94.08988764] ; [ 18.08988764 142.91011236],0
s5,1,0.026936,4.894892,[48 52] ; [ 54 104],[39.53488372 60.46511628] ; [62.46511628 95.53488372],0
s6,1,0.048255,3.901096,[78 25] ; [100  56],[70.78764479 32.21235521] ; [107.21235521  48.78764479],0
a1,1,0.055384,3.670492,[13 94] ; [  9 152],[ 8.78358209 98.21641791] ; [ 13.21641791 147.78358209],0
n1,1,0.062551,3.468431,[7 8] ; [ 7 27],[ 4.28571429 10.71428571] ; [ 9.71428571 24.28571429],0
p2,1,0.064437,3.419323,[97 10] ; [133  28],[91.82835821 15.17164179] ; [138.17164179  22.82835821],0
n2,1,0.088843,2.895221,[9 7] ; [27  7],[11.52  4.48] ; [24.48  9.52],0
u1,1,0.090708,2.861756,[27 80] ; [ 27 134],[21.55970149 85.44029851] ; [ 32.44029851 128.55970149],0
r1,1,0.094505,2.795917,[88 19] ; [143  17],[92.57303371 14.42696629] ; [138.42696629  21.57303371],0
b3,1,0.112031,2.525341,[34 35] ; [37 63],[28.98816568 40.01183432] ; [42.01183432 57.98816568],0
b2,1,0.112031,2.525341,[34 35] ; [37 63],[28.98816568 40.01183432] ; [42.01183432 57.98816568],0
n5,1,0.136467,2.217348,[93 14] ; [127  32],[88.4962406 18.5037594] ; [131.5037594  27.4962406],0
s1,1,0.182939,1.773587,[  4 102] ; [  2 155],[  2.41825095 103.58174905] ; [  3.58174905 153.41825095],0
p10,1,0.184674,1.759604,[97  9] ; [137  22],[93.6 12.4] ; [140.4  18.6],0
n6,1,0.206144,1.598299,[97  8] ; [140  20],[93.90566038 11.09433962] ; [143.09433962  16.90566038],0
b4,1,0.219811,1.505603,[73 34] ; [98 63],[68.27238806 38.72761194] ; [102.72761194  58.27238806],0
d4,1,0.238708,1.388207,[88 18] ; [141  19],[91.2556391 14.7443609] ; [137.7443609  22.2556391],0
s2,1,0.26883,1.222705,[63 43] ; [83 75],[58.62121212 47.37878788] ; [87.37878788 70.62121212],0
a5,1,0.284428,1.14581,[87 20] ; [122  39],[83.44402985 23.55597015] ; [125.55597015  35.44402985],0
b1,1,0.327573,0.958469,[38 69] ; [ 48 113],[34.3358209 72.6641791] ; [ 51.6641791 109.3358209],0
u4,1,0.330086,0.948562,[  5 102] ; [  4 157],[  3.59328358 103.40671642] ; [  5.40671642 155.59328358],0
b5,1,0.347303,0.883286,[66 41] ; [90 71],[62.28358209 44.71641791] ; [93.71641791 67.28358209],0
r4,1,0.440896,0.59395,[101   6] ; [148  13],[99.4141791  7.5858209] ; [149.5858209  11.4141791],0
u3,1,0.471194,0.519175,[14  9] ; [19 18],[12.65 10.35] ; [20.35 16.65],0
r2,1,0.510517,0.433007,[101   5] ; [154   5],[102.   4.] ; [153.   6.],0
n3,1,0.640131,0.218571,[12  4] ; [24 11],[11.29411765  4.70588235] ; [24.70588235 10.29411765],0
a3,1,0.667881,0.18409,[84 22] ; [124  37],[82.57677903 23.42322097] ; [125.42322097  35.57677903],0
d2,1,0.68453,0.165071,[59 47] ; [85 75],[57.38345865 48.61654135] ; [86.61654135 73.38345865],0
u2,1,0.687051,0.162296,[14  9] ; [20 16],[13.25423729  9.74576271] ; [20.74576271 15.25423729],0
d3,1,0.700118,0.14835,[78 28] ; [115  46],[76.62172285 29.37827715] ; [116.37827715  44.62172285],0
a2,1,0.769227,0.086075,[31 76] ; [ 44 117],[29.94402985 77.05597015] ; [ 45.05597015 115.94402985],0
v4,1,0.774542,0.082048,[102   4] ; [155   5],[102.41353383   3.58646617] ; [154.58646617   5.41353383],0
