Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.9e-05,16.919517,[74  3] ; [53 21],[64.7615894 12.2384106] ; [62.2384106 11.7615894],1
s2,1,0.000166,14.180983,[48 28] ; [24 50],[36.48 39.52] ; [35.52 38.48],1
s6,1,0.000329,12.900192,[57 18] ; [34 38],[46.42857143 28.57142857] ; [44.57142857 27.42857143],1
v3,1,0.000522,12.036951,[36 38] ; [15 56],[26.02758621 47.97241379] ; [24.97241379 46.02758621],1
p6,1,0.002191,9.382568,[32 41] ; [15 59],[23.34013605 49.65986395] ; [23.65986395 50.34013605],0
r4,1,0.003557,8.497323,[68  9] ; [51 23],[60.68211921 16.31788079] ; [58.31788079 15.68211921],0
v1,1,0.003795,8.379384,[43 34] ; [24 50],[34.16556291 42.83443709] ; [32.83443709 41.16556291],0
p9,1,0.010953,6.472908,[56 20] ; [38 33],[48.59863946 27.40136054] ; [45.40136054 25.59863946],0
p3,1,0.010983,6.468094,[38 37] ; [22 51],[30.40540541 44.59459459] ; [29.59459459 43.40540541],0
r1,1,0.011432,6.39694,[65 12] ; [48 24],[58.39597315 18.60402685] ; [54.60402685 17.39597315],0
p10,1,0.022138,5.23491,[47 29] ; [31 41],[40.05405405 35.94594595] ; [37.94594595 34.05405405],0
s8,1,0.04345,4.077807,[34 42] ; [21 52],[28.05369128 47.94630872] ; [26.94630872 46.05369128],0
n5,1,0.047324,3.933817,[42 33] ; [53 21],[47.81879195 27.18120805] ; [47.18120805 26.81879195],0
p4,1,0.047562,3.9254,[42 33] ; [29 44],[35.97972973 39.02027027] ; [35.02027027 37.97972973],0
a1,1,0.060467,3.524522,[ 3 74] ; [ 9 65],[ 6.1192053 70.8807947] ; [ 5.8807947 68.1192053],0
r2,1,0.064777,3.410644,[75  2] ; [64  7],[72.31756757  4.68243243] ; [66.68243243  4.31756757],0
d4,1,0.066726,3.361766,[67 10] ; [55 18],[62.62666667 14.37333333] ; [59.37333333 13.62666667],0
s5,1,0.072075,3.235132,[31 41] ; [20 50],[25.85915493 46.14084507] ; [25.14084507 44.85915493],0
v4,1,0.081028,3.044163,[70  7] ; [60 14],[66.29139073 10.70860927] ; [63.70860927 10.29139073],0
d5,1,0.08437,2.978642,[69  8] ; [58 15],[65.19333333 11.80666667] ; [61.80666667 11.19333333],0
s7,1,0.086263,2.94276,[38 32] ; [27 41],[32.97101449 37.02898551] ; [32.02898551 35.97101449],0
d1,1,0.088882,2.894507,[53 24] ; [41 33],[47.93377483 29.06622517] ; [46.06622517 27.93377483],0
d3,1,0.099828,2.708295,[59 18] ; [47 26],[54.41333333 22.58666667] ; [51.58666667 21.41333333],0
p5,1,0.125223,2.350752,[ 2 74] ; [ 6 66],[ 4.10810811 71.89189189] ; [ 3.89189189 68.10810811],0
