Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.011108,6.447932,[2 6] ; [16  5],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
v3,1,0.074653,3.177629,[3 5] ; [ 2 19],[1.37931034 6.62068966] ; [ 3.62068966 17.37931034],0
p11,1,0.121573,2.396939,[2 6] ; [12  9],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
p8,1,0.124238,2.363064,[1 7] ; [ 9 12],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
a7,1,0.154052,2.031658,[3 5] ; [14  7],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
p10,1,0.268994,1.221872,[2 6] ; [10 11],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
p9,1,0.268994,1.221872,[2 6] ; [10 11],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
n6,1,0.268994,1.221872,[2 6] ; [10 11],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
p2,1,0.277877,1.177444,[4 4] ; [15  6],[5.24137931 2.75862069] ; [13.75862069  7.24137931],0
v1,1,0.277877,1.177444,[4 4] ; [ 6 15],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
a4,1,0.299328,1.077188,[3 5] ; [ 4 17],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
a6,1,0.344085,0.895153,[5 3] ; [ 9 12],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
d2,1,0.366018,0.817138,[1 7] ; [ 6 15],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
v2,1,0.366018,0.817138,[1 7] ; [ 6 15],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
s8,1,0.366018,0.817138,[1 7] ; [ 6 15],[1.93103448 6.06896552] ; [ 5.06896552 15.93103448],0
b4,1,0.375728,0.784632,[6 2] ; [12  9],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
d3,1,0.375728,0.784632,[6 2] ; [12  9],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
n2,1,0.416448,0.660317,[1 2] ; [6 4],[1.61538462 1.38461538] ; [5.38461538 4.61538462],0
a2,1,0.462336,0.540234,[1 7] ; [ 1 20],[0.55172414 7.44827586] ; [ 1.44827586 19.55172414],0
d4,1,0.501594,0.451561,[7 1] ; [16  5],[6.34482759 1.65517241] ; [16.65517241  4.34482759],0
n4,1,0.507256,0.439724,[2 6] ; [ 8 13],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
b1,1,0.507256,0.439724,[6 2] ; [13  8],[5.24137931 2.75862069] ; [13.75862069  7.24137931],0
u2,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
u3,1,0.550985,0.355556,[2 2] ; [4 8],[1.5 2.5] ; [4.5 7.5],0
a5,1,0.624321,0.239841,[3 5] ; [10 11],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
d1,1,0.664617,0.187963,[2 6] ; [ 7 14],[2.48275862 5.51724138] ; [ 6.51724138 14.48275862],0
s5,1,0.676531,0.174058,[1 7] ; [ 4 17],[1.37931034 6.62068966] ; [ 3.62068966 17.37931034],0
s7,1,0.686494,0.162907,[2 5] ; [ 4 15],[1.61538462 5.38461538] ; [ 4.38461538 14.61538462],0
a3,1,0.729571,0.119505,[4 4] ; [ 9 12],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
p4,1,0.729571,0.119505,[4 4] ; [ 9 12],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
d5,1,0.729571,0.119505,[4 4] ; [12  9],[4.4137931 3.5862069] ; [11.5862069  9.4137931],0
b5,1,0.793475,0.06854,[5 3] ; [12  9],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
s6,1,0.793475,0.06854,[3 5] ; [ 9 12],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
b3,1,0.824745,0.049038,[1 4] ; [3 9],[1.17647059 3.82352941] ; [2.82352941 9.17647059],0
b2,1,0.824745,0.049038,[1 4] ; [3 9],[1.17647059 3.82352941] ; [2.82352941 9.17647059],0
s2,1,0.847486,0.03699,[2 6] ; [ 6 15],[2.20689655 5.79310345] ; [ 5.79310345 15.20689655],0
p7,1,0.908697,0.013152,[4 4] ; [10 11],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
n3,1,0.912637,0.012037,[2 1] ; [7 3],[2.07692308 0.92307692] ; [6.92307692 3.07692308],0
r1,1,0.976445,0.000872,[3 5] ; [ 8 13],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
p3,1,1.0,0.0,[2 6] ; [ 5 15],[2. 6.] ; [ 5. 15.],0
s3,1,1.0,0.0,[2 5] ; [ 6 15],[2. 5.] ; [ 6. 15.],0
