Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-05,19.513751,[63 15] ; [86 82],[47.24390244 30.75609756] ; [101.75609756  66.24390244],1
s7,1,8e-05,15.547971,[31 44] ; [ 27 129],[18.83116883 56.16883117] ; [ 39.16883117 116.83116883],1
p4,1,0.000363,12.715469,[54 25] ; [74 94],[40.93927126 38.06072874] ; [87.06072874 80.93927126],1
b3,1,0.001786,9.757819,[28 20] ; [30 66],[19.33333333 28.66666667] ; [38.66666667 57.33333333],0
b2,1,0.001786,9.757819,[28 20] ; [30 66],[19.33333333 28.66666667] ; [38.66666667 57.33333333],0
p3,1,0.002511,9.132663,[45 34] ; [ 61 106],[34.04065041 44.95934959] ; [71.95934959 95.04065041],0
s8,1,0.007482,7.153453,[25 54] ; [ 28 140],[16.951417 62.048583] ; [ 36.048583 131.951417],0
p8,1,0.009474,6.731297,[49 30] ; [74 93],[39.5 39.5] ; [83.5 83.5],0
u1,1,0.015264,5.885792,[15 64] ; [ 14 154],[ 9.27530364 69.72469636] ; [ 19.72469636 148.27530364],0
v4,1,0.028711,4.784841,[78  1] ; [152  14],[74.16326531  4.83673469] ; [155.83673469  10.16326531],0
a7,1,0.037153,4.343383,[62 16] ; [111  56],[55.07755102 22.92244898] ; [117.92244898  49.07755102],0
n1,1,0.045615,3.995768,[ 8 11] ; [ 6 29],[ 4.92592593 14.07407407] ; [ 9.07407407 25.92592593],0
p1,1,0.046152,3.976027,[10 69] ; [  9 158],[ 6.10162602 72.89837398] ; [ 12.89837398 154.10162602],0
p12,1,0.062681,3.46499,[ 5 74] ; [  3 163],[ 2.57959184 76.42040816] ; [  5.42040816 160.57959184],0
n4,1,0.070353,3.27476,[62 17] ; [113  55],[55.97165992 23.02834008] ; [119.02834008  48.97165992],0
n5,1,0.12827,2.313319,[57 22] ; [104  63],[51.70325203 27.29674797] ; [109.29674797  57.70325203],0
v3,1,0.134537,2.239354,[32 45] ; [ 51 110],[26.85294118 50.14705882] ; [ 56.14705882 104.85294118],0
n3,1,0.153753,2.034614,[17  3] ; [25 12],[14.73684211  5.26315789] ; [27.26315789  9.73684211],0
s4,1,0.155798,2.014548,[10 69] ; [ 12 156],[ 7.03643725 71.96356275] ; [ 14.96356275 153.03643725],0
s5,1,0.185459,1.753329,[14 62] ; [ 20 146],[10.67768595 65.32231405] ; [ 23.32231405 142.67768595],0
a2,1,0.195233,1.67768,[17 62] ; [ 25 143],[13.43319838 65.56680162] ; [ 28.56680162 139.43319838],0
s2,1,0.196384,1.669064,[20 59] ; [ 30 135],[16.18852459 62.81147541] ; [ 33.81147541 131.18852459],0
u2,1,0.213673,1.546364,[14 10] ; [26 34],[11.42857143 12.57142857] ; [28.57142857 31.42857143],0
v1,1,0.219257,1.50923,[43 36] ; [75 88],[38.52066116 40.47933884] ; [79.47933884 83.52066116],0
d4,1,0.245593,1.348199,[56 23] ; [129  37],[59.65306122 19.34693878] ; [125.34693878  40.65306122],0
p9,1,0.260528,1.265949,[65 14] ; [126  40],[61.5877551 17.4122449] ; [129.4122449  36.5877551],0
b4,1,0.341673,0.904144,[41 38] ; [98 70],[44.45748988 34.54251012] ; [94.54251012 73.45748988],0
v2,1,0.347607,0.882173,[45 33] ; [83 79],[41.6 36.4] ; [86.4 75.6],0
a3,1,0.366665,0.814935,[55 23] ; [108  59],[51.89387755 26.10612245] ; [111.10612245  55.89387755],0
r2,1,0.374734,0.787907,[72  6] ; [148  19],[70.04081633  7.95918367] ; [149.95918367  17.04081633],0
r3,1,0.438771,0.599495,[71  8] ; [154  12],[72.55102041  6.44897959] ; [152.44897959  13.55102041],0
d5,1,0.45997,0.545967,[56 22] ; [128  40],[58.34146341 19.65853659] ; [125.65853659  42.34146341],0
n6,1,0.485199,0.487154,[65 14] ; [131  36],[62.94308943 16.05691057] ; [133.05691057  33.94308943],0
a4,1,0.515504,0.422878,[34 45] ; [ 65 103],[31.66396761 47.33603239] ; [ 67.33603239 100.66396761],0
d1,1,0.523164,0.407652,[42 37] ; [82 86],[39.65991903 39.34008097] ; [84.34008097 83.65991903],0
r1,1,0.58012,0.30604,[57 22] ; [126  41],[58.76829268 20.23170732] ; [124.23170732  42.76829268],0
n2,1,0.592036,0.287176,[14  6] ; [22 13],[13.09090909  6.90909091] ; [22.90909091 12.09090909],0
s3,1,0.615394,0.252395,[23 56] ; [ 43 122],[21.36885246 57.63114754] ; [ 44.63114754 120.36885246],0
d3,1,0.620151,0.245655,[52 25] ; [108  60],[50.28571429 26.71428571] ; [109.71428571  58.28571429],0
p10,1,0.62887,0.233597,[60 19] ; [122  45],[58.44715447 20.55284553] ; [123.55284553  43.44715447],0
b5,1,0.652839,0.20234,[48 31] ; [97 71],[46.37651822 32.62348178] ; [98.62348178 69.37651822],0
u3,1,0.678069,0.172308,[12 12] ; [27 33],[11.14285714 12.85714286] ; [27.85714286 32.14285714],0
r4,1,0.683117,0.166638,[67 12] ; [139  29],[65.88663968 13.11336032] ; [140.11336032  27.88663968],0
b1,1,0.716917,0.131466,[32 47] ; [ 64 104],[30.70445344 48.29554656] ; [ 65.29554656 102.70445344],0
a6,1,0.722317,0.126284,[54 25] ; [111  57],[52.77327935 26.22672065] ; [112.22672065  55.77327935],0
a5,1,0.733383,0.116028,[53 26] ; [109  59],[51.81376518 27.18623482] ; [110.18623482  57.81376518],0
s1,1,0.776,0.08096,[ 1 76] ; [  3 164],[ 1.26229508 75.73770492] ; [  2.73770492 164.26229508],0
p11,1,0.823276,0.049878,[63 16] ; [136  32],[63.64777328 15.35222672] ; [135.35222672  32.64777328],0
d2,1,0.842545,0.039458,[33 46] ; [72 95],[33.7195122 45.2804878] ; [71.2804878 95.7195122],0
p5,1,0.907948,0.01337,[ 5 74] ; [ 10 158],[ 4.79757085 74.20242915] ; [ 10.20242915 157.79757085],0
a8,1,0.915901,0.011151,[ 8 62] ; [ 18 133],[ 8.23529412 61.76470588] ; [ 17.76470588 133.23529412],0
a1,1,0.9428,0.005148,[ 2 77] ; [  4 164],[ 1.91902834 77.08097166] ; [  4.08097166 163.91902834],0
