Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,38.966843,[22 36] ; [136  31],[40.72888889 17.27111111] ; [117.27111111  49.72888889],1
d3,1,3e-06,22.070963,[26 32] ; [130  37],[40.21333333 17.78666667] ; [115.78666667  51.21333333],1
u1,1,0.000195,13.878747,[ 2 56] ; [ 44 123],[11.85777778 46.14222222] ; [ 34.14222222 132.85777778],1
a5,1,0.000495,12.134196,[34 24] ; [136  31],[43.82222222 14.17777778] ; [126.17777778  40.82222222],1
r1,1,0.002255,9.329331,[38 20] ; [140  26],[46.08928571 11.91071429] ; [131.91071429  34.08928571],0
a2,1,0.011554,6.37813,[ 6 52] ; [ 44 123],[12.88888889 45.11111111] ; [ 37.11111111 129.88888889],0
s6,1,0.011622,6.367639,[30 26] ; [120  47],[37.66816143 18.33183857] ; [112.33183857  54.66816143],0
r4,1,0.011944,6.319184,[43 15] ; [147  20],[48.97777778  9.02222222] ; [141.02222222  25.97777778],0
d4,1,0.04973,3.85055,[44 14] ; [145  22],[48.72  9.28] ; [140.28  26.72],0
v4,1,0.05723,3.61588,[49  8] ; [155  10],[52.37837838  4.62162162] ; [151.62162162  13.37837838],0
n1,1,0.061089,3.507573,[8 6] ; [11 27],[5.11538462 8.88461538] ; [13.88461538 24.11538462],0
b5,1,0.067411,3.344972,[30 28] ; [109  58],[35.83111111 22.16888889] ; [103.16888889  63.83111111],0
s7,1,0.073535,3.202304,[19 36] ; [78 83],[24.69907407 30.30092593] ; [72.30092593 88.69907407],0
p2,1,0.073591,3.201049,[40 17] ; [136  31],[44.78571429 12.21428571] ; [131.21428571  35.78571429],0
b1,1,0.085228,2.962271,[29 29] ; [ 62 105],[23.45777778 34.54222222] ; [67.54222222 99.45777778],0
n6,1,0.104366,2.637529,[41 15] ; [138  28],[45.15315315 10.84684685] ; [133.84684685  32.15315315],0
p6,1,0.139157,2.187253,[16 39] ; [66 98],[20.59360731 34.40639269] ; [ 61.40639269 102.59360731],0
d5,1,0.154573,2.026532,[45 13] ; [143  24],[48.46222222  9.53777778] ; [139.53777778  27.46222222],0
r2,1,0.194261,1.685007,[50  7] ; [151  11],[52.31506849  4.68493151] ; [148.68493151  13.31506849],0
r3,1,0.198103,1.656304,[54  4] ; [160   5],[55.65919283  2.34080717] ; [158.34080717   6.65919283],0
p10,1,0.218326,1.515339,[40 16] ; [131  34],[43.33031674 12.66968326] ; [127.66968326  37.33031674],0
p1,1,0.243257,1.361621,[ 1 57] ; [  9 158],[ 2.57777778 55.42222222] ; [  7.42222222 159.57777778],0
p4,1,0.248453,1.331979,[29 28] ; [99 67],[32.71748879 24.28251121] ; [95.28251121 70.71748879],0
u2,1,0.300204,1.073286,[ 7 11] ; [24 21],[8.85714286 9.14285714] ; [22.14285714 22.85714286],0
p3,1,0.303318,1.05955,[24 33] ; [83 83],[27.34977578 29.65022422] ; [79.65022422 86.34977578],0
d1,1,0.316085,1.005077,[30 28] ; [99 68],[33.25333333 24.74666667] ; [95.74666667 71.25333333],0
a8,1,0.356016,0.851898,[ 6 51] ; [ 23 125],[ 8.06341463 48.93658537] ; [ 20.93658537 127.06341463],0
s5,1,0.368608,0.808353,[20 33] ; [ 50 111],[17.3364486 35.6635514] ; [ 52.6635514 108.3364486],0
p9,1,0.390292,0.738033,[44 12] ; [138  27],[46.11764706  9.88235294] ; [135.88235294  29.11764706],0
s4,1,0.398677,0.712314,[ 8 50] ; [ 31 135],[10.09821429 47.90178571] ; [ 28.90178571 137.09821429],0
s8,1,0.403114,0.699018,[19 39] ; [ 65 102],[21.65333333 36.34666667] ; [ 62.34666667 104.65333333],0
a3,1,0.450409,0.569623,[39 19] ; [121  46],[41.24444444 16.75555556] ; [118.75555556  48.24444444],0
a1,1,0.480071,0.498701,[ 1 57] ; [  6 161],[ 1.80444444 56.19555556] ; [  5.19555556 161.80444444],0
s3,1,0.490737,0.47491,[27 31] ; [86 80],[29.25892857 28.74107143] ; [83.74107143 82.25892857],0
b2,1,0.493266,0.469393,[15 24] ; [32 67],[13.2826087 25.7173913] ; [33.7173913 65.2826087],0
b3,1,0.493266,0.469393,[15 24] ; [32 67],[13.2826087 25.7173913] ; [33.7173913 65.2826087],0
s2,1,0.548767,0.35953,[26 32] ; [82 84],[27.96428571 30.03571429] ; [80.03571429 85.96428571],0
n5,1,0.581116,0.304433,[36 20] ; [112  52],[37.67272727 18.32727273] ; [110.32727273  53.67272727],0
n4,1,0.610604,0.259296,[40 17] ; [123  44],[41.47767857 15.52232143] ; [121.52232143  45.47767857],0
b4,1,0.707747,0.140538,[31 27] ; [94 73],[32.22222222 25.77777778] ; [92.77777778 74.22222222],0
n3,1,0.726614,0.122244,[12  2] ; [31  7],[11.57692308  2.42307692] ; [31.42307692  6.57692308],0
s1,1,0.768874,0.086347,[ 1 56] ; [  4 161],[ 1.28378378 55.71621622] ; [  3.71621622 161.28378378],0
d2,1,0.783199,0.075709,[29 29] ; [80 87],[28.09777778 29.90222222] ; [80.90222222 86.09777778],0
p12,1,0.838291,0.041649,[ 2 54] ; [  7 160],[ 2.26008969 53.73991031] ; [  6.73991031 160.26008969],0
p11,1,0.88374,0.021383,[45 13] ; [128  39],[44.59555556 13.40444444] ; [128.40444444  38.59555556],0
p7,1,0.927632,0.008249,[35 21] ; [102  63],[34.71493213 21.28506787] ; [102.28506787  62.71493213],0
n2,1,0.928593,0.008031,[12  3] ; [30  7],[12.11538462  2.88461538] ; [29.88461538  7.11538462],0
a4,1,0.937775,0.006094,[25 33] ; [71 96],[24.74666667 33.25333333] ; [71.25333333 95.74666667],0
