Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000809,11.220317,[16 19] ; [19  2],[21.875 13.125] ; [13.125  7.875],1
s3,1,0.000886,11.05102,[10 25] ; [18  7],[16.33333333 18.66666667] ; [11.66666667 13.33333333],1
s8,1,0.00102,10.790711,[ 8 28] ; [16  9],[14.16393443 21.83606557] ; [ 9.83606557 15.16393443],0
s5,1,0.002469,9.163636,[ 3 32] ; [ 9 12],[ 7.5 27.5] ; [ 4.5 16.5],0
s7,1,0.00512,7.836735,[11 24] ; [17  8],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
a5,1,0.01938,5.466894,[15 21] ; [18  7],[19.47540984 16.52459016] ; [13.52459016 11.47540984],0
p10,1,0.029913,4.714286,[22 13] ; [22  3],[25.66666667  9.33333333] ; [18.33333333  6.66666667],0
p7,1,0.032509,4.571429,[17 19] ; [18  6],[21. 15.] ; [14. 10.],0
p2,1,0.049366,3.862857,[23 12] ; [22  3],[26.25  8.75] ; [18.75  6.25],0
a8,1,0.053705,3.721842,[ 1 34] ; [ 4 19],[ 3.01724138 31.98275862] ; [ 1.98275862 21.01724138],0
p4,1,0.059801,3.542892,[12 22] ; [15 10],[15.55932203 18.44067797] ; [11.44067797 13.55932203],0
p3,1,0.080181,3.061224,[13 22] ; [15 10],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
n5,1,0.084898,2.96854,[23 13] ; [21  4],[25.96721311 10.03278689] ; [18.03278689  6.96721311],0
s4,1,0.089728,2.879252,[ 3 33] ; [ 6 19],[ 5.31147541 30.68852459] ; [ 3.68852459 21.31147541],0
p9,1,0.102152,2.671614,[27  9] ; [22  2],[29.4  6.6] ; [19.6  4.4],0
a7,1,0.105749,2.616633,[26 10] ; [13 12],[23.01639344 12.98360656] ; [15.98360656  9.01639344],0
b4,1,0.105749,2.616633,[26 10] ; [13 12],[23.01639344 12.98360656] ; [15.98360656  9.01639344],0
a1,1,0.177933,1.814801,[ 2 34] ; [ 4 21],[ 3.54098361 32.45901639] ; [ 2.45901639 22.54098361],0
p6,1,0.181105,1.788537,[12 21] ; [13 11],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
n3,1,0.202288,1.625782,[9 2] ; [5 4],[7.7 3.3] ; [6.3 2.7],0
n4,1,0.209062,1.577908,[27  9] ; [22  3],[28.91803279  7.08196721] ; [20.08196721  4.91803279],0
r3,1,0.324046,0.972547,[30  6] ; [23  2],[31.27868852  4.72131148] ; [21.72131148  3.27868852],0
p5,1,0.355514,0.853677,[ 3 33] ; [ 4 21],[ 4.13114754 31.86885246] ; [ 2.86885246 22.13114754],0
d5,1,0.398567,0.712644,[27  9] ; [21  4],[28.32786885  7.67213115] ; [19.67213115  5.32786885],0
a6,1,0.425736,0.634426,[21 15] ; [12 13],[19.47540984 16.52459016] ; [13.52459016 11.47540984],0
v4,1,0.439887,0.596577,[29  7] ; [22  3],[30.09836066  5.90163934] ; [20.90163934  4.09836066],0
d4,1,0.439887,0.596577,[29  7] ; [22  3],[30.09836066  5.90163934] ; [20.90163934  4.09836066],0
