Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,35.792841,[143  22] ; [11 18],[130.97938144  34.02061856] ; [23.02061856  5.97938144],1
a3,1,1e-06,23.864866,[129  35] ; [10 19],[118.11398964  45.88601036] ; [20.88601036  8.11398964],1
d3,1,1e-05,19.514698,[116  49] ; [ 8 21],[105.46391753  59.53608247] ; [18.53608247 10.46391753],1
d2,1,2.3e-05,17.938716,[81 84] ; [ 2 27],[70.59278351 94.40721649] ; [12.40721649 16.59278351],1
a4,1,7.3e-05,15.736436,[76 89] ; [ 2 27],[66.34020619 98.65979381] ; [11.65979381 17.34020619],1
b4,1,0.028306,4.809354,[104  61] ; [12 17],[98.65979381 66.34020619] ; [17.34020619 11.65979381],0
a5,1,0.079079,3.083736,[118  47] ; [16 13],[113.96907216  51.03092784] ; [20.03092784  8.96907216],0
b2,1,0.166513,1.914059,[38 54] ; [ 4 13],[35.44954128 56.55045872] ; [ 6.55045872 10.44954128],0
b3,1,0.166513,1.914059,[38 54] ; [ 4 13],[35.44954128 56.55045872] ; [ 6.55045872 10.44954128],0
a6,1,0.190472,1.713964,[111  53] ; [16 13],[107.91709845  56.08290155] ; [19.08290155  9.91709845],0
r3,1,0.205188,1.605055,[159   4] ; [27  2],[157.90625   5.09375] ; [28.09375  0.90625],0
n3,1,0.239579,1.38307,[30 13] ; [8 1],[31.42307692 11.57692308] ; [6.57692308 2.42307692],0
n2,1,0.239579,1.38307,[30 13] ; [8 1],[31.42307692 11.57692308] ; [6.57692308 2.42307692],0
r2,1,0.257995,1.279483,[152   8] ; [26  3],[150.68783069   9.31216931] ; [27.31216931  1.68783069],0
u1,1,0.264823,1.243367,[ 24 141] ; [ 2 27],[ 22.11340206 142.88659794] ; [ 3.88659794 25.11340206],0
n1,1,0.275389,1.189705,[12 30] ; [1 8],[10.70588235 31.29411765] ; [2.29411765 6.70588235],0
v1,1,0.276419,1.184611,[92 68] ; [13 15],[89.36170213 70.63829787] ; [15.63829787 12.36170213],0
p11,1,0.281327,1.16067,[121  44] ; [24  5],[123.32474227  41.67525773] ; [21.67525773  7.32474227],0
p8,1,0.295412,1.094792,[ 50 109] ; [12 17],[ 52.43617021 106.56382979] ; [ 9.56382979 19.43617021],0
v3,1,0.313149,1.017348,[83 78] ; [12 17],[80.5 80.5] ; [14.5 14.5],0
p9,1,0.356599,0.849837,[126  34] ; [25  4],[127.83068783  32.16931217] ; [23.16931217  5.83068783],0
p3,1,0.397352,0.716324,[ 44 120] ; [10 19],[ 45.88601036 118.11398964] ; [ 8.11398964 20.88601036],0
n5,1,0.421514,0.646091,[99 63] ; [20  9],[100.93193717  61.06806283] ; [18.06806283 10.93193717],0
v4,1,0.498735,0.457626,[152  11] ; [28  1],[152.8125  10.1875] ; [27.1875  1.8125],0
p6,1,0.511538,0.43092,[ 30 129] ; [ 7 22],[ 31.29255319 127.70744681] ; [ 5.70744681 23.29255319],0
s3,1,0.519795,0.414301,[85 78] ; [17 12],[86.59375 76.40625] ; [15.40625 13.59375],0
n4,1,0.526232,0.401662,[117  47] ; [19 10],[115.56476684  48.43523316] ; [20.43523316  8.56476684],0
s5,1,0.577703,0.309963,[ 45 109] ; [ 7 22],[ 43.75956284 110.24043716] ; [ 8.24043716 20.75956284],0
u2,1,0.580858,0.30485,[17 17] ; [ 8 11],[16.03773585 17.96226415] ; [ 8.96226415 10.03773585],0
s2,1,0.59246,0.286519,[76 88] ; [15 14],[77.32642487 86.67357513] ; [13.67357513 15.32642487],0
p7,1,0.607876,0.26328,[85 74] ; [17 12],[86.26595745 72.73404255] ; [15.73404255 13.26595745],0
p1,1,0.645502,0.211619,[  8 157] ; [ 2 27],[  8.50515464 156.49484536] ; [ 1.49484536 27.50515464],0
s6,1,0.683804,0.165876,[94 68] ; [18 11],[94.9947644 67.0052356] ; [17.0052356 11.9947644],0
a8,1,0.70064,0.147807,[ 25 125] ; [ 4 25],[ 24.30167598 125.69832402] ; [ 4.69832402 24.30167598],0
n6,1,0.708326,0.139955,[130  33] ; [24  5],[130.73958333  32.26041667] ; [23.26041667  5.73958333],0
s4,1,0.727532,0.121389,[ 27 138] ; [ 4 25],[ 26.36597938 138.63402062] ; [ 4.63402062 24.36597938],0
a7,1,0.728039,0.120919,[119  46] ; [20  9],[118.22164948  46.77835052] ; [20.77835052  8.22164948],0
p2,1,0.728039,0.120919,[119  46] ; [20  9],[118.22164948  46.77835052] ; [20.77835052  8.22164948],0
s8,1,0.740144,0.11,[68 97] ; [11 18],[67.19072165 97.80927835] ; [11.80927835 17.19072165],0
b1,1,0.750514,0.1011,[ 62 103] ; [10 19],[ 61.2371134 103.7628866] ; [10.7628866 18.2371134],0
r4,1,0.787284,0.072813,[139  26] ; [25  4],[139.48453608  25.51546392] ; [24.51546392  4.48453608],0
b5,1,0.792047,0.069513,[101  64] ; [17 12],[100.36082474  64.63917526] ; [17.63917526 11.36082474],0
u3,1,0.852729,0.034461,[18 18] ; [ 9 10],[17.67272727 18.32727273] ; [9.32727273 9.67272727],0
r1,1,0.931894,0.007304,[132  33] ; [23  6],[131.82989691  33.17010309] ; [23.17010309  5.82989691],0
s7,1,0.957188,0.002882,[72 88] ; [12 15],[71.87165775 88.12834225] ; [12.12834225 14.87165775],0
p10,1,0.99209,9.8e-05,[122  39] ; [22  7],[122.02105263  38.97894737] ; [21.97894737  7.02105263],0
